# kx  valence1  valence2  conduction1  conduction2  band_gap
-2.800000000000e-03 9.172195728790e-03 9.669106555238e-03 2.867909748944e-01 2.867909748944e-01 2.771218683392e-01
-2.566666666667e-03 9.252059663252e-03 9.709265189058e-03 2.867455873949e-01 2.867455873949e-01 2.770363222059e-01
-2.333333333333e-03 9.327102439574e-03 9.744106836768e-03 2.867041465616e-01 2.867041465616e-01 2.769600397248e-01
-2.100000000000e-03 9.397245117611e-03 9.773622285803e-03 2.866666524142e-01 2.866666524142e-01 2.768930301284e-01
-1.866666666667e-03 9.462418589031e-03 9.797804225326e-03 2.866331049708e-01 2.866331049708e-01 2.768353007455e-01
-1.633333333333e-03 9.522562411746e-03 9.816647318386e-03 2.866035042476e-01 2.866035042476e-01 2.767868569292e-01
-1.400000000000e-03 9.577623792219e-03 9.830148283307e-03 2.865778502587e-01 2.865778502587e-01 2.767477019754e-01
-1.166666666667e-03 9.627556705979e-03 9.838305985976e-03 2.865561430164e-01 2.865561430164e-01 2.767178370305e-01
-9.333333333333e-04 9.672321142667e-03 9.841121544960e-03 2.865383825313e-01 2.865383825313e-01 2.766972609864e-01
-7.000000000000e-04 9.711882460707e-03 9.838598451742e-03 2.865245688118e-01 2.865245688118e-01 2.766859703601e-01
-4.666666666667e-04 9.746210836984e-03 9.830742708854e-03 2.865147018646e-01 2.865147018646e-01 2.766839591557e-01
-2.333333333333e-04 9.775280797948e-03 9.817562989135e-03 2.865087816943e-01 2.865087816943e-01 2.766912187052e-01
0.000000000000e+00 9.799070820092e-03 9.799070820093e-03 2.865068083039e-01 2.865068083039e-01 2.767077374838e-01
2.333333333333e-04 9.775280797948e-03 9.817562989135e-03 2.865087816943e-01 2.865087816943e-01 2.766912187052e-01
4.666666666667e-04 9.746210836984e-03 9.830742708854e-03 2.865147018646e-01 2.865147018646e-01 2.766839591557e-01
7.000000000000e-04 9.711882460707e-03 9.838598451742e-03 2.865245688118e-01 2.865245688118e-01 2.766859703601e-01
9.333333333333e-04 9.672321142667e-03 9.841121544959e-03 2.865383825313e-01 2.865383825313e-01 2.766972609864e-01
1.166666666667e-03 9.627556705979e-03 9.838305985976e-03 2.865561430164e-01 2.865561430164e-01 2.767178370305e-01
1.400000000000e-03 9.577623792220e-03 9.830148283307e-03 2.865778502587e-01 2.865778502587e-01 2.767477019754e-01
1.633333333333e-03 9.522562411745e-03 9.816647318386e-03 2.866035042476e-01 2.866035042476e-01 2.767868569292e-01
1.866666666667e-03 9.462418589031e-03 9.797804225326e-03 2.866331049708e-01 2.866331049708e-01 2.768353007455e-01
2.100000000000e-03 9.397245117610e-03 9.773622285803e-03 2.866666524142e-01 2.866666524142e-01 2.768930301284e-01
2.333333333333e-03 9.327102439573e-03 9.744106836768e-03 2.867041465616e-01 2.867041465616e-01 2.769600397248e-01
2.566666666667e-03 9.252059663252e-03 9.709265189058e-03 2.867455873949e-01 2.867455873949e-01 2.770363222059e-01
2.800000000000e-03 9.172195728791e-03 9.669106555239e-03 2.867909748944e-01 2.867909748944e-01 2.771218683392e-01
