# kx  valence1  valence2  conduction1  conduction2  band_gap
-2.800000000000e-03 1.073141103274e-02 1.076719877720e-02 2.831866328398e-01 2.831866328398e-01 2.724194340626e-01
-2.566666666667e-03 1.078992386423e-02 1.082290920676e-02 2.831412453403e-01 2.831412453403e-01 2.723183361335e-01
-2.333333333333e-03 1.084354089067e-02 1.087367677335e-02 2.830998045069e-01 2.830998045069e-01 2.722261277336e-01
-2.100000000000e-03 1.089224719433e-02 1.091949089336e-02 2.830623103595e-01 2.830623103595e-01 2.721428194662e-01
-1.866666666667e-03 1.093602906117e-02 1.096034217122e-02 2.830287629162e-01 2.830287629162e-01 2.720684207449e-01
-1.633333333333e-03 1.097487398568e-02 1.099622240568e-02 2.829991621929e-01 2.829991621929e-01 2.720029397872e-01
-1.400000000000e-03 1.100877067518e-02 1.102712459543e-02 2.829735082040e-01 2.829735082040e-01 2.719463836086e-01
-1.166666666667e-03 1.103770905338e-02 1.105304294424e-02 2.829518009618e-01 2.829518009618e-01 2.718987580176e-01
-9.333333333333e-04 1.106168026349e-02 1.107397286547e-02 2.829340404767e-01 2.829340404767e-01 2.718600676112e-01
-7.000000000000e-04 1.108067667059e-02 1.108991098614e-02 2.829202267572e-01 2.829202267572e-01 2.718303157710e-01
-4.666666666667e-04 1.109469186348e-02 1.110085515028e-02 2.829103598099e-01 2.829103598099e-01 2.718095046596e-01
-2.333333333333e-04 1.110372065586e-02 1.110680442186e-02 2.829044396397e-01 2.829044396397e-01 2.717976352178e-01
0.000000000000e+00 1.110775908703e-02 1.110775908703e-02 2.829024662493e-01 2.829024662493e-01 2.717947071623e-01
2.333333333333e-04 1.110372065586e-02 1.110680442186e-02 2.829044396397e-01 2.829044396397e-01 2.717976352178e-01
4.666666666667e-04 1.109469186348e-02 1.110085515028e-02 2.829103598099e-01 2.829103598099e-01 2.718095046596e-01
7.000000000000e-04 1.108067667059e-02 1.108991098614e-02 2.829202267572e-01 2.829202267572e-01 2.718303157710e-01
9.333333333333e-04 1.106168026349e-02 1.107397286547e-02 2.829340404767e-01 2.829340404767e-01 2.718600676112e-01
1.166666666667e-03 1.103770905338e-02 1.105304294424e-02 2.829518009618e-01 2.829518009618e-01 2.718987580176e-01
1.400000000000e-03 1.100877067518e-02 1.102712459543e-02 2.829735082040e-01 2.829735082040e-01 2.719463836086e-01
1.633333333333e-03 1.097487398568e-02 1.099622240568e-02 2.829991621929e-01 2.829991621929e-01 2.720029397872e-01
1.866666666667e-03 1.093602906117e-02 1.096034217122e-02 2.830287629162e-01 2.830287629162e-01 2.720684207449e-01
2.100000000000e-03 1.089224719433e-02 1.091949089336e-02 2.830623103595e-01 2.830623103595e-01 2.721428194662e-01
2.333333333333e-03 1.084354089067e-02 1.087367677335e-02 2.830998045069e-01 2.830998045069e-01 2.722261277336e-01
2.566666666667e-03 1.078992386423e-02 1.082290920676e-02 2.831412453403e-01 2.831412453403e-01 2.723183361335e-01
2.800000000000e-03 1.073141103274e-02 1.076719877720e-02 2.831866328398e-01 2.831866328398e-01 2.724194340626e-01
