# theta_deg  Ey_V_per_um  Ez_V_per_um  GS1_meV  GS2_meV  numerical_gap_microeV  alpha_eV_A  perturbative_gap_k1_microeV  
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.974761730292040607e-01 2.060826028998791193e-01 8.606429870675057714e+00 4.321321889019204970e-03 8.642643778038531011e+00
2.399999999999999911e+00 4.187565372919962309e-02 9.991228300988584943e-01 1.937538672789756999e-01 2.027537212037355818e-01 8.999853924759882773e+00 4.517378241487622278e-03 9.034756482973968161e+00
4.799999999999999822e+00 8.367784333231548244e-02 9.964928592495044812e-01 1.826190375161379498e-01 1.927051404186919115e-01 1.008610290255396080e+01 5.058984031043651033e-03 1.011796806208440458e+01
7.199999999999999289e+00 1.253332335643042306e-01 9.921147013144778759e-01 1.641264908602141359e-01 1.757936763519679646e-01 1.166718549175382869e+01 5.847880096816799982e-03 1.169576019363662489e+01
9.599999999999999645e+00 1.667687467161022563e-01 9.859960370705050936e-01 1.382948131036926265e-01 1.518572994916173036e-01 1.356248638792467709e+01 6.794145233262722204e-03 1.358829046652163619e+01
1.200000000000000000e+01 2.079116908177593426e-01 9.781476007338056888e-01 1.050896594450845267e-01 1.207374832221941308e-01 1.564782377710960404e+01 7.835766536589097025e-03 1.567153307319396482e+01
1.439999999999999858e+01 2.486898871648547393e-01 9.685831611286310761e-01 6.443274297608658774e-02 8.227784464030774014e-02 1.784510166422115418e+01 8.933654979908573629e-03 1.786730995980606806e+01
1.680000000000000071e+01 2.890317969444716195e-01 9.573194975320672429e-01 1.621503127714751802e-02 3.632032716881228307e-02 2.010529589166476683e+01 1.006323450121025635e-02 2.012646900241231052e+01
1.919999999999999929e+01 3.288666467385832903e-01 9.443763702374811109e-01 -3.969187643917959640e-02 -1.729532430953806266e-02 2.239655212964153463e+01 1.120852105749084275e-02 2.241704211499688526e+01
2.159999999999999787e+01 3.681245526846779192e-01 9.297764858882514583e-01 -1.034262263754359701e-01 -7.872905473362001860e-02 2.469717164181595237e+01 1.235862092870840603e-02 2.471724185742716529e+01
2.400000000000000000e+01 4.067366430758002083e-01 9.135454576426008666e-01 -1.751276579274457790e-01 -1.481360309690815669e-01 2.699162695836421122e+01 1.350573711472149649e-02 2.701147422944945475e+01
2.639999999999999858e+01 4.446351791849274537e-01 8.957117602394130129e-01 -2.549292933396729577e-01 -2.256610135289993657e-01 2.926827981067359019e+01 1.464402568916960828e-02 2.928805137835074746e+01
2.879999999999999716e+01 4.817536741017152679e-01 8.763066800438635839e-01 -3.429501058687944859e-01 -3.114320643426010671e-01 3.151804152619341792e+01 1.576892371450273889e-02 3.153784742899453875e+01
3.119999999999999929e+01 5.180270093731302872e-01 8.553642601605065954e-01 -4.392874514301675637e-01 -4.055538885586462694e-01 3.373356287152129340e+01 1.687674244453828826e-02 3.375348488907569333e+01
3.360000000000000142e+01 5.533915492433441052e-01 8.329212407100995419e-01 -5.440097126839238406e-01 -5.081009837796801598e-01 3.590872890424368080e+01 1.796441351772897280e-02 3.592882703544675849e+01
3.600000000000000000e+01 5.877852522924731371e-01 8.090169943749475623e-01 -6.571490199717838765e-01 -6.191106853305899937e-01 3.803833464119388452e+01 1.902932592422917554e-02 3.805865184844608962e+01
3.839999999999999858e+01 6.211477802783104130e-01 7.836934573258398373e-01 -7.786940018476851133e-01 -7.385761307013849475e-01 4.011787114630016760e+01 2.006921843182363219e-02 4.013843686367121677e+01
