# E  alpha(eV.A)  gap_meV
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.916666666666666852e-01 1.013993213601904232e-02 2.027986427204954367e+01
5.833333333333333703e-01 2.014044187587625892e-02 4.028088375174470315e+01
8.750000000000000000e-01 2.988472416373964130e-02 5.976944832749783387e+01
1.166666666666666741e+00 3.928357564386851519e-02 7.856715128773699064e+01
1.458333333333333259e+00 4.826681969929262628e-02 9.653363939859092113e+01
1.750000000000000000e+00 5.677411217387279968e-02 1.135482243477527646e+02
2.041666666666666963e+00 6.475088060934282297e-02 1.295017612186759379e+02
2.333333333333333481e+00 7.214848269827670024e-02 1.442969653965425891e+02
2.625000000000000000e+00 7.892621841347927103e-02 1.578524368269530669e+02
2.916666666666666519e+00 8.505357364845118895e-02 1.701071472968761498e+02
3.208333333333333481e+00 9.051190329287267522e-02 1.810238065857623724e+02
3.500000000000000000e+00 9.529525477930844701e-02 1.905905095586097389e+02
3.791666666666666519e+00 9.941029229033862546e-02 1.988205845806778598e+02
4.083333333333333925e+00 1.028754230893259153e-01 2.057508461787253964e+02
4.375000000000000000e+00 1.057193053733377353e-01 2.114386107466628744e+02
4.666666666666666963e+00 1.079789514114705695e-01 2.159579028230170081e+02
4.958333333333333925e+00 1.096976397150918603e-01 2.193952794301463882e+02
5.250000000000000000e+00 1.109228242791972380e-01 2.218456485584170821e+02
5.541666666666666963e+00 1.117041874802123386e-01 2.234083749605084108e+02
5.833333333333333037e+00 1.120919358264950844e-01 2.241838716530997146e+02
6.125000000000000000e+00 1.121353924262612212e-01 2.242707848524039207e+02
6.416666666666666963e+00 1.118819019829729172e-01 2.237638039659165088e+02
6.708333333333333037e+00 1.113760357722490824e-01 2.227520715444922246e+02
7.000000000000000000e+00 1.106590655755905206e-01 2.213181311510326168e+02
