kx  E  alpha(eV.A)  gap_meV
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.999999999999999778e-01 2.070512511330442965e-02 1.387778780781445676e-11
0.000000000000000000e+00 1.199999999999999956e+00 4.033246325058691129e-02 7.459310946700270506e-11
0.000000000000000000e+00 1.799999999999999822e+00 5.818066908273204774e-02 2.503829392083711802e-11
0.000000000000000000e+00 2.399999999999999911e+00 7.375360799715825755e-02 3.252606517456513302e-11
0.000000000000000000e+00 2.999999999999999556e+00 8.668186526372187450e-02 1.543903893619358314e-10
0.000000000000000000e+00 3.599999999999999645e+00 9.678071716774261368e-02 2.064320936412400442e-10
0.000000000000000000e+00 4.199999999999999289e+00 1.040856182483739512e-01 5.828670879282071837e-10
0.000000000000000000e+00 4.799999999999999822e+00 1.088289742818201733e-01 1.908195823574487804e-10
0.000000000000000000e+00 5.399999999999998579e+00 1.113769295656230757e-01 7.771561172376095783e-10
0.000000000000000000e+00 5.999999999999999112e+00 1.121558336009068901e-01 1.242062008799393880e-09
0.000000000000000000e+00 6.599999999999999645e+00 1.115906985220393166e-01 5.551115123125782702e-10
0.000000000000000000e+00 7.199999999999999289e+00 1.100650631630046422e-01 5.204170427930421283e-10
0.000000000000000000e+00 7.799999999999998934e+00 1.079015294372891731e-01 5.898059818321144121e-10
0.000000000000000000e+00 8.399999999999998579e+00 1.053574536724024568e-01 2.400857290751901019e-09
0.000000000000000000e+00 9.000000000000000000e+00 1.026296333505930525e-01 1.373900992973631219e-09
0.000000000000000000e+00 9.599999999999999645e+00 9.986315512890174551e-02 2.914335439641035919e-10
0.000000000000000000e+00 1.019999999999999929e+01 9.716130317270221806e-02 1.776356839400250465e-09
0.000000000000000000e+00 1.079999999999999716e+01 9.459485258012810538e-02 1.346145417358002305e-09
0.000000000000000000e+00 1.140000000000000036e+01 9.221002433125242981e-02 2.081668171172168513e-09
0.000000000000000000e+00 1.199999999999999822e+01 9.003492702134245629e-02 2.900457651833221462e-09
8.000000000000000654e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000654e-05 5.999999999999999778e-01 2.070512511330439148e-02 3.312820018266937616e+00
8.000000000000000654e-05 1.199999999999999956e+00 4.033246325058965909e-02 6.453194120082001994e+00
8.000000000000000654e-05 1.799999999999999822e+00 5.818066908273208937e-02 9.308907053260524478e+00
8.000000000000000654e-05 2.399999999999999911e+00 7.375360799715796611e-02 1.180057727952731028e+01
8.000000000000000654e-05 2.999999999999999556e+00 8.668186526372283207e-02 1.386909844210658349e+01
8.000000000000000654e-05 3.599999999999999645e+00 9.678071716773709032e-02 1.548491474641540400e+01
8.000000000000000654e-05 4.199999999999999289e+00 1.040856182483686082e-01 1.665369891927850787e+01
8.000000000000000654e-05 4.799999999999999822e+00 1.088289742818182859e-01 1.741263588468308754e+01
8.000000000000000654e-05 5.399999999999998579e+00 1.113769295656203140e-01 1.782030873038326035e+01
8.000000000000000654e-05 5.999999999999999112e+00 1.121558336009158691e-01 1.794493337673591782e+01
8.000000000000000654e-05 6.599999999999999645e+00 1.115906985220346398e-01 1.785451176429531017e+01
8.000000000000000654e-05 7.199999999999999289e+00 1.100650631629996185e-01 1.761041010430591669e+01
8.000000000000000654e-05 7.799999999999998934e+00 1.079015294372874106e-01 1.726424470845783077e+01
8.000000000000000654e-05 8.399999999999998579e+00 1.053574536723989041e-01 1.685719258775336726e+01
8.000000000000000654e-05 9.000000000000000000e+00 1.026296333505934133e-01 1.642074133567650307e+01
8.000000000000000654e-05 9.599999999999999645e+00 9.986315512890212021e-02 1.597810482252548425e+01
8.000000000000000654e-05 1.019999999999999929e+01 9.716130317270631200e-02 1.554580850951503557e+01
8.000000000000000654e-05 1.079999999999999716e+01 9.459485258012946540e-02 1.513517641263395497e+01
8.000000000000000654e-05 1.140000000000000036e+01 9.221002433124719788e-02 1.475360389203983402e+01
8.000000000000000654e-05 1.199999999999999822e+01 9.003492702134538450e-02 1.440558832446758863e+01
1.600000000000000131e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000131e-04 5.999999999999999778e-01 2.070512511330401678e-02 6.625640036231166263e+00
1.600000000000000131e-04 1.199999999999999956e+00 4.033246325058913173e-02 1.290638824016573949e+01
1.600000000000000131e-04 1.799999999999999822e+00 5.818066908273329674e-02 1.861781410646791102e+01
1.600000000000000131e-04 2.399999999999999911e+00 7.375360799715757754e-02 2.360115455907934034e+01
1.600000000000000131e-04 2.999999999999999556e+00 8.668186526372269329e-02 2.773819688449072274e+01
1.600000000000000131e-04 3.599999999999999645e+00 9.678071716774536148e-02 3.096982949361490256e+01
1.600000000000000131e-04 4.199999999999999289e+00 1.040856182483692466e-01 3.330739783938621912e+01
1.600000000000000131e-04 4.799999999999999822e+00 1.088289742818222827e-01 3.482527177115294137e+01
1.600000000000000131e-04 5.399999999999998579e+00 1.113769295656252545e-01 3.564061746088448501e+01
1.600000000000000131e-04 5.999999999999999112e+00 1.121558336009124274e-01 3.588986675248651181e+01
1.600000000000000131e-04 6.599999999999999645e+00 1.115906985220344871e-01 3.570902352705018501e+01
1.600000000000000131e-04 7.199999999999999289e+00 1.100650631630061965e-01 3.522082021145678254e+01
1.600000000000000131e-04 7.799999999999998934e+00 1.079015294372917405e-01 3.452848942235575436e+01
1.600000000000000131e-04 8.399999999999998579e+00 1.053574536724028454e-01 3.371438517729696827e+01
1.600000000000000131e-04 9.000000000000000000e+00 1.026296333505943570e-01 3.284148267178321845e+01
1.600000000000000131e-04 9.599999999999999645e+00 9.986315512890096835e-02 3.195620964326073477e+01
1.600000000000000131e-04 1.019999999999999929e+01 9.716130317270407768e-02 3.109161701571327896e+01
1.600000000000000131e-04 1.079999999999999716e+01 9.459485258012943765e-02 3.027035282821000095e+01
1.600000000000000131e-04 1.140000000000000036e+01 9.221002433125044528e-02 2.950720778940873856e+01
