kx  E  alpha(eV.A)  gap_meV_2nd
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.000000000000000000e-01 2.861452909293176351e-03 2.038300084272748336e-11
0.000000000000000000e+00 1.000000000000000000e+00 4.437916620881637852e-03 2.425902360936316171e-11
0.000000000000000000e+00 1.500000000000000222e+00 5.550767174143033181e-03 4.510281037539698445e-11
0.000000000000000000e+00 2.000000000000000000e+00 6.401006786663227498e-03 8.326672684688674053e-11
0.000000000000000000e+00 2.500000000000000000e+00 7.078797483232067596e-03 1.682681771697502882e-10
0.000000000000000000e+00 3.000000000000000444e+00 7.633942743594820599e-03 7.528699885739342790e-10
0.000000000000000000e+00 3.500000000000000000e+00 8.097259323945588116e-03 3.989863994746656317e-10
0.000000000000000000e+00 4.000000000000000000e+00 8.489280330646638631e-03 4.406197628981090020e-10
0.000000000000000000e+00 4.500000000000000000e+00 8.824426186484560231e-03 1.075528555105620399e-09
0.000000000000000000e+00 5.000000000000000000e+00 9.113233010652116439e-03 6.245004513516505540e-11
0.000000000000000000e+00 5.500000000000000000e+00 9.363640642141773246e-03 1.686151218649456496e-09
0.000000000000000000e+00 6.000000000000000888e+00 9.581783186837231417e-03 1.415534356397074589e-09
0.000000000000000000e+00 6.500000000000000888e+00 9.772497819299287916e-03 5.689893001203927270e-10
0.000000000000000000e+00 7.000000000000000000e+00 9.939665131133937348e-03 1.235123114895486651e-09
0.000000000000000000e+00 7.500000000000000000e+00 1.008644420594065512e-02 5.412337245047638135e-10
0.000000000000000000e+00 8.000000000000000000e+00 1.021543943353807500e-02 5.828670879282071837e-10
0.000000000000000000e+00 8.500000000000000000e+00 1.032882165844163647e-02 1.304512053934558935e-09
0.000000000000000000e+00 9.000000000000000000e+00 1.042841794751943330e-02 1.623701173514291440e-09
0.000000000000000000e+00 9.500000000000000000e+00 1.051577928448984428e-02 1.526556658859590243e-09
0.000000000000000000e+00 1.000000000000000000e+01 1.059223241731221433e-02 2.498001805406602216e-10
8.000000000000000654e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000654e-05 5.000000000000000000e-01 2.861452909293383216e-03 4.578324654864497356e-01
8.000000000000000654e-05 1.000000000000000000e+00 4.437916620881649128e-03 7.100666593410904781e-01
8.000000000000000654e-05 1.500000000000000222e+00 5.550767174143106039e-03 8.881227478623257010e-01
8.000000000000000654e-05 2.000000000000000000e+00 6.401006786663287346e-03 1.024161085863908749e+00
8.000000000000000654e-05 2.500000000000000000e+00 7.078797483232947101e-03 1.132607597315385295e+00
8.000000000000000654e-05 3.000000000000000444e+00 7.633942743595477191e-03 1.221430838971304667e+00
8.000000000000000654e-05 3.500000000000000000e+00 8.097259323945739037e-03 1.295561491830576895e+00
8.000000000000000654e-05 4.000000000000000000e+00 8.489280330646564038e-03 1.358284852905067286e+00
8.000000000000000654e-05 4.500000000000000000e+00 8.824426186484501250e-03 1.411908189828670057e+00
8.000000000000000654e-05 5.000000000000000000e+00 9.113233010651944702e-03 1.458117281714910174e+00
8.000000000000000654e-05 5.500000000000000000e+00 9.363640642141719470e-03 1.498182502730760479e+00
8.000000000000000654e-05 6.000000000000000888e+00 9.581783186837543667e-03 1.533085309902981752e+00
8.000000000000000654e-05 6.500000000000000888e+00 9.772497819299209854e-03 1.563599651088765086e+00
8.000000000000000654e-05 7.000000000000000000e+00 9.939665131134020615e-03 1.590346420971000541e+00
8.000000000000000654e-05 7.500000000000000000e+00 1.008644420594063257e-02 1.613831072944105216e+00
8.000000000000000654e-05 8.000000000000000000e+00 1.021543943353800561e-02 1.634470309347380024e+00
8.000000000000000654e-05 8.500000000000000000e+00 1.032882165844196086e-02 1.652611465341458086e+00
8.000000000000000654e-05 9.000000000000000000e+00 1.042841794751954779e-02 1.668546871586018554e+00
8.000000000000000654e-05 9.500000000000000000e+00 1.051577928448990326e-02 1.682524685533981490e+00
8.000000000000000654e-05 1.000000000000000000e+01 1.059223241731226811e-02 1.694757186754269895e+00
1.600000000000000131e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000131e-04 5.000000000000000000e-01 2.861452909293365435e-03 9.156649309737668885e-01
1.600000000000000131e-04 1.000000000000000000e+00 4.437916620882596287e-03 1.420133318682587520e+00
1.600000000000000131e-04 1.500000000000000222e+00 5.550767174143089559e-03 1.776245495726386237e+00
1.600000000000000131e-04 2.000000000000000000e+00 6.401006786663106067e-03 2.048322171731287167e+00
1.600000000000000131e-04 2.500000000000000000e+00 7.078797483232471786e-03 2.265215194634240259e+00
1.600000000000000131e-04 3.000000000000000444e+00 7.633942743595368771e-03 2.442861677949548227e+00
1.600000000000000131e-04 3.500000000000000000e+00 8.097259323945905571e-03 2.591122983661153789e+00
1.600000000000000131e-04 4.000000000000000000e+00 8.489280330646581385e-03 2.716569705810134572e+00
1.600000000000000131e-04 4.500000000000000000e+00 8.824426186484631354e-03 2.823816379664279008e+00
1.600000000000000131e-04 5.000000000000000000e+00 9.113233010651956845e-03 2.916234563395125878e+00
1.600000000000000131e-04 5.500000000000000000e+00 9.363640642141698653e-03 2.996365005489276534e+00
1.600000000000000131e-04 6.000000000000000888e+00 9.581783186837432645e-03 3.066170619785146823e+00
1.600000000000000131e-04 6.500000000000000888e+00 9.772497819299378122e-03 3.127199302156713490e+00
1.600000000000000131e-04 7.000000000000000000e+00 9.939665131134188883e-03 3.180692841983634445e+00
1.600000000000000131e-04 7.500000000000000000e+00 1.008644420594072971e-02 3.227662145874332644e+00
1.600000000000000131e-04 8.000000000000000000e+00 1.021543943353807153e-02 3.268940618722515623e+00
1.600000000000000131e-04 8.500000000000000000e+00 1.032882165844177177e-02 3.305222930710671747e+00
1.600000000000000131e-04 9.000000000000000000e+00 1.042841794751953044e-02 3.337093743199792684e+00
1.600000000000000131e-04 9.500000000000000000e+00 1.051577928448974193e-02 3.365049371026329617e+00
1.600000000000000131e-04 1.000000000000000000e+01 1.059223241731219699e-02 3.389514373536295366e+00
2.400000000000000332e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
