# theta_deg  Ey_V_per_um  Ez_V_per_um  GS1_meV  GS2_meV  numerical_gap_microeV  alpha_eV_A  perturbative_gap_k1_microeV  
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 4.194056374973412460e+01 4.195616911829785778e+01 1.560536856373695436e+01 7.835956246794525612e-03 1.567191249359639649e+01
1.800000000000000044e+00 1.570537953906414874e-01 4.997532801828657334e+00 4.197428409953795381e+01 4.199214231788451457e+01 1.785821834655865104e+01 8.959070131373198312e-03 1.791814026286947481e+01
3.600000000000000089e+00 3.139525976465668555e-01 4.990133642141358017e+00 4.207402162753996322e+01 4.209733393179210736e+01 2.331230425214880597e+01 1.168109908446354067e-02 2.336219816864715426e+01
5.400000000000000355e+00 4.705415665925716251e-01 4.977809823015399537e+00 4.223478895979248904e+01 4.226499807375758166e+01 3.020911396509062996e+01 1.512630112782637620e-02 3.025260225525405744e+01
7.200000000000000178e+00 6.266661678215212916e-01 4.960573506572389491e+00 4.244830303442700625e+01 4.248597882579100826e+01 3.767579136399606909e+01 1.885802617337945311e-02 3.771605234690472486e+01
9.000000000000000000e+00 7.821723252011544281e-01 4.938441702975689296e+00 4.270435663516427383e+01 4.274969853533634279e+01 4.534190017206618251e+01 2.269042973574553201e-02 4.538085947167896705e+01
1.080000000000000071e+01 9.369065729286231159e-01 4.911436253643444161e+00 4.299206010684068957e+01 4.304509866683879693e+01 5.303855999810869548e+01 2.653866439375355407e-02 5.307732878771786744e+01
1.259999999999999964e+01 1.090716206982712766e+00 4.879583809693737173e+00 4.330071223322740082e+01 4.336139413441274115e+01 6.068190118534155886e+01 3.036056030298087127e-02 6.072112060587914328e+01
1.440000000000000036e+01 1.243449435824273808e+00 4.842915805643155380e+00 4.362031988291037976e+01 4.368854769943548888e+01 6.822781652510850847e+01 3.413392764706985050e-02 6.826785529463752766e+01
1.619999999999999929e+01 1.394955530196146487e+00 4.801468428384715104e+00 4.394184511761976353e+01 4.401749748742362556e+01 7.565236980386357857e+01 3.784671739299612370e-02 7.569343478571605033e+01
1.800000000000000000e+01 1.545084971874737034e+00 4.755282581475768211e+00 4.425727158719922016e+01 4.434021398048988516e+01 8.294239329066644473e+01 4.149229640250313295e-02 8.298459280479258382e+01
1.980000000000000071e+01 1.693689601226457064e+00 4.704403844771126941e+00 4.455956766572272443e+01 4.464965830270940472e+01 9.009063698668661857e+01 4.506700906576543986e-02 9.013401813109250327e+01
2.160000000000000142e+01 1.840622763423389818e+00 4.648882429441257180e+00 4.484260032454047717e+01 4.493969347999505715e+01 9.709315545458619567e+01 4.856886335674732297e-02 9.713772671342269405e+01
2.340000000000000213e+01 1.985739453173903213e+00 4.588773128419905589e+00 4.510103258739585641e+01 4.520498045494025519e+01 1.039478675444044313e+02 5.199680640609326276e-02 1.039936128122767656e+02
2.519999999999999929e+01 2.128896457825363520e+00 4.524135262330097440e+00 4.533022227389754022e+01 4.544087602853194596e+01 1.106537546344058001e+02 5.535032105428707577e-02 1.107006421090031552e+02
2.700000000000000000e+01 2.269952498697733745e+00 4.455032620941839383e+00 4.552613027639242915e+01 4.564334068993336047e+01 1.172104135409302046e+02 5.862920073976782276e-02 1.172584014799346619e+02
2.880000000000000071e+01 2.408768370508576506e+00 4.381533400219318253e+00 4.568524126701595378e+01 4.580885907533225065e+01 1.236178083162953243e+02 6.183342442197798522e-02 1.236668488430667168e+02
3.060000000000000142e+01 2.545207078751856589e+00 4.303710135019717775e+00 4.580449698443969453e+01 4.593437311834528458e+01 1.298761339055890005e+02 6.496308779241267983e-02 1.299261755847505526e+02
3.239999999999999858e+01 2.679133974894983616e+00 4.221639627510075599e+00 4.588124100656946069e+01 4.601722674919372480e+01 1.359857426242588758e+02 6.801836611401435029e-02 1.360367322275277218e+02
3.420000000000000284e+01 2.810416889260652695e+00 4.135402871372809486e+00 4.591317348049851432e+01 4.605512058620976035e+01 1.419471057112417611e+02 7.099949473713862425e-02 1.419989894740694751e+02
3.600000000000000000e+01 2.938926261462365463e+00 4.045084971874737256e+00 4.589831424806972393e+01 4.604607504234179771e+01 1.477607942720684946e+02 7.390675939650859227e-02 1.478135187927900915e+02
3.780000000000000426e+01 3.064535268264882539e+00 3.950775061878451400e+00 4.583497295132924165e+01 4.598840042208654211e+01 1.534274707573057981e+02 7.674049183278741637e-02 1.534809836650011334e+02
3.960000000000000142e+01 3.187119948743448727e+00 3.852566213878946044e+00 4.572172491136786476e+01 4.588067279738169191e+01 1.589478860138312939e+02 7.950106823696156955e-02 1.590021364745036863e+02
4.139999999999999858e+01 3.306559326618259131e+00 3.750555348152297963e+00 4.555739179079571244e+01 4.572171466993600575e+01 1.643228791402967488e+02 8.218890912312812325e-02 1.643778182458324864e+02
4.320000000000000284e+01 3.422735529643443630e+00 3.644843137107057984e+00 4.534102625059934155e+01 4.551057962921406386e+01 1.695533786147257445e+02 8.480447985544552203e-02 1.696089597105418534e+02
4.500000000000000000e+01 3.535533905932737753e+00 3.535533905932738197e+00 4.507189998889953131e+01 4.524654039272812156e+01 1.746404038285922979e+02 8.734829139215852245e-02 1.746965827846419472e+02
4.680000000000000426e+01 3.644843137107057984e+00 3.422735529643443186e+00 4.474949470273674734e+01 4.492907976922909796e+01 1.795850664923562192e+02 8.982090097672922047e-02 1.796418019536852455e+02
4.860000000000000142e+01 3.750555348152297963e+00 3.306559326618259131e+00 4.437349564862235241e+01 4.455788422011197980e+01 1.843885714896339891e+02 9.222291256492640144e-02 1.844458251284430901e+02
