# kx  w0_meV w1_meV  gap_microeV
-2.799999999999999972e-03 6.911961341689772276e+00 7.113920233121152847e+00 2.019588914313805788e+02
-2.687999999999999851e-03 6.947682687359097997e+00 7.141563223133219118e+00 1.938805357741211139e+02
-2.576000000000000165e-03 6.982110883320635786e+00 7.167913063437502785e+00 1.858021801168669924e+02
-2.464000000000000044e-03 7.015245929574390971e+00 7.192969754034002072e+00 1.777238244596111088e+02
-2.351999999999999924e-03 7.047087826120362664e+00 7.216733294922718756e+00 1.696454688023561062e+02
-2.239999999999999804e-03 7.077636572958550865e+00 7.239203686103651947e+00 1.615671131451010751e+02
-2.128000000000000117e-03 7.106892170088957350e+00 7.260380927576802534e+00 1.534887574878451915e+02
-2.015999999999999997e-03 7.134854617511576791e+00 7.280265019342166966e+00 1.454104018305901604e+02
-1.903999999999999877e-03 7.161523915226418069e+00 7.298855961399749681e+00 1.373320461733316051e+02
-1.791999999999999973e-03 7.186900063233469638e+00 7.316153753749548905e+00 1.292536905160792742e+02
-1.680000000000000070e-03 7.210983061532739491e+00 7.332158396391563748e+00 1.211753348588242574e+02
-1.567999999999999949e-03 7.233772910124223188e+00 7.346869889325797764e+00 1.130969792015745838e+02
-1.456000000000000046e-03 7.255269609007931386e+00 7.360288232552245624e+00 1.050186235443142380e+02
-1.343999999999999926e-03 7.275473158183848987e+00 7.372413426070910880e+00 9.694026788706189279e+01
-1.232000000000000022e-03 7.294383557651989314e+00 7.383245469881792644e+00 8.886191222980332327e+01
-1.119999999999999902e-03 7.312000807412347037e+00 7.392784363984890916e+00 8.078355657254388689e+01
-1.007999999999999998e-03 7.328324907464915938e+00 7.401030108380205697e+00 7.270520091528976536e+01
-8.960000000000000950e-04 7.343355857809703124e+00 7.407982703067736097e+00 6.462684525803297220e+01
-7.839999999999999747e-04 7.357093658446707707e+00 7.413642148047485669e+00 5.654848960077796249e+01
-6.719999999999998544e-04 7.369538309375926133e+00 7.418008443319449086e+00 4.847013394352295279e+01
-5.600000000000001678e-04 7.380689810597362843e+00 7.421081588883630786e+00 4.039177828626794309e+01
-4.480000000000000475e-04 7.390548162111016062e+00 7.422861584740028107e+00 3.231342262901204521e+01
-3.359999999999999272e-04 7.399113363916884012e+00 7.423348430888643712e+00 2.423506697175970004e+01
-2.239999999999998069e-04 7.406385416014972023e+00 7.422542127329474049e+00 1.615671131450202580e+01
-1.120000000000001203e-04 7.412364318405276542e+00 7.420442674062521782e+00 8.078355657245239740e+00
0.000000000000000000e+00 7.417050071087785135e+00 7.417050071087789576e+00 4.440892098500626162e-12
1.120000000000001203e-04 7.412364318405265884e+00 7.420442674062525334e+00 8.078355657259450595e+00
2.239999999999998069e-04 7.406385416014964029e+00 7.422542127329481154e+00 1.615671131451712483e+01
3.359999999999999272e-04 7.399113363916876907e+00 7.423348430888650817e+00 2.423506697177391089e+01
4.480000000000000475e-04 7.390548162111008068e+00 7.422861584740035212e+00 3.231342262902714424e+01
5.600000000000001678e-04 7.380689810597354850e+00 7.421081588883637892e+00 4.039177828628304212e+01
6.719999999999998544e-04 7.369538309375918139e+00 7.418008443319456191e+00 4.847013394353805182e+01
7.839999999999999747e-04 7.357093658446697937e+00 7.413642148047492775e+00 5.654848960079483788e+01
8.960000000000000950e-04 7.343355857809695131e+00 7.407982703067743202e+00 6.462684525804806412e+01
1.007999999999999782e-03 7.328324907464908833e+00 7.401030108380215466e+00 7.270520091530663365e+01
1.119999999999999902e-03 7.312000807412338155e+00 7.392784363984898022e+00 8.078355657255985989e+01
1.232000000000000022e-03 7.294383557651983985e+00 7.383245469881799750e+00 8.886191222981577198e+01
1.344000000000000142e-03 7.275473158183847211e+00 7.372413426070914433e+00 9.694026788706722186e+01
1.456000000000000263e-03 7.255269609007926945e+00 7.360288232552251841e+00 1.050186235443248961e+02
1.568000000000000383e-03 7.233772910124222300e+00 7.346869889325803094e+00 1.130969792015807940e+02
1.679999999999999636e-03 7.210983061532735050e+00 7.332158396391570854e+00 1.211753348588358108e+02
1.791999999999999756e-03 7.186900063233464309e+00 7.316153753749558675e+00 1.292536905160943661e+02
1.903999999999999877e-03 7.161523915226410075e+00 7.298855961399756787e+00 1.373320461733467255e+02
2.015999999999999997e-03 7.134854617511571462e+00 7.280265019342174071e+00 1.454104018306026092e+02
2.128000000000000117e-03 7.106892170088951133e+00 7.260380927576806975e+00 1.534887574878558496e+02
2.240000000000000237e-03 7.077636572958546424e+00 7.239203686103654611e+00 1.615671131451081806e+02
2.352000000000000358e-03 7.047087826120357335e+00 7.216733294922728525e+00 1.696454688023711981e+02
2.463999999999999611e-03 7.015245929574385642e+00 7.192969754034009178e+00 1.777238244596235290e+02
2.575999999999999731e-03 6.982110883320630457e+00 7.167913063437509003e+00 1.858021801168785601e+02
2.687999999999999851e-03 6.947682687359092668e+00 7.141563223133226224e+00 1.938805357741335627e+02
2.799999999999999972e-03 6.911961341689770499e+00 7.113920233121159953e+00 2.019588914313894463e+02
