# theta_deg  Ey_V_per_um  Ez_V_per_um  GS1_meV  GS2_meV  numerical_gap_microeV  alpha_eV_A  perturbative_gap_k1_microeV  
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 4.193771196855301042e+01 4.194865944040293471e+01 1.094747184992445099e+01 5.496810746997067912e-03 1.099362149398902488e+01
2.571428571428571619e+00 2.243241517525746687e-01 4.994965332706573058e+00 4.200140759069985563e+01 4.201347288015788450e+01 1.206528945803253450e+01 6.054415926146189744e-03 1.210883185227828918e+01
5.142857142857143238e+00 4.481965445171675611e-01 4.979871469976195897e+00 4.218502347557681986e+01 4.219990786404341065e+01 1.488438846658501902e+01 7.461783742801089345e-03 1.492356748550999157e+01
7.714285714285715301e+00 6.711663290882774469e-01 4.954748808839672947e+00 4.246820634578031672e+01 4.248676804665195306e+01 1.856170087163877724e+01 9.298966319630220384e-03 1.859793263941228503e+01
1.028571428571428648e+01 8.927844739931833917e-01 4.919647942993147893e+00 4.282305478442747670e+01 4.284564138101336539e+01 2.258659658588985053e+01 1.131070902461305504e-02 2.262141804922068644e+01
1.285714285714285765e+01 1.112604669781571909e+00 4.874639560909118430e+00 4.321982103914986340e+01 4.324653721074955826e+01 2.671617159969580513e+01 1.337528666230435037e-02 2.675057332426206003e+01
1.542857142857143060e+01 1.330184227833375976e+00 4.819814303479266648e+00 4.363069735752212353e+01 4.366153602668543954e+01 3.083866916331334807e+01 1.543661562499372940e-02 3.087323125015861791e+01
1.800000000000000000e+01 1.545084971874737034e+00 4.755282581475768211e+00 4.403148917981786781e+01 4.406639182368250118e+01 3.490264386463159951e+01 1.746885322096872542e-02 3.493770644150129101e+01
2.057142857142857295e+01 1.756874120406713757e+00 4.681174353198686688e+00 4.440191578015839724e+01 4.444080044562306853e+01 3.888466546467239482e+01 1.946021694077369746e-02 3.892043388190741382e+01
2.314285714285714590e+01 1.965125158269618311e+00 4.597638862757253086e+00 4.472526846782842824e+01 4.476804288572659374e+01 4.277441789816288775e+01 2.140551023612262405e-02 4.281102047205831695e+01
2.571428571428571530e+01 2.169418695587790769e+00 4.504844339512096063e+00 4.498787171024115850e+01 4.503443940988004357e+01 4.656769963888584840e+01 2.330260948153656600e-02 4.660521896283215426e+01
2.828571428571428825e+01 2.369343312364993626e+00 4.402977659283689782e+00 4.517855434630571665e+01 4.522881746553206028e+01 5.026311922634585017e+01 2.515080476344996527e-02 5.030160952625151083e+01
3.085714285714286120e+01 2.564496387029531199e+00 4.292243968009330501e+00 4.528820348175574395e+01 4.534206402914051637e+01 5.386054738477225357e+01 2.695002226072623630e-02 5.390004452086177622e+01
3.342857142857143060e+01 2.754484907260513094e+00 4.172866268606512996e+00 4.530941259654137809e+01 4.536677300633992616e+01 5.736040979854861632e+01 2.870046865147041562e-02 5.740093730369905245e+01
3.600000000000000000e+01 2.938926261462365463e+00 4.045084971874737256e+00 4.523621298291004678e+01 4.529697636643543746e+01 6.076338352539040244e+01 3.040247822280389006e-02 6.080495644589234416e+01
3.857142857142857650e+01 3.117449009293667750e+00 3.909157412340149129e+00 4.506387233178990215e+01 4.512794262010377366e+01 6.407028831387218304e+01 3.205645790335089756e-02 6.411291580676881097e+01
4.114285714285714590e+01 3.289693629698563271e+00 3.765357330018054061e+00 4.478874544172115435e+01 4.485602751556120182e+01 6.728207384004703329e+01 3.366288051620313498e-02 6.732576103207765073e+01
4.371428571428571530e+01 3.455313244934323347e+00 3.613974319136957991e+00 4.440816503829933737e+01 4.447856489540900782e+01 7.039985710967367538e+01 3.522230326583193627e-02 7.044460653134187567e+01
4.628571428571429180e+01 3.613974319136957991e+00 3.455313244934323347e+00 4.392036382363664870e+01 4.399378881420535237e+01 7.342499056870593677e+01 3.673540166881599650e-02 7.347080333702793098e+01
4.885714285714286120e+01 3.765357330018054505e+00 3.289693629698562827e+00 4.332442161031441685e+01 4.340078076537592722e+01 7.635915506151030741e+01 3.820301597351730832e-02 7.640603194716821633e+01
5.142857142857143060e+01 3.909157412340149129e+00 3.117449009293667750e+00 4.262023370171974079e+01 4.269943818148718861e+01 7.920447976744738128e+01 3.962621111260311579e-02 7.925242222457661967e+01
5.400000000000000711e+01 4.045084971874737256e+00 2.938926261462365019e+00 4.180849871118418548e+01 4.189046240840684021e+01 8.196369722265201574e+01 4.100635423921292211e-02 8.201270847793540497e+01
5.657142857142857650e+01 4.172866268606512996e+00 2.754484907260512205e+00 4.089072599781913908e+01 4.097536634567268976e+01 8.464034785354846235e+01 4.234521705727156693e-02 8.469043411479803751e+01
5.914285714285714590e+01 4.292243968009330501e+00 2.564496387029530755e+00 3.986926514964705603e+01 3.995650420670871483e+01 8.723905706166380014e+01 4.364511447499128116e-02 8.729022894900934659e+01
6.171428571428572241e+01 4.402977659283690670e+00 2.369343312364992737e+00 3.874736292655830283e+01 3.883712884805650134e+01 8.976592149819579447e+01 4.490909791220272507e-02 8.981819582454947692e+01
6.428571428571429180e+01 4.504844339512096063e+00 2.169418695587789880e+00 3.752925756168506410e+01 3.762148662592995407e+01 9.222906424489335109e+01 4.614123313845328034e-02 9.228246627700914928e+01
6.685714285714286120e+01 4.597638862757253086e+00 1.965125158269618311e+00 3.622032775344745659e+01 3.631496721339129152e+01 9.463945994384049243e+01 4.734701320630341909e-02 9.469402641314877656e+01
6.942857142857143060e+01 4.681174353198686688e+00 1.756874120406713757e+00 3.482732698298601548e+01 3.492433919206028037e+01 9.701220907426532847e+01 4.853399612873465774e-02 9.706799225694257416e+01
7.200000000000000000e+01 4.755282581475768211e+00 1.545084971874737256e+00 3.335875935127656788e+01 3.345812794866044726e+01 9.936859738388092467e+01 4.971283540559745528e-02 9.942567081110826166e+01
7.457142857142858361e+01 4.819814303479266648e+00 1.330184227833374644e+00 3.182550613430690234e+01 3.192724574965406958e+01 1.017396153471655822e+02 5.089904098931198606e-02 1.017980819784935989e+02
7.714285714285715301e+01 4.874639560909118430e+00 1.112604669781571243e+00 3.024193261040885972e+01 3.034610502563374368e+01 1.041724152248818598e+02 5.211620972857967937e-02 1.042324194564583877e+02
7.971428571428572241e+01 4.919647942993147893e+00 8.927844739931823925e-01 2.862801151127615640e+01 2.873475483869472669e+01 1.067433274185708427e+02 5.340253646142838206e-02 1.068050729226346931e+02
8.228571428571429180e+01 4.954748808839673835e+00 6.711663290882766697e-01 2.701391462764476969e+01 2.712350243949662598e+01 1.095878118518578361e+02 5.482579338722276541e-02 1.096515867747248336e+02
8.485714285714286120e+01 4.979871469976195897e+00 4.481965445171677831e-01 2.545197025973518379e+01 2.556495500361718953e+01 1.129847438820080754e+02 5.652546458672780272e-02 1.130509291736060646e+02
8.742857142857143060e+01 4.994965332706573058e+00 2.243241517525749185e-01 2.406019475005533081e+01 2.417786434994994949e+01 1.176695998946208874e+02 5.886885430850070239e-02 1.177377086172375016e+02
9.000000000000000000e+01 5.000000000000000000e+00 0.000000000000000000e+00 2.330573238069587205e+01 2.342905089912778038e+01 1.233185184319057726e+02 6.168593437967227755e-02 1.233718687591277217e+02
9.257142857142858361e+01 4.994965332706573058e+00 -2.243241517525754181e-01 2.406019475005525976e+01 2.417786434994954803e+01 1.176695998942878276e+02 5.886885430849989054e-02 1.177377086168246478e+02
