# E  alpha(eV.A)  gap_meV
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.999999999999999556e-01 2.189011863989258691e-02 4.378023727981666013e+01
1.399999999999999911e+00 4.202979949759463874e-02 8.405959899520503598e+01
2.099999999999999645e+00 5.970041854615861648e-02 1.194008370923038740e+02
2.799999999999999822e+00 7.457983101883665367e-02 1.491596620376411124e+02
3.499999999999999556e+00 8.650951548357432852e-02 1.730190309671333182e+02
4.199999999999999289e+00 9.553675775924259927e-02 1.910735155183501774e+02
4.899999999999999467e+00 1.019089448865255348e-01 2.038178897728823529e+02
5.599999999999999645e+00 1.060112817344834035e-01 2.120225634686043179e+02
6.299999999999998934e+00 1.082881877591477665e-01 2.165763755183625108e+02
7.000000000000000000e+00 1.091776572575714893e-01 2.183553145151395540e+02
