# E  alpha(eV.A)  gap_meV_2nd
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.999999999999999556e-01 2.432649864865375766e-03 4.865299729729914979e+00
1.399999999999999911e+00 3.589115888494682702e-03 7.178231776990006807e+00
2.099999999999999645e+00 4.339399015641703071e-03 8.678798031283227132e+00
2.799999999999999822e+00 4.872578975293882786e-03 9.745157950588613005e+00
3.499999999999999556e+00 5.269531313654537280e-03 1.053906262730997057e+01
4.199999999999999289e+00 5.573253408795147273e-03 1.114650681758450013e+01
4.899999999999999467e+00 5.809526201043700537e-03 1.161905240209398826e+01
5.599999999999999645e+00 5.995065250461617534e-03 1.199013050092595556e+01
6.299999999999998934e+00 6.141326211658628895e-03 1.228265242331216811e+01
7.000000000000000000e+00 6.256492994565644901e-03 1.251298598912986648e+01
