# theta_deg  Ey_V_per_um  Ez_V_per_um  GS1_meV  GS2_meV  numerical_gap_microeV  alpha_eV_A  perturbative_gap_k1_microeV  
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.381982808900284798e-01 2.459304332252248981e-01 7.732152335196418314e+00 3.882481807664383416e-03 7.764963615328754898e+00
1.800000000000000044e+00 3.141075907812829193e-02 9.995065603657316000e-01 2.361271116002178205e-01 2.440949218705523727e-01 7.967810270334552136e+00 3.999906780752440251e-03 7.999813561506916137e+00
3.600000000000000089e+00 6.279051952931337388e-02 9.980267284282716700e-01 2.299283299986298879e-01 2.385637685644453887e-01 8.635438565815501732e+00 4.332707366828737403e-03 8.665414733657774704e+00
5.400000000000000355e+00 9.410831331851433890e-02 9.955619646030799963e-01 2.196329830862625565e-01 2.292764623815085612e-01 9.643479295246004668e+00 4.835491885916042704e-03 9.670983771832315057e+00
7.200000000000000178e+00 1.253332335643042583e-01 9.921147013144778759e-01 2.052655723549928757e-01 2.161601076995367521e-01 1.089453534454387551e+01 5.459847053436153383e-03 1.091969410687605624e+01
9.000000000000000000e+00 1.564344650402308967e-01 9.876883405951378814e-01 1.868319374760674112e-01 1.991425942428626250e-01 1.231065676679521381e+01 6.166918881813894873e-03 1.233383776362974160e+01
1.080000000000000071e+01 1.873813145857246565e-01 9.822872507286887211e-01 1.643183406957043902e-01 1.781549589160852376e-01 1.383661822038084743e+01 6.929114771764607189e-03 1.385822954353050740e+01
1.259999999999999964e+01 2.181432413965425365e-01 9.759167619387474346e-01 1.376949074702454867e-01 1.531297564348471640e-01 1.543484896460167732e+01 7.727628479899713992e-03 1.545525695980116865e+01
1.440000000000000036e+01 2.486898871648547948e-01 9.685831611286310761e-01 1.069195266242412012e-01 1.239993022785351728e-01 1.707977565429397160e+01 8.549642076512618816e-03 1.709928415302437443e+01
1.619999999999999929e+01 2.789911060392293307e-01 9.602936856769430651e-01 7.194116232360492358e-02 9.069479822690351689e-02 1.875363590329859420e+01 9.386244487164293465e-03 1.877248897432716390e+01
1.800000000000000000e+01 3.090169943749473958e-01 9.510565162951535312e-01 3.270257337281701204e-02 5.314630469391290468e-02 2.044373132109589264e+01 1.023106137267084347e-02 2.046212274534295261e+01
1.980000000000000071e+01 3.387379202452914240e-01 9.408807689542254549e-01 -1.085736587436159084e-02 1.128332412067556412e-02 2.214068999503715673e+01 1.107938660752190094e-02 2.215877321504743591e+01
2.160000000000000142e+01 3.681245526846780303e-01 9.297764858882514583e-01 -5.880157991422496622e-02 -3.496420871892946813e-02 2.383737119529549631e+01 1.192763391867003933e-02 2.385526783733982725e+01
2.340000000000000213e+01 3.971478906347806204e-01 9.177546256839811400e-01 -1.111928388999872119e-01 -8.566467168903690865e-02 2.552816721095030417e+01 1.277298694214166162e-02 2.554597388428240734e+01
2.519999999999999929e+01 4.257792915650727150e-01 9.048270524660196878e-01 -1.680918800171238292e-01 -1.408833294598843544e-01 2.720855055723947657e+01 1.361317205791512039e-02 2.722634411582792779e+01
2.700000000000000000e+01 4.539904997395468045e-01 8.910065241883678988e-01 -2.295555732895054879e-01 -2.006807988382541819e-01 2.887477445125130515e+01 1.444630801726059371e-02 2.889261603451689098e+01
2.880000000000000071e+01 4.817536741017153235e-01 8.763066800438635839e-01 -2.956351171059801164e-01 -2.651114464747583721e-01 3.052367063122174429e+01 1.527080438132195905e-02 3.054160876264438329e+01
3.060000000000000142e+01 5.090414157503713177e-01 8.607420270039436438e-01 -3.663742564888050612e-01 -3.342217463502689112e-01 3.215251013853615092e+01 1.608529155765479543e-02 3.217058311530657022e+01
3.239999999999999858e+01 5.358267949789966567e-01 8.443279255020151863e-01 -4.418075201979981825e-01 -4.080486145800338305e-01 3.375890561796435207e+01 1.688857168158084537e-02 3.377714336316159205e+01
3.420000000000000284e+01 5.620833778521305835e-01 8.270805742745619416e-01 -5.219584729900528242e-01 -4.866177314851449776e-01 3.534074150490784660e+01 1.767958350896440406e-02 3.535916701794054262e+01
3.600000000000000000e+01 5.877852522924731371e-01 8.090169943749475623e-01 -6.068379778190330365e-01 -5.699418545151990756e-01 3.689612330383395999e+01 1.845737690244823176e-02 3.691475380489934111e+01
3.780000000000000426e+01 6.129070536529765967e-01 7.901550123756903021e-01 -6.964424600056084991e-01 -6.580191198325285873e-01 3.842334017307991445e+01 1.922109400627088072e-02 3.844218801254874762e+01
3.960000000000000142e+01 6.374239897486897455e-01 7.705132427757891422e-01 -7.907521617578072703e-01 -7.508313248056480704e-01 3.992083695215919903e+01 1.996995516945262311e-02 3.993991033889466280e+01
4.139999999999999858e+01 6.613118653236519373e-01 7.501110696304597036e-01 -8.897293709369674675e-01 -8.483421779235111870e-01 4.138719301345628310e+01 2.070324830219618870e-02 4.140649660440789148e+01
4.320000000000000284e+01 6.845471059286888371e-01 7.289686274214115524e-01 -9.933166026327572284e-01 -9.504954964830308883e-01 4.282110614972634011e+01 2.142032076234578336e-02 4.284064152468042863e+01
4.500000000000000000e+01 7.071067811865475727e-01 7.071067811865475727e-01 -1.101434705645304435e+00 -1.057213325408035143e+00 4.422138023726929390e+01 2.212057314409671821e-02 4.424114628819551598e+01
4.680000000000000426e+01 7.289686274214115524e-01 6.845471059286887261e-01 -1.213980858174521060e+00 -1.168393942362289106e+00 4.558691581223184386e+01 2.280345452795895164e-02 4.560690905592743860e+01
4.860000000000000142e+01 7.501110696304597036e-01 6.613118653236519373e-01 -1.330826407250560006e+00 -1.283909704326041679e+00 4.691670292451821922e+01 2.346845887878775891e-02 4.693691775757525875e+01
5.039999999999999858e+01 7.705132427757892533e-01 6.374239897486897455e-01 -1.451814494118630616e+00 -1.403604678284847695e+00 4.820981583378291901e+01 2.411512236634350687e-02 4.823024473269072843e+01
5.220000000000000284e+01 7.901550123756904132e-01 6.129070536529765967e-01 -1.576757391863595092e+00 -1.527291982657441594e+00 4.946540920615360903e+01 2.474302144145567456e-02 4.948604288293467590e+01
5.400000000000000000e+01 8.090169943749475623e-01 5.877852522924731371e-01 -1.705433460697472370e+00 -1.654750745133271028e+00 5.068271556420145174e+01 2.535177153666892669e-02 5.070354307331313493e+01
5.580000000000000426e+01 8.270805742745619416e-01 5.620833778521305835e-01 -1.837583598597605672e+00 -1.785722554852029020e+00 5.186104374557687180e+01 2.594102627444869885e-02 5.188205254890820584e+01
5.760000000000000142e+01 8.443279255020151863e-01 5.358267949789965456e-01 -1.972907027799716939e+00 -1.919907249667451854e+00 5.299977813226497148e+01 2.651047705535967969e-02 5.302095411071857711e+01
5.939999999999999858e+01 8.607420270039435328e-01 5.090414157503714288e-01 -2.111056207297942855e+00 -2.056957828998950966e+00 5.409837829899177564e+01 2.705985285270728208e-02 5.411970570541515713e+01
6.120000000000000284e+01 8.763066800438636950e-01 4.817536741017152124e-01 -2.251630592986789026e+00 -2.196474214445909290e+00 5.515637854087984948e+01 2.758891993836119771e-02 5.517783987674020807e+01
6.300000000000000000e+01 8.910065241883677878e-01 4.539904997395468600e-01 -2.394168873735877501e+00 -2.337995487385863491e+00 5.617338635001411973e+01 2.809748106856038014e-02 5.619496213714672450e+01
6.479999999999999716e+01 9.048270524660196878e-01 4.257792915650727150e-01 -2.538139184744436783e+00 -2.480990106558417452e+00 5.714907818601955114e+01 2.858537329992514447e-02 5.717074659984016449e+01
6.660000000000000853e+01 9.177546256839811400e-01 3.971478906347805649e-01 -2.682926629065940372e+00 -2.624843439435531334e+00 5.808318963040903782e+01 2.905246296569602427e-02 5.810492593137910688e+01
6.840000000000000568e+01 9.297764858882514583e-01 3.681245526846778637e-01 -2.827817214740874441e+00 -2.768841719995210227e+00 5.897549474566388028e+01 2.949863521603976468e-02 5.899727043206593180e+01
7.020000000000000284e+01 9.408807689542256769e-01 3.387379202452912574e-01 -2.971977037277473421e+00 -2.912151271706769684e+00 5.982576557070351697e+01 2.992377357733046195e-02 5.984754715464409713e+01
7.200000000000000000e+01 9.510565162951535312e-01 3.090169943749474513e-01 -3.114425229633427605e+00 -3.053791533537131286e+00 6.063369609629609869e+01 3.032772168952620195e-02 6.065544337900989547e+01
7.379999999999999716e+01 9.602936856769430651e-01 2.789911060392293307e-01 -3.253998957895146038e+00 -3.192600193626271565e+00 6.139876426887458649e+01 3.071021402346528484e-02 6.142042804691732272e+01
7.560000000000000853e+01 9.685831611286310761e-01 2.486898871648547393e-01 -3.389308817515798822e+00 -3.327188828231547824e+00 6.211998928425111188e+01 3.107075428421570903e-02 6.214150856846678295e+01
7.740000000000000568e+01 9.759167619387474346e-01 2.181432413965425088e-01 -3.518683993474589045e+00 -3.455888473328949662e+00 6.279552014563927287e+01 3.140840971654608460e-02 6.281681943307027183e+01
7.920000000000000284e+01 9.822872507286887211e-01 1.873813145857245455e-01 -3.640109782962627882e+00 -3.576687809259848638e+00 6.342197370277913393e+01 3.172148092616826343e-02 6.344296185234075836e+01
8.100000000000000000e+01 9.876883405951378814e-01 1.564344650402309245e-01 -3.751167909449653948e+00 -3.687174453383901263e+00 6.399345606575290901e+01 3.200701507516665739e-02 6.401403015032173016e+01
8.279999999999999716e+01 9.921147013144778759e-01 1.253332335643042583e-01 -3.849005756895840236e+00 -3.784505433648291284e+00 6.450032324754883462e+01 3.226019155060513843e-02 6.452038310120504150e+01
8.460000000000000853e+01 9.955619646030799963e-01 9.410831331851428339e-02 -3.930385633695326675e+00 -3.865457550912360318e+00 6.492808278296679703e+01 3.247378122243158027e-02 6.494756244483993157e+01
8.640000000000000568e+01 9.980267284282716700e-01 6.279051952931330449e-02 -3.991889923978877874e+00 -3.926632475745539530e+00 6.525744823333845090e+01 3.263818173686840185e-02 6.527636347370855674e+01
8.820000000000000284e+01 9.995065603657316000e-01 3.141075907812817397e-02 -4.030347842166451144e+00 -3.964880825527969499e+00 6.546701663848186570e+01 3.274275412624891302e-02 6.548550825248925378e+01
9.000000000000000000e+01 1.000000000000000000e+00 0.000000000000000000e+00 -4.043451441905002497e+00 -3.977912261088651036e+00 6.553918081635134740e+01 3.277875674811310536e-02 6.555751349620470592e+01
9.179999999999999716e+01 9.995065603657316000e-01 -3.141075907812827805e-02 -4.030347842166423611e+00 -3.964880825528191544e+00 6.546701663823206729e+01 3.274275412624921139e-02 6.548550825252047503e+01
9.360000000000000853e+01 9.980267284282716700e-01 -6.279051952931340164e-02 -3.991889923979294430e+00 -3.926632475745553297e+00 6.525744823374091652e+01 3.263818173686816593e-02 6.527636347366345149e+01
9.540000000000000568e+01 9.955619646030799963e-01 -9.410831331851438053e-02 -3.930385633695160585e+00 -3.865457550912901219e+00 6.492808278225903962e+01 3.247378122243176068e-02 6.494756244489848029e+01
9.720000000000000284e+01 9.921147013144777649e-01 -1.253332335643043693e-01 -3.849005756896104025e+00 -3.784505433648499562e+00 6.450032324760435642e+01 3.226019155060577681e-02 6.452038310122325981e+01
9.900000000000000000e+01 9.876883405951378814e-01 -1.564344650402308134e-01 -3.751167909449653948e+00 -3.687174453384151285e+00 6.399345606550311061e+01 3.200701507516763578e-02 6.401403015031088728e+01
1.007999999999999972e+02 9.822872507286887211e-01 -1.873813145857246010e-01 -3.640109782962724694e+00 -3.576687809259723849e+00 6.342197370300117854e+01 3.172148092616820098e-02 6.344296185230432883e+01
1.026000000000000085e+02 9.759167619387474346e-01 -2.181432413965425643e-01 -3.518683993474977623e+00 -3.455888473329615795e+00 6.279552014536171356e+01 3.140840971654627195e-02 6.281681943310496763e+01
1.044000000000000057e+02 9.685831611286310761e-01 -2.486898871648548781e-01 -3.389308817515743311e+00 -3.327188828231602891e+00 6.211998928414008958e+01 3.107075428421559801e-02 6.214150856842471882e+01
1.062000000000000028e+02 9.602936856769430651e-01 -2.789911060392293307e-01 -3.253998957895340549e+00 -3.192600193626590865e+00 6.139876426874968729e+01 3.071021402346498647e-02 6.142042804694377622e+01
1.080000000000000000e+02 9.510565162951536422e-01 -3.090169943749473402e-01 -3.114425229633316583e+00 -3.053791533536811986e+00 6.063369609650426639e+01 3.032772168952568848e-02 6.065544337906020189e+01
1.097999999999999972e+02 9.408807689542254549e-01 -3.387379202452913685e-01 -2.971977037277556910e+00 -2.912151271706742151e+00 5.982576557081453927e+01 2.992377357733004561e-02 5.984754715466058173e+01
1.116000000000000085e+02 9.297764858882514583e-01 -3.681245526846780303e-01 -2.827817214741012997e+00 -2.768841719995376760e+00 5.897549474563612648e+01 2.949863521603950101e-02 5.899727043207374066e+01
1.134000000000000057e+02 9.177546256839811400e-01 -3.971478906347806759e-01 -2.682926629065843116e+00 -2.624843439434989989e+00 5.808318963085312703e+01 2.905246296569553160e-02 5.810492593139125006e+01
1.152000000000000028e+02 9.048270524660195768e-01 -4.257792915650727150e-01 -2.538139184744603316e+00 -2.480990106558417452e+00 5.714907818618608815e+01 2.858537329992563020e-02 5.717074659983799023e+01
1.170000000000000000e+02 8.910065241883678988e-01 -4.539904997395467490e-01 -2.394168873735877501e+00 -2.337995487386057558e+00 5.617338634981982892e+01 2.809748106855983890e-02 5.619496213710509380e+01
1.187999999999999972e+02 8.763066800438636950e-01 -4.817536741017150459e-01 -2.251630592987274859e+00 -2.196474214446297868e+00 5.515637854097698778e+01 2.758891993836178058e-02 5.517783987673109891e+01
1.206000000000000085e+02 8.607420270039436438e-01 -5.090414157503713177e-01 -2.111056207297887344e+00 -2.056957828998784432e+00 5.409837829910279794e+01 2.705985285270749718e-02 5.411970570538912995e+01
1.224000000000000057e+02 8.443279255020149643e-01 -5.358267949789968787e-01 -1.972907027799994495e+00 -1.919907249667535121e+00 5.299977813245926228e+01 2.651047705535977683e-02 5.302095411068843589e+01
1.242000000000000028e+02 8.270805742745617195e-01 -5.620833778521306945e-01 -1.837583598597286594e+00 -1.785722554851654209e+00 5.186104374563238650e+01 2.594102627444922621e-02 5.188205254888826090e+01
1.260000000000000000e+02 8.090169943749475623e-01 -5.877852522924730261e-01 -1.705433460697181047e+00 -1.654750745133104495e+00 5.068271556407655254e+01 2.535177153666819116e-02 5.070354307334132216e+01
1.277999999999999972e+02 7.901550123756905242e-01 -6.129070536529762636e-01 -1.576757391863553570e+00 -1.527291982657399849e+00 4.946540920615360903e+01 2.474302144145597293e-02 4.948604288291168984e+01
1.295999999999999943e+02 7.705132427757892533e-01 -6.374239897486897455e-01 -1.451814494118047749e+00 -1.403604678285166774e+00 4.820981583288086370e+01 2.411512236634393708e-02 4.823024473268942813e+01
1.314000000000000057e+02 7.501110696304593706e-01 -6.613118653236520483e-01 -1.330826407250879084e+00 -1.283909704326222201e+00 4.691670292465699532e+01 2.346845887878783177e-02 4.693691775756246187e+01
1.332000000000000171e+02 7.289686274214114414e-01 -6.845471059286888371e-01 -1.213980858174798616e+00 -1.168393942362552895e+00 4.558691581224572076e+01 2.280345452795817796e-02 4.560690905591269484e+01
1.350000000000000000e+02 7.071067811865475727e-01 -7.071067811865475727e-01 -1.101434705645401468e+00 -1.057213325407840854e+00 4.422138023756072300e+01 2.212057314409673556e-02 4.424114628820441197e+01
1.368000000000000114e+02 6.845471059286885041e-01 -7.289686274214116635e-01 -9.933166026327572284e-01 -9.504954964830308883e-01 4.282110614972634011e+01 2.142032076234629684e-02 4.284064152469040465e+01
1.385999999999999943e+02 6.613118653236519373e-01 -7.501110696304597036e-01 -8.897293709368842007e-01 -8.483421779235250648e-01 4.138719301335913769e+01 2.070324830219631013e-02 4.140649660440062974e+01
1.404000000000000057e+02 6.374239897486896345e-01 -7.705132427757894753e-01 -7.907521617572799144e-01 -7.508313248053705147e-01 3.992083695190940063e+01 1.996995516945305332e-02 3.993991033890821996e+01
1.422000000000000171e+02 6.129070536529763746e-01 -7.901550123756904132e-01 -6.964424600054280878e-01 -6.580191198323204205e-01 3.842334017310766825e+01 1.922109400627118603e-02 3.844218801254159246e+01
