# E  alpha(eV.A)  gap_meV
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.499999999999999778e-01 4.456012254978190118e-03 8.912024509914740378e+00
6.999999999999999556e-01 8.867638584340460303e-03 1.773527716887081240e+01
1.049999999999999822e+00 1.320797146092305904e-02 2.641594292180499082e+01
1.399999999999999911e+00 1.746909683486743553e-02 3.493819366971870011e+01
1.749999999999999778e+00 2.165372221467364022e-02 4.330744442936193650e+01
2.099999999999999645e+00 2.576793022037069530e-02 5.153586044074047834e+01
2.449999999999999734e+00 2.981782744858584369e-02 5.963565489718221357e+01
2.799999999999999822e+00 3.380857707877106544e-02 6.761715415761707959e+01
3.149999999999999467e+00 3.774434185502659189e-02 7.548868371002464528e+01
3.499999999999999556e+00 4.162845783334786359e-02 8.325691566602594662e+01
3.849999999999999645e+00 4.546361475048416728e-02 9.092722950098871593e+01
4.199999999999999289e+00 4.925199217726206752e-02 9.850398435466006219e+01
4.549999999999999822e+00 5.299535187352779481e-02 1.059907037477547647e+02
4.899999999999999467e+00 5.669509701305323196e-02 1.133901940257517396e+02
5.250000000000000000e+00 6.035230802964609148e-02 1.207046160597094513e+02
5.599999999999999645e+00 6.396776197735992708e-02 1.279355239545906784e+02
5.949999999999999289e+00 6.754193983748355001e-02 1.350838796751741029e+02
6.299999999999998934e+00 7.107502447428323822e-02 1.421500489495672355e+02
6.649999999999998579e+00 7.456689079550658794e-02 1.491337815916551790e+02
7.000000000000000000e+00 7.801708892007701290e-02 1.560341778380977473e+02
