# E  alpha(eV.A)  gap_meV_2nd
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.499999999999999778e-01 1.373218253541582745e-03 2.746436507084469625e+00
6.999999999999999556e-01 2.232009663194551869e-03 4.464019326389044195e+00
1.049999999999999822e+00 2.876022647754199885e-03 5.752045295508482425e+00
1.399999999999999911e+00 3.392119049652452586e-03 6.784238099305593295e+00
1.749999999999999778e+00 3.820597900522907341e-03 7.641195801045587821e+00
2.099999999999999645e+00 4.184615698097264927e-03 8.369231396194997785e+00
2.449999999999999734e+00 4.498976134268092321e-03 8.997952268535030385e+00
2.799999999999999822e+00 4.773816693369967515e-03 9.547633386740999484e+00
3.149999999999999467e+00 5.016427317278225780e-03 1.003285463455419446e+01
3.499999999999999556e+00 5.232246754649330298e-03 1.046449350930109290e+01
3.849999999999999645e+00 5.425451233799706563e-03 1.085090246759692967e+01
4.199999999999999289e+00 5.599322872596560439e-03 1.119864574520429379e+01
4.549999999999999822e+00 5.756490976902541891e-03 1.151298195380817724e+01
4.899999999999999467e+00 5.899096040420595197e-03 1.179819208083077164e+01
5.250000000000000000e+00 6.028904684957605252e-03 1.205780936992112373e+01
5.599999999999999645e+00 6.147392334486761860e-03 1.229478466897165845e+01
5.949999999999999289e+00 6.255804017532521667e-03 1.251160803506651220e+01
6.299999999999998934e+00 6.355199954312291261e-03 1.271039990861227942e+01
6.649999999999998579e+00 6.446490317963260788e-03 1.289298063592014820e+01
7.000000000000000000e+00 6.530462139070310722e-03 1.306092427812155421e+01
