# kx  w0_meV w1_meV  gap_microeV
-2.799999999999999972e-03 1.964000189990356660e+01 1.966753158332923235e+01 2.752968342566575188e+01
-2.687999999999999851e-03 1.966883142364217107e+01 1.969525991973080536e+01 2.642849608863429012e+01
-2.576000000000000165e-03 1.969650670533709302e+01 1.972183401408871006e+01 2.532730875161703921e+01
-2.464000000000000044e-03 1.972302774498834310e+01 1.974725386640293578e+01 2.422612141459268287e+01
-2.351999999999999924e-03 1.974839454259591420e+01 1.977151947667347542e+01 2.312493407756122110e+01
-2.239999999999999804e-03 1.977260709815980988e+01 1.979463084490034674e+01 2.202374674053686476e+01
-2.128000000000000117e-03 1.979566541168002658e+01 1.981658797108353909e+01 2.092255940351250842e+01
-2.015999999999999997e-03 1.981756948315657496e+01 1.983739085522304890e+01 1.982137206647394123e+01
-1.903999999999999877e-03 1.983831931258943371e+01 1.985703949731888684e+01 1.872018472945313761e+01
-1.791999999999999973e-03 1.985791489997862058e+01 1.987553389737104581e+01 1.761899739242522855e+01
-1.680000000000000070e-03 1.987635624532413203e+01 1.989287405537952935e+01 1.651781005539731950e+01
-1.567999999999999949e-03 1.989364334862596451e+01 1.990905997134433392e+01 1.541662271836941045e+01
-1.456000000000000046e-03 1.990977620988411445e+01 1.992409164526546661e+01 1.431543538135215954e+01
-1.343999999999999926e-03 1.992475482909859252e+01 1.993796907714291677e+01 1.321424804432425049e+01
-1.232000000000000022e-03 1.993857920626939162e+01 1.995069226697669151e+01 1.211306070729989415e+01
-1.119999999999999902e-03 1.995124934139651884e+01 1.996226121476678728e+01 1.101187337026843238e+01
-1.007999999999999998e-03 1.996276523447996354e+01 1.997267592051320761e+01 9.910686033244076043e+00
-8.960000000000000950e-04 1.997312688551973991e+01 1.998193638421594542e+01 8.809498696205508850e+00
-7.839999999999999747e-04 1.998233429451583021e+01 1.999004260587500781e+01 7.708311359177599797e+00
-6.719999999999998544e-04 1.999038746146824153e+01 1.999699458549040187e+01 6.607124022160348886e+00
-5.600000000000001678e-04 1.999728638637697387e+01 2.000279232306210986e+01 5.505936685135992548e+00
-4.480000000000000475e-04 2.000303106924204144e+01 2.000743581859014597e+01 4.404749348104530782e+00
-3.359999999999999272e-04 2.000762151006342648e+01 2.001092507207450311e+01 3.303562011076621729e+00
-2.239999999999998069e-04 2.001105770884112900e+01 2.001326008351518126e+01 2.202374674052265391e+00
-1.120000000000001203e-04 2.001333966557516320e+01 2.001444085291218045e+01 1.101187337017250911e+00
0.000000000000000000e+00 2.001446738026549710e+01 2.001446738026552197e+01 2.486899575160350651e-11
1.120000000000001203e-04 2.001333966557516320e+01 2.001444085291218045e+01 1.101187337017250911e+00
2.239999999999998069e-04 2.001105770884112900e+01 2.001326008351518126e+01 2.202374674052265391e+00
3.359999999999999272e-04 2.000762151006342648e+01 2.001092507207450311e+01 3.303562011076621729e+00
4.480000000000000475e-04 2.000303106924204144e+01 2.000743581859014597e+01 4.404749348104530782e+00
5.600000000000001678e-04 1.999728638637697387e+01 2.000279232306210986e+01 5.505936685135992548e+00
6.719999999999998544e-04 1.999038746146824153e+01 1.999699458549040187e+01 6.607124022160348886e+00
7.839999999999999747e-04 1.998233429451583021e+01 1.999004260587500781e+01 7.708311359177599797e+00
8.960000000000000950e-04 1.997312688551973991e+01 1.998193638421594542e+01 8.809498696205508850e+00
1.007999999999999782e-03 1.996276523447996354e+01 1.997267592051320761e+01 9.910686033244076043e+00
1.119999999999999902e-03 1.995124934139651884e+01 1.996226121476678728e+01 1.101187337026843238e+01
1.232000000000000022e-03 1.993857920626939162e+01 1.995069226697669151e+01 1.211306070729989415e+01
1.344000000000000142e-03 1.992475482909859252e+01 1.993796907714291677e+01 1.321424804432425049e+01
1.456000000000000263e-03 1.990977620988411800e+01 1.992409164526546306e+01 1.431543538134505411e+01
1.568000000000000383e-03 1.989364334862596451e+01 1.990905997134433392e+01 1.541662271836941045e+01
1.679999999999999636e-03 1.987635624532413203e+01 1.989287405537952935e+01 1.651781005539731950e+01
1.791999999999999756e-03 1.985791489997862769e+01 1.987553389737104226e+01 1.761899739241457041e+01
1.903999999999999877e-03 1.983831931258943371e+01 1.985703949731888684e+01 1.872018472945313761e+01
2.015999999999999997e-03 1.981756948315657496e+01 1.983739085522304890e+01 1.982137206647394123e+01
2.128000000000000117e-03 1.979566541168002658e+01 1.981658797108353909e+01 2.092255940351250842e+01
2.240000000000000237e-03 1.977260709815980988e+01 1.979463084490034674e+01 2.202374674053686476e+01
2.352000000000000358e-03 1.974839454259591420e+01 1.977151947667347542e+01 2.312493407756122110e+01
2.463999999999999611e-03 1.972302774498834310e+01 1.974725386640293578e+01 2.422612141459268287e+01
2.575999999999999731e-03 1.969650670533709302e+01 1.972183401408871006e+01 2.532730875161703921e+01
2.687999999999999851e-03 1.966883142364217107e+01 1.969525991973080536e+01 2.642849608863429012e+01
2.799999999999999972e-03 1.964000189990356660e+01 1.966753158332923235e+01 2.752968342566575188e+01
