# E  alpha(eV.A)  gap_meV_2nd  gap_meV_4th
0.000000000000000000e+00 -0.000000000000000000e+00 1.344410693882025498e-10 1.344410693882025498e-10
1.500000000000000118e-02 -1.913218421690558398e-04 3.826436844696010087e-01 3.824831748145546273e-01
3.000000000000000236e-02 -3.826436843381116797e-04 7.652873688038935862e-01 7.649584306008289092e-01
4.499999999999999833e-02 -5.739655265071674653e-04 1.147931053142523083e+00 1.147417848595087886e+00
6.000000000000000472e-02 -7.652873686762233594e-04 1.530574737484621917e+00 1.529853509890481744e+00
7.499999999999999722e-02 -9.566092108452791450e-04 1.913218421823251081e+00 1.912257495586232370e+00
8.999999999999999667e-02 -1.147931053014334931e-03 2.295862106162747995e+00 2.294621886786765597e+00
1.050000000000000100e-01 -1.339252895183390933e-03 2.678505790501377160e+00 2.676938764603446597e+00
1.200000000000000094e-01 -1.530574737352446719e-03 3.061149474843475993e+00 3.059200210113813156e+00
1.349999999999999811e-01 -1.721896579521502288e-03 3.443793159174299401e+00 3.441398304446577239e+00
1.499999999999999944e-01 -1.913218421690558290e-03 3.826436843512928565e+00 3.823525128678409324e+00
