# E  alpha(eV.A)  gap_meV_2nd  gap_meV_4th
0.000000000000000000e+00 0.000000000000000000e+00 1.517883041479706208e-10 1.517883041479706208e-10
1.500000000000000118e-02 7.397807265623400450e-05 1.479561453137864802e-01 1.471704394314862774e-01
3.000000000000000236e-02 1.479561453124680090e-04 2.959122906249708751e-01 2.935409976218689154e-01
4.499999999999999833e-02 2.219342179687019999e-04 4.438684359378899935e-01 4.383117933309116365e-01
6.000000000000000472e-02 2.959122906249360180e-04 5.918245812499417502e-01 5.806829453183781631e-01
7.499999999999999722e-02 3.698903632811700089e-04 7.397807265637281748e-01 7.198545723440321620e-01
8.999999999999999667e-02 4.438684359374039999e-04 8.877368718749125698e-01 8.550267931667701049e-01
1.050000000000000100e-01 5.178465085936379908e-04 1.035693017187831799e+00 9.853997265463556587e-01
1.200000000000000094e-01 5.918245812498720360e-04 1.183649162500750807e+00 1.110173491239950572e+00
1.349999999999999811e-01 6.658026539061059727e-04 1.331605307813670036e+00 1.228548206009920429e+00
1.499999999999999944e-01 7.397807265623400179e-04 1.479561453124854431e+00 1.339723989615161592e+00
