# kx  valence1  valence2  conduction1  conduction2  band_gap
-2.800000000000e-03 9.422691354571e-02 9.464819702873e-02 2.082213104629e-01 2.082213104629e-01 1.135731134342e-01
-2.566666666667e-03 9.427060220596e-02 9.466736627889e-02 2.081759229634e-01 2.081759229634e-01 1.135085566845e-01
-2.333333333333e-03 9.431223551635e-02 9.468226715769e-02 2.081344821300e-01 2.081344821300e-01 1.134522149723e-01
-2.100000000000e-03 9.435192264060e-02 9.469300355319e-02 2.080969879827e-01 2.080969879827e-01 1.134039844295e-01
-1.866666666667e-03 9.438975220536e-02 9.469969271778e-02 2.080634405393e-01 2.080634405393e-01 1.133637478215e-01
-1.633333333333e-03 9.442578665331e-02 9.470246575240e-02 2.080338398160e-01 2.080338398160e-01 1.133313740636e-01
-1.400000000000e-03 9.446005733931e-02 9.470146777915e-02 2.080081858271e-01 2.080081858271e-01 1.133067180480e-01
-1.166666666667e-03 9.449256093232e-02 9.469685767045e-02 2.079864785849e-01 2.079864785849e-01 1.132896209145e-01
-9.333333333333e-04 9.452325759667e-02 9.468880718382e-02 2.079687180998e-01 2.079687180998e-01 1.132799109160e-01
-7.000000000000e-04 9.455207123857e-02 9.467749934323e-02 2.079549043803e-01 2.079549043803e-01 1.132774050371e-01
-4.666666666667e-04 9.457889184712e-02 9.466312591884e-02 2.079450374330e-01 2.079450374330e-01 1.132819115142e-01
-2.333333333333e-04 9.460357969056e-02 9.464588389672e-02 2.079391172628e-01 2.079391172628e-01 1.132932333661e-01
0.000000000000e+00 9.462597090648e-02 9.462597090648e-02 2.079371438724e-01 2.079371438724e-01 1.133111729659e-01
2.333333333333e-04 9.460357969056e-02 9.464588389672e-02 2.079391172628e-01 2.079391172628e-01 1.132932333661e-01
4.666666666667e-04 9.457889184712e-02 9.466312591884e-02 2.079450374330e-01 2.079450374330e-01 1.132819115142e-01
7.000000000000e-04 9.455207123857e-02 9.467749934323e-02 2.079549043803e-01 2.079549043803e-01 1.132774050371e-01
9.333333333333e-04 9.452325759667e-02 9.468880718382e-02 2.079687180998e-01 2.079687180998e-01 1.132799109160e-01
1.166666666667e-03 9.449256093232e-02 9.469685767045e-02 2.079864785849e-01 2.079864785849e-01 1.132896209145e-01
1.400000000000e-03 9.446005733931e-02 9.470146777916e-02 2.080081858271e-01 2.080081858271e-01 1.133067180480e-01
1.633333333333e-03 9.442578665331e-02 9.470246575240e-02 2.080338398160e-01 2.080338398160e-01 1.133313740636e-01
1.866666666667e-03 9.438975220536e-02 9.469969271778e-02 2.080634405393e-01 2.080634405393e-01 1.133637478215e-01
2.100000000000e-03 9.435192264060e-02 9.469300355319e-02 2.080969879827e-01 2.080969879827e-01 1.134039844295e-01
2.333333333333e-03 9.431223551635e-02 9.468226715769e-02 2.081344821300e-01 2.081344821300e-01 1.134522149723e-01
2.566666666667e-03 9.427060220596e-02 9.466736627889e-02 2.081759229634e-01 2.081759229634e-01 1.135085566845e-01
2.800000000000e-03 9.422691354571e-02 9.464819702873e-02 2.082213104629e-01 2.082213104629e-01 1.135731134342e-01
