# kx  valence1  valence2  conduction1  conduction2  band_gap
-2.800000000000e-03 1.216554310806e-01 1.217139215663e-01 1.661560065648e-01 1.661560065648e-01 4.444208499854e-02
-2.566666666667e-03 1.217081332155e-01 1.217620346540e-01 1.661106190653e-01 1.661106190653e-01 4.434858441138e-02
-2.333333333333e-03 1.217565232855e-01 1.218057611953e-01 1.660691782319e-01 1.660691782319e-01 4.426341703662e-02
-2.100000000000e-03 1.218005886474e-01 1.218450953595e-01 1.660316840846e-01 1.660316840846e-01 4.418658872503e-02
-1.866666666667e-03 1.218403175313e-01 1.218800321773e-01 1.659981366412e-01 1.659981366412e-01 4.411810446394e-02
-1.633333333333e-03 1.218756990431e-01 1.219105675450e-01 1.659685359180e-01 1.659685359180e-01 4.405796837299e-02
-1.400000000000e-03 1.219067231680e-01 1.219366982287e-01 1.659428819291e-01 1.659428819291e-01 4.400618370034e-02
-1.166666666667e-03 1.219333807724e-01 1.219584218677e-01 1.659211746868e-01 1.659211746868e-01 4.396275281917e-02
-9.333333333333e-04 1.219556636065e-01 1.219757369772e-01 1.659034142017e-01 1.659034142017e-01 4.392767722453e-02
-7.000000000000e-04 1.219735643052e-01 1.219886429516e-01 1.658896004822e-01 1.658896004822e-01 4.390095753064e-02
-4.666666666667e-04 1.219870763900e-01 1.219971400664e-01 1.658797335350e-01 1.658797335350e-01 4.388259346851e-02
-2.333333333333e-04 1.219961942691e-01 1.220012294807e-01 1.658738133647e-01 1.658738133647e-01 4.387258388396e-02
0.000000000000e+00 1.220009132383e-01 1.220009132383e-01 1.658718399743e-01 1.658718399743e-01 4.387092673599e-02
2.333333333333e-04 1.219961942691e-01 1.220012294807e-01 1.658738133647e-01 1.658738133647e-01 4.387258388396e-02
4.666666666667e-04 1.219870763900e-01 1.219971400664e-01 1.658797335350e-01 1.658797335350e-01 4.388259346851e-02
7.000000000000e-04 1.219735643052e-01 1.219886429516e-01 1.658896004822e-01 1.658896004822e-01 4.390095753064e-02
9.333333333333e-04 1.219556636065e-01 1.219757369772e-01 1.659034142017e-01 1.659034142017e-01 4.392767722453e-02
1.166666666667e-03 1.219333807724e-01 1.219584218677e-01 1.659211746868e-01 1.659211746868e-01 4.396275281917e-02
1.400000000000e-03 1.219067231680e-01 1.219366982287e-01 1.659428819291e-01 1.659428819291e-01 4.400618370034e-02
1.633333333333e-03 1.218756990431e-01 1.219105675450e-01 1.659685359180e-01 1.659685359180e-01 4.405796837299e-02
1.866666666667e-03 1.218403175313e-01 1.218800321773e-01 1.659981366412e-01 1.659981366412e-01 4.411810446394e-02
2.100000000000e-03 1.218005886474e-01 1.218450953595e-01 1.660316840846e-01 1.660316840846e-01 4.418658872503e-02
2.333333333333e-03 1.217565232855e-01 1.218057611953e-01 1.660691782319e-01 1.660691782319e-01 4.426341703662e-02
2.566666666667e-03 1.217081332155e-01 1.217620346540e-01 1.661106190653e-01 1.661106190653e-01 4.434858441138e-02
2.800000000000e-03 1.216554310806e-01 1.217139215663e-01 1.661560065648e-01 1.661560065648e-01 4.444208499854e-02
