# kx  w0_meV w1_meV  gap_microeV
-2.799999999999999972e-03 7.522056569712905372e+00 8.007475015189527312e+00 4.854184454766219687e+02
-2.687999999999999851e-03 7.561901683522917139e+00 8.027903391180467807e+00 4.660017076575506962e+02
-2.576000000000000165e-03 7.600516726112503285e+00 8.047101695950974687e+00 4.465849698384714088e+02
-2.464000000000000044e-03 7.637901697481658481e+00 8.065069929501056833e+00 4.271682320193983742e+02
-2.351999999999999924e-03 7.674056597630387166e+00 8.081808091830712470e+00 4.077514942003252827e+02
-2.239999999999999804e-03 7.708981426558688455e+00 8.097316182939939821e+00 3.883347563812513954e+02
-2.128000000000000117e-03 7.742676184266563233e+00 8.111594202828735334e+00 3.689180185621721080e+02
-2.015999999999999997e-03 7.775140870754009725e+00 8.124642151497107889e+00 3.495012807430981638e+02
-1.903999999999999877e-03 7.806375486021028820e+00 8.136460028945053935e+00 3.300845429240251292e+02
-1.791999999999999973e-03 7.836380030067620517e+00 8.147047835172569918e+00 3.106678051049494229e+02
-1.680000000000000070e-03 7.865154502893783039e+00 8.156405570179662945e+00 2.912510672858799126e+02
-1.567999999999999949e-03 7.892698904499522605e+00 8.164533233966320580e+00 2.718343294667979535e+02
-1.456000000000000046e-03 7.919013234884829444e+00 8.171430826532555258e+00 2.524175916477258284e+02
-1.343999999999999926e-03 7.944097494049713326e+00 8.177098347878361650e+00 2.330008538286483315e+02
-1.232000000000000022e-03 7.967951681994165369e+00 8.181535798003741533e+00 2.135841160095761779e+02
-1.119999999999999902e-03 7.990575798718193568e+00 8.184743176908693130e+00 1.941673781904995622e+02
-1.007999999999999998e-03 8.011969844221788151e+00 8.186720484593221769e+00 1.747506403714336329e+02
-8.960000000000000950e-04 8.032133818504959777e+00 8.187467721057318570e+00 1.553339025523587793e+02
-7.839999999999999747e-04 8.051067721567704893e+00 8.186984886300985309e+00 1.359171647332804014e+02
-6.719999999999998544e-04 8.068771553410019948e+00 8.185271980324230867e+00 1.165004269142109194e+02
-5.600000000000001678e-04 8.085245314031908492e+00 8.182329003127044587e+00 9.708368909513609424e+01
-4.480000000000000475e-04 8.100489003433368751e+00 8.178155954709430020e+00 7.766695127606126903e+01
-3.359999999999999272e-04 8.114502621614402500e+00 8.172752835071390720e+00 5.825021345698822017e+01
-2.239999999999998069e-04 8.127286168575009739e+00 8.166119644212921358e+00 3.883347563791161861e+01
-1.120000000000001203e-04 8.138839644315188693e+00 8.158256382134029039e+00 1.941673781884034611e+01
0.000000000000000000e+00 8.149163048834703105e+00 8.149163048834941137e+00 2.380318164796335623e-10
1.120000000000001203e-04 8.138839644314963095e+00 8.158256382134261742e+00 1.941673781929864617e+01
2.239999999999998069e-04 8.127286168574777037e+00 8.166119644213157613e+00 3.883347563838057681e+01
3.359999999999999272e-04 8.114502621614171574e+00 8.172752835071626976e+00 5.825021345745540202e+01
4.480000000000000475e-04 8.100489003433132496e+00 8.178155954709666275e+00 7.766695127653377995e+01
5.600000000000001678e-04 8.085245314031679342e+00 8.182329003127280842e+00 9.708368909560149973e+01
6.719999999999998544e-04 8.068771553409790798e+00 8.185271980324467123e+00 1.165004269146763249e+02
7.839999999999999747e-04 8.051067721567475743e+00 8.186984886301225117e+00 1.359171647337493596e+02
8.960000000000000950e-04 8.032133818504723521e+00 8.187467721057558379e+00 1.553339025528348429e+02
1.007999999999999782e-03 8.011969844221562553e+00 8.186720484593458025e+00 1.747506403718954857e+02
1.119999999999999902e-03 7.990575798717964418e+00 8.184743176908932938e+00 1.941673781909685204e+02
1.232000000000000022e-03 7.967951681993946877e+00 8.181535798003981341e+00 2.135841160100344496e+02
1.344000000000000142e-03 7.944097494049494834e+00 8.177098347878601459e+00 2.330008538291066316e+02
1.456000000000000263e-03 7.919013234884600294e+00 8.171430826532793290e+00 2.524175916481929960e+02
1.568000000000000383e-03 7.892698904499298784e+00 8.164533233966560388e+00 2.718343294672616253e+02
1.679999999999999636e-03 7.865154502893564548e+00 8.156405570179899200e+00 2.912510672863346599e+02
1.791999999999999756e-03 7.836380030067405578e+00 8.147047835172807950e+00 3.106678051054023513e+02
1.903999999999999877e-03 7.806375486020812993e+00 8.136460028945291967e+00 3.300845429244789671e+02
2.015999999999999997e-03 7.775140870753797451e+00 8.124642151497347697e+00 3.495012807435502395e+02
2.128000000000000117e-03 7.742676184266347406e+00 8.111594202828971589e+00 3.689180185626241837e+02
2.240000000000000237e-03 7.708981426558477956e+00 8.097316182940176077e+00 3.883347563816981278e+02
2.352000000000000358e-03 7.674056597630181109e+00 8.081808091830948726e+00 4.077514942007676382e+02
2.463999999999999611e-03 7.637901697481447094e+00 8.065069929501293089e+00 4.271682320198460161e+02
2.575999999999999731e-03 7.600516726112299004e+00 8.047101695951210942e+00 4.465849698389119453e+02
2.687999999999999851e-03 7.561901683522716411e+00 8.027903391180700510e+00 4.660017076579840705e+02
2.799999999999999972e-03 7.522056569712700203e+00 8.007475015189761791e+00 4.854184454770615957e+02
