# kx  w0_meV w1_meV  gap_microeV
-2.799999999999999972e-03 1.960818561075827304e+01 1.965093569012240593e+01 4.275007936413288689e+01
-2.687999999999999851e-03 1.963662578268193926e+01 1.967766585887151010e+01 4.104007618957083992e+01
-2.576000000000000165e-03 1.966394002928575446e+01 1.970327010230075260e+01 3.933007301499813479e+01
-2.464000000000000044e-03 1.969012835056971511e+01 1.972774842041015120e+01 3.762006984043608782e+01
-2.351999999999999924e-03 1.971519074653382120e+01 1.975110081319969879e+01 3.591006666587759355e+01
-2.239999999999999804e-03 1.973912721717808338e+01 1.977332728066939183e+01 3.420006349130844114e+01
-2.128000000000000117e-03 1.976193776250248035e+01 1.979442782281923030e+01 3.249006031674994688e+01
-2.015999999999999997e-03 1.978362238250703697e+01 1.981440243964921422e+01 3.078005714217724176e+01
-1.903999999999999877e-03 1.980418107719173193e+01 1.983325113115935068e+01 2.907005396761874749e+01
-1.791999999999999973e-03 1.982361384655658654e+01 1.985097389734962903e+01 2.736005079304248966e+01
-1.680000000000000070e-03 1.984192069060157948e+01 1.986757073822005637e+01 2.565004761847688997e+01
-1.567999999999999949e-03 1.985910160932671786e+01 1.988304165377063626e+01 2.394004444391839570e+01
-1.456000000000000046e-03 1.987515660273201235e+01 1.989738664400136159e+01 2.223004126934924329e+01
-1.343999999999999926e-03 1.989008567081744872e+01 1.991060570891223236e+01 2.052003809478364360e+01
-1.232000000000000022e-03 1.990388881358303408e+01 1.992269884850325212e+01 1.881003492021804391e+01
-1.119999999999999902e-03 1.991656603102876133e+01 1.993366606277442088e+01 1.710003174565954964e+01
-1.007999999999999998e-03 1.992811732315464468e+01 1.994350735172573508e+01 1.539002857109039724e+01
-8.960000000000000950e-04 1.993854268996068058e+01 1.995222271535719472e+01 1.368002539651413940e+01
-7.839999999999999747e-04 1.994784213144685125e+01 1.995981215366880690e+01 1.197002222195564514e+01
-6.719999999999998544e-04 1.995601564761316737e+01 1.996627566666056808e+01 1.026001904740070358e+01
-5.600000000000001678e-04 1.996306323845964670e+01 1.997161325433247114e+01 8.550015872824445751e+00
-4.480000000000000475e-04 1.996898490398626436e+01 1.997582491668452676e+01 6.840012698262398771e+00
-3.359999999999999272e-04 1.997378064419303101e+01 1.997891065371672070e+01 5.130009523689693651e+00
-2.239999999999998069e-04 1.997745045907993955e+01 1.998087046542907430e+01 3.420006349134752099e+00
-1.120000000000001203e-04 1.997999434864700063e+01 1.998170435182156979e+01 1.710003174569152407e+00
0.000000000000000000e+00 1.998141231289416453e+01 1.998141231289426045e+01 9.592326932761352509e-11
1.120000000000001203e-04 1.997999434864700063e+01 1.998170435182156979e+01 1.710003174569152407e+00
2.239999999999998069e-04 1.997745045907993955e+01 1.998087046542907430e+01 3.420006349134752099e+00
3.359999999999999272e-04 1.997378064419303101e+01 1.997891065371672070e+01 5.130009523689693651e+00
4.480000000000000475e-04 1.996898490398626436e+01 1.997582491668452676e+01 6.840012698262398771e+00
5.600000000000001678e-04 1.996306323845964670e+01 1.997161325433247114e+01 8.550015872824445751e+00
6.719999999999998544e-04 1.995601564761316737e+01 1.996627566666056808e+01 1.026001904740070358e+01
7.839999999999999747e-04 1.994784213144685125e+01 1.995981215366880690e+01 1.197002222195564514e+01
8.960000000000000950e-04 1.993854268996068058e+01 1.995222271535719472e+01 1.368002539651413940e+01
1.007999999999999782e-03 1.992811732315464468e+01 1.994350735172573508e+01 1.539002857109039724e+01
1.119999999999999902e-03 1.991656603102876133e+01 1.993366606277442088e+01 1.710003174565954964e+01
1.232000000000000022e-03 1.990388881358303408e+01 1.992269884850325212e+01 1.881003492021804391e+01
1.344000000000000142e-03 1.989008567081745227e+01 1.991060570891222881e+01 2.052003809477653817e+01
1.456000000000000263e-03 1.987515660273201235e+01 1.989738664400136159e+01 2.223004126934924329e+01
1.568000000000000383e-03 1.985910160932671786e+01 1.988304165377063626e+01 2.394004444391839570e+01
1.679999999999999636e-03 1.984192069060157948e+01 1.986757073822005637e+01 2.565004761847688997e+01
1.791999999999999756e-03 1.982361384655658654e+01 1.985097389734962903e+01 2.736005079304248966e+01
1.903999999999999877e-03 1.980418107719173904e+01 1.983325113115934712e+01 2.907005396760808935e+01
2.015999999999999997e-03 1.978362238250703697e+01 1.981440243964921422e+01 3.078005714217724176e+01
2.128000000000000117e-03 1.976193776250248035e+01 1.979442782281923030e+01 3.249006031674994688e+01
2.240000000000000237e-03 1.973912721717808338e+01 1.977332728066939183e+01 3.420006349130844114e+01
2.352000000000000358e-03 1.971519074653382120e+01 1.975110081319969879e+01 3.591006666587759355e+01
2.463999999999999611e-03 1.969012835056971511e+01 1.972774842041015120e+01 3.762006984043608782e+01
2.575999999999999731e-03 1.966394002928575446e+01 1.970327010230075260e+01 3.933007301499813479e+01
2.687999999999999851e-03 1.963662578268193926e+01 1.967766585887151010e+01 4.104007618957083992e+01
2.799999999999999972e-03 1.960818561075827304e+01 1.965093569012240593e+01 4.275007936413288689e+01
