# theta_deg  Ey_V_per_um  Ez_V_per_um  GS1_meV  GS2_meV  numerical_gap_microeV  alpha_eV_A  perturbative_gap_k1_microeV  
0.000000000000000000e+00 0.000000000000000000e+00 7.000000000000000000e+00 6.481641268868301609e+01 6.483560245671067435e+01 1.918976802765815037e+01 9.635105659440980699e-03 1.927021131888084682e+01
2.399999999999999911e+00 2.931295761043973824e-01 6.993859810692009127e+00 6.495986229958613478e+01 6.498504992849186124e+01 2.518762890571512969e+01 1.262686595024085229e-02 2.525373190040425442e+01
4.799999999999999822e+00 5.857449033262084326e-01 6.975450014746530591e+00 6.537016672844580967e+01 6.540779923934397289e+01 3.763251089816677109e+01 1.884294873117026495e-02 3.768589746232231619e+01
7.199999999999999289e+00 8.773326349501295862e-01 6.944802909201344576e+00 6.599308614714513510e+01 6.604476939480177577e+01 5.168324765664200982e+01 2.586613949705868568e-02 5.173227899410437658e+01
9.599999999999999645e+00 1.167381227012715739e+00 6.901972259493534878e+00 6.676192732690711296e+01 6.682785918950197868e+01 6.593186259486184042e+01 3.299015052658534758e-02 6.598030105323115890e+01
1.200000000000000000e+01 1.455381835724315565e+00 6.847033205136639822e+00 6.761518527760559039e+01 6.769514532179069022e+01 7.996004418510393918e+01 4.000470725707401531e-02 8.000941451398458071e+01
1.439999999999999858e+01 1.740829210153983286e+00 6.780082127900417532e+00 6.850263112901455997e+01 6.859626287692074698e+01 9.363174790619210341e+01 4.684132170212691737e-02 9.368264340407772295e+01
1.680000000000000071e+01 2.023222578611301170e+00 6.701236482724469923e+00 6.938506268134197796e+01 6.949196660377467083e+01 1.069039224326912034e+02 5.347826555925080938e-02 1.069565311185433103e+02
1.919999999999999929e+01 2.302066527170082644e+00 6.610634591662367221e+00 7.023212325266240441e+01 7.035188911141105450e+01 1.197658587486494213e+02 5.991009121397863207e-02 1.198201824280792351e+02
2.159999999999999787e+01 2.576871868792744991e+00 6.508435401217759875e+00 7.102009613881239147e+01 7.115231421503480647e+01 1.322180762224067792e+02 6.613701372607941331e-02 1.322740274520700723e+02
2.400000000000000000e+01 2.847156501530601513e+00 6.394818203498206621e+00 7.173018199797532191e+01 7.187444684262951000e+01 1.442648446541988676e+02 7.216114628398764830e-02 1.443222925681109245e+02
2.639999999999999858e+01 3.112446254294492398e+00 6.269982321675890091e+00 7.234726322611686555e+01 7.250317481863538660e+01 1.559115925185150502e+02 7.798519301653780711e-02 1.559703860330302518e+02
2.879999999999999716e+01 3.372275718712006043e+00 6.134146760307044310e+00 7.285904159094476995e+01 7.302620566283864889e+01 1.671640718938910481e+02 8.361202615507198899e-02 1.672240523103440921e+02
3.119999999999999929e+01 3.626189065611911122e+00 5.987549821123546501e+00 7.325543828547831993e+01 7.343346642593103013e+01 1.780281404527156326e+02 8.904457438320269314e-02 1.780891487666164039e+02
3.360000000000000142e+01 3.873740844703408737e+00 5.830448684970696682e+00 7.352817352806013673e+01 7.371668327351572714e+01 1.885097454555895240e+02 9.428581342421862854e-02 1.885716268485299167e+02
3.600000000000000000e+01 4.114496766047311738e+00 5.663118960624631271e+00 7.367046876946962186e+01 7.386908373085088897e+01 1.986149613812798691e+02 9.933878405404643341e-02 1.986775681081381890e+02
3.839999999999999858e+01 4.348034461948172336e+00 5.485854201280878861e+00 7.367683351758940091e+01 7.388518354857527015e+01 2.083500309858765718e+02 1.042066121504049703e-01 2.084132243008046714e+02
4.079999999999999716e+01 4.573944227930737405e+00 5.298965389562294348e+00 7.354291162388317105e+01 7.376063301895283075e+01 2.177213950696615825e+02 1.088925232783207880e-01 2.177850465565761624e+02
4.319999999999999574e+01 4.791829741500820639e+00 5.102780391949880645e+00 7.326537037240018435e+01 7.349210608059368610e+01 2.267357081934956398e+02 1.133998503675791858e-01 2.267997007350808190e+02
4.560000000000000142e+01 5.001308757429622887e+00 4.897643383593558220e+00 7.284182135445567496e+01 7.307722119508103731e+01 2.353998406253582232e+02 1.177320345911572197e-01 2.354640691822756935e+02
4.800000000000000000e+01 5.202013778341759043e+00 4.683914244512007663e+00 7.227076594157944101e+01 7.251448680778632649e+01 2.437208662068868250e+02 1.218926192804480890e-01 2.437852385607924930e+02
5.039999999999999858e+01 5.393592699430524995e+00 4.461967928240827774e+00 7.155156088221178834e+01 7.180326691550673956e+01 2.517060332949544375e+02 1.258852354629505510e-01 2.517704709258106277e+02
5.279999999999999716e+01 5.575709426169373373e+00 4.232193804036624485e+00 7.068440161618713091e+01 7.094376432770003760e+01 2.593627115129032177e+02 1.297135754143962094e-01 2.594271508286616381e+02
5.519999999999999574e+01 5.748044463935927162e+00 3.994994973791022641e+00 6.967032267118359812e+01 6.993702097087172831e+01 2.666982996881312147e+02 1.333813469701740639e-01 2.667626939403810979e+02
5.759999999999999432e+01 5.910295478514104417e+00 3.750787564852977152e+00 6.851121627467820474e+01 6.878493634240028598e+01 2.737200677220691318e+02 1.368921950684303113e-01 2.737843901369080299e+02
6.000000000000000000e+01 6.062177826491070398e+00 3.500000000000000444e+00 6.720987240831310316e+01 6.749030729076081059e+01 2.804348824476943491e+02 1.402495657481442337e-01 2.804991314963451146e+02
6.239999999999999858e+01 6.203425054618502799e+00 3.243072245839032419e+00 6.577004639832010469e+01 6.605689512352911663e+01 2.868487252090240531e+02 1.434564668387049990e-01 2.869129336776910009e+02
6.479999999999999716e+01 6.333789367262137482e+00 2.980455040955508839e+00 6.419656451496250327e+01 6.448953034163754694e+01 2.929658266750401481e+02 1.465150388387575220e-01 2.930300776773225948e+02
6.720000000000000284e+01 6.453042061119504069e+00 2.712609105164720535e+00 6.249548530317056816e+01 6.279427238074680417e+01 2.987870775762388575e+02 1.494257668862415955e-01 2.988515337722791401e+02
6.959999999999999432e+01 6.560973926443240067e+00 2.440004331252707104e+00 6.067434718237883118e+01 6.097865420044073659e+01 3.043070180619028520e+02 1.521859886187497124e-01 3.043719772375177968e+02
7.200000000000000000e+01 6.657395614066074607e+00 2.163118960624632159e+00 5.874255698888040911e+01 5.905206489028048367e+01 3.095079014000731945e+02 1.547869540000910149e-01 3.095739080002310288e+02
7.439999999999999147e+01 6.742137967583606617e+00 1.882438744306861311e+00 5.671202284158798079e+01 5.702637020023649228e+01 3.143473586485131932e+02 1.572077216767230334e-01 3.144154433534565669e+02
7.679999999999999716e+01 6.815052320112121365e+00 1.598456090774591054e+00 5.459824143950169173e+01 5.491697236152305805e+01 3.187309220213651884e+02 1.594015818242668359e-01 3.188031636486357456e+02
7.920000000000000284e+01 6.876010755100820937e+00 1.311669202100071541e+00 5.242230929952596341e+01 5.274475408692023137e+01 3.224447873942659726e+02 1.612628968286782261e-01 3.225257936573938764e+02
8.159999999999999432e+01 6.924906330740917326e+00 1.022581199936881680e+00 5.021505096065919815e+01 5.054001902408212032e+01 3.249680634229284806e+02 1.625347781105189460e-01 3.250695562209832019e+02
8.400000000000000000e+01 6.961653267577912807e+00 7.316992428735741294e-01 4.802691114499099001e+01 4.835174537926482685e+01 3.248342342738394564e+02 1.624965432860711601e-01 3.249930865721131568e+02
