# E  alpha(eV.A)  gap_meV_2nd
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.916666666666666852e-01 1.941198928207301918e-03 3.882397856414670834e+00
5.833333333333333703e-01 3.173197874719699014e-03 6.346395749439684764e+00
8.750000000000000000e-01 4.099953000270377401e-03 8.199906000540725159e+00
1.166666666666666741e+00 4.846637734901603108e-03 9.693275469803072752e+00
1.458333333333333259e+00 5.469768337440839012e-03 1.093953667488135828e+01
1.750000000000000000e+00 6.001720794576710302e-03 1.200344158915501325e+01
2.041666666666666963e+00 6.463209469453981906e-03 1.292641893890604443e+01
2.333333333333333481e+00 6.868440046651475180e-03 1.373688009330582815e+01
2.625000000000000000e+00 7.227644577550145812e-03 1.445528915509919443e+01
2.916666666666666519e+00 7.548469832476265365e-03 1.509693966494571349e+01
3.208333333333333481e+00 7.836797783714505999e-03 1.567359556742947646e+01
3.500000000000000000e+00 8.097259323945588116e-03 1.619451864789261819e+01
3.791666666666666519e+00 8.333570928704200562e-03 1.666714185740922360e+01
4.083333333333333925e+00 8.548763617688016209e-03 1.709752723536711727e+01
4.375000000000000000e+00 8.745343535515806219e-03 1.749068707103396036e+01
4.666666666666666963e+00 8.925407539636685816e-03 1.785081507927471733e+01
4.958333333333333925e+00 9.090728275162702696e-03 1.818145655032438057e+01
5.250000000000000000e+00 9.242818011931396710e-03 1.848563602386415994e+01
5.541666666666666963e+00 9.382977362163917590e-03 1.876595472432435230e+01
5.833333333333333037e+00 9.512333019097521727e-03 1.902466603818237090e+01
6.125000000000000000e+00 9.631867382113272133e-03 1.926373476423409770e+01
6.416666666666666963e+00 9.742442091496838347e-03 1.948488418298394009e+01
6.708333333333333037e+00 9.844816926862927711e-03 1.968963385372279973e+01
7.000000000000000000e+00 9.939665131133130702e-03 1.987933026226240685e+01
