# Energy    MatrixElement
-5.8139302424e-01 9.4123526994e-30
-5.8068984592e-01 1.1660238735e-30
-5.8013175957e-01 6.6305649337e-07
-5.7948205462e-01 2.1618386458e-30
-5.7892409666e-01 6.3886018199e-08
-5.7843217887e-01 5.9501130772e-08
-5.7807241795e-01 1.2515469536e-30
-5.7787040864e-01 6.6941686628e-30
-5.7779299520e-01 3.0753427758e-07
-5.7699300374e-01 6.2124508390e-30
-5.7679705563e-01 3.8224157311e-07
-5.7635346914e-01 1.0826945932e-06
-5.7547819220e-01 6.3157446410e-30
-5.7427484913e-01 1.0238738479e-27
-5.7424638452e-01 1.4999824877e-05
-5.7391330760e-01 2.5844231199e-30
-5.7354300076e-01 6.3241475643e-30
-5.7215249777e-01 8.3467597220e-30
-5.7163628319e-01 2.8028798014e-30
-5.7065058258e-01 1.7439487624e-07
-5.7034000117e-01 3.5135434861e-06
-5.7004068682e-01 4.9398092610e-30
-5.6828036687e-01 1.8413072566e-30
-5.6804859623e-01 5.9868095947e-30
-5.6768464845e-01 2.6095478466e-29
-5.6759087099e-01 3.5943313128e-06
-5.6685375969e-01 2.0515617724e-08
-5.6680521248e-01 2.3026288707e-30
-5.6586359653e-01 1.1927282310e-30
-5.6503779803e-01 6.7698243399e-09
-5.6500484575e-01 5.3737358094e-30
-5.6486800592e-01 2.8716834378e-07
-5.6371195644e-01 1.6835168448e-29
-5.6360355841e-01 3.7115075118e-06
-5.6316129696e-01 8.4892512202e-09
-5.6260616733e-01 2.0929344721e-30
-5.6191356589e-01 8.8196085348e-31
-5.6133371518e-01 3.3816521708e-30
-5.6110621874e-01 1.9129346209e-06
-5.6027647186e-01 1.7117182679e-28
-5.6026881798e-01 1.8477700653e-06
-5.5978880198e-01 4.4509725324e-06
-5.5957600718e-01 1.4577437130e-29
-5.5883244924e-01 1.5543871749e-05
-5.5868346211e-01 1.6141625958e-29
-5.5857405268e-01 6.2759342534e-06
-5.5754685025e-01 8.2402888157e-31
-5.5679028140e-01 3.6075791221e-29
-5.5667125552e-01 1.5900837861e-05
-5.5607688462e-01 3.1128903085e-29
-5.5581954434e-01 1.3336687826e-05
-5.5564127866e-01 1.0034077539e-03
-5.5538086118e-01 2.2020394906e-05
-5.5489074338e-01 9.4377721478e-30
-5.5415163204e-01 6.6953296703e-07
-5.5394698611e-01 1.9955835394e-29
-5.5298372737e-01 2.9523522000e-05
-5.5284249290e-01 2.0508808264e-04
-5.5192971753e-01 2.2518699981e-30
-5.5165237372e-01 2.2955296663e-11
-5.5123008688e-01 1.6735261582e-30
-5.5105083333e-01 2.2618549433e-04
-5.5089065513e-01 5.9969873565e-30
-5.5032595828e-01 5.4075614107e-07
-5.4975286554e-01 2.2142135737e-07
-5.4943709545e-01 1.8359496347e-30
-5.4898174606e-01 1.3471750023e-05
-5.4891066868e-01 1.4221485079e-29
-5.4826384251e-01 2.6831662645e-07
-5.4788783906e-01 3.0286006654e-08
-5.4778425033e-01 1.5659907484e-30
-5.4756999308e-01 2.8355094743e-30
