# Energy    MatrixElement
-5.8139302424e-01 1.0545524849e-30
-5.8068984592e-01 2.2735674483e-31
-5.8013175957e-01 3.3152824668e-07
-5.7948205462e-01 1.6004460131e-30
-5.7892409666e-01 3.1943009100e-08
-5.7843217887e-01 2.9750565386e-08
-5.7807241795e-01 5.7500009777e-31
-5.7787040864e-01 1.4674006459e-30
-5.7779299520e-01 1.5376713879e-07
-5.7699300374e-01 5.8312127827e-30
-5.7679705563e-01 1.9112078656e-07
-5.7635346914e-01 5.4134729659e-07
-5.7547819220e-01 5.2735350556e-30
-5.7427484913e-01 7.6665816479e-28
-5.7424638452e-01 7.4999124386e-06
-5.7391330760e-01 2.2144832850e-30
-5.7354300076e-01 4.1534047524e-30
-5.7215249777e-01 6.4302804629e-31
-5.7163628319e-01 2.4715255102e-30
-5.7065058258e-01 8.7197438118e-08
-5.7034000117e-01 1.7567717430e-06
-5.7004068682e-01 1.0763489427e-30
-5.6828036687e-01 4.7018472820e-31
-5.6804859623e-01 4.1939340610e-30
-5.6768464845e-01 4.9442383286e-30
-5.6759087099e-01 1.7971656564e-06
-5.6685375969e-01 1.0257808862e-08
-5.6680521248e-01 1.0387558829e-30
-5.6586359653e-01 6.8979998686e-31
-5.6503779803e-01 3.3849121699e-09
-5.6500484575e-01 3.3707516967e-30
-5.6486800592e-01 1.4358417189e-07
-5.6371195644e-01 1.2717918337e-29
-5.6360355841e-01 1.8557537559e-06
-5.6316129696e-01 4.2446256102e-09
-5.6260616733e-01 1.4864542459e-30
-5.6191356589e-01 3.8832135251e-31
-5.6133371518e-01 6.0940097525e-31
-5.6110621874e-01 9.5646731044e-07
-5.6027647186e-01 4.1368357766e-29
-5.6026881798e-01 9.2388503267e-07
-5.5978880198e-01 2.2254862662e-06
-5.5957600718e-01 7.4476293701e-31
-5.5883244924e-01 7.7719358747e-06
-5.5868346211e-01 6.4389538956e-30
-5.5857405268e-01 3.1379671267e-06
-5.5754685025e-01 6.3307763486e-31
-5.5679028140e-01 1.0785715363e-29
-5.5667125552e-01 7.9504189307e-06
-5.5607688462e-01 2.6474069184e-30
-5.5581954434e-01 6.6683439131e-06
-5.5564127866e-01 5.0170387694e-04
-5.5538086118e-01 1.1010197453e-05
-5.5489074338e-01 5.8443009676e-30
-5.5415163204e-01 3.3476648351e-07
-5.5394698611e-01 1.7280667891e-29
-5.5298372737e-01 1.4761761000e-05
-5.5284249290e-01 1.0254404132e-04
-5.5192971753e-01 1.7221847443e-30
-5.5165237372e-01 1.1477648352e-11
-5.5123008688e-01 4.6444665690e-31
-5.5105083333e-01 1.1309274716e-04
-5.5089065513e-01 2.2673137718e-30
-5.5032595828e-01 2.7037807054e-07
-5.4975286554e-01 1.1071067869e-07
-5.4943709545e-01 1.4115625359e-30
-5.4898174606e-01 6.7358750114e-06
-5.4891066868e-01 8.2346505242e-30
-5.4826384251e-01 1.3415831322e-07
-5.4788783906e-01 1.5143003327e-08
-5.4778425033e-01 2.2184746595e-31
-5.4756999308e-01 3.6004691953e-31
-5.4683372913e-01 8.1257521291e-31
-5.4676496384e-01 5.7532783562e-07
-5.4592723781e-01 1.2324535246e-30
-5.4559961466e-01 9.0743319150e-10
-5.4538561577e-01 7.7392491051e-31
-5.4519766496e-01 1.8778336472e-31
-5.4495509504e-01 9.7086959637e-31
-5.4437876970e-01 8.4731627364e-07
-5.4425814014e-01 1.6316407433e-30
-5.4384002529e-01 1.6273426705e-07
-5.4188859202e-01 7.2663823785e-31
-5.3992553640e-01 3.8409143251e-06
-5.3980953285e-01 2.2849846405e-29
-5.3886203183e-01 1.4183157719e-05
-5.3864719811e-01 8.9370740315e-07
-5.3823975197e-01 2.4684725168e-29
-5.3805192791e-01 3.0340008992e-06
-5.3761561890e-01 1.8175946356e-05
-5.3704534740e-01 2.1892037980e-29
-5.3699535448e-01 1.6185081825e-06
-5.3606867168e-01 1.3422208775e-06
-5.3548029539e-01 6.7784837557e-31
-5.3431329902e-01 2.8911685994e-06
-5.3379228120e-01 3.9620986514e-30
-5.3328682616e-01 1.7256165561e-05
-5.3284359108e-01 8.8379550417e-30
-5.3223921269e-01 3.2254721357e-06
-5.3092385027e-01 4.8777883469e-30
-5.3080639357e-01 6.7267205107e-07
-5.3055674457e-01 5.7657106014e-07
-5.2989853614e-01 1.5751696149e-06
-5.2966009356e-01 1.4234973684e-30
-5.2913540724e-01 8.4932918338e-30
-5.2899163060e-01 9.0607140530e-30
-5.2863261142e-01 4.5174251776e-05
-5.2765699724e-01 1.4107610025e-29
-5.2716309781e-01 3.4115502590e-05
-5.2634145076e-01 8.2650644127e-07
-5.2598016825e-01 1.1511405481e-29
-5.2556847409e-01 3.2422693168e-30
-5.2494388631e-01 8.4696822794e-30
-5.2460907674e-01 3.1555927973e-06
-5.2409482289e-01 1.3748669041e-06
-5.2346372566e-01 1.2832698509e-29
-5.2330589359e-01 4.2839312481e-08
-5.2322028213e-01 6.5307958163e-30
-5.2214520666e-01 1.6102350148e-04
-5.2150327103e-01 9.2592464472e-06
-5.2132205724e-01 2.1147803634e-29
-5.2002623883e-01 6.0100676837e-07
-5.1973234722e-01 8.6074249996e-06
-5.1908200515e-01 2.1812702866e-30
-5.1868329233e-01 1.6064922812e-29
-5.1844914695e-01 4.6398974524e-06
-5.1838056149e-01 7.5571055906e-30
-5.1760482630e-01 9.9269865966e-30
-5.1704956868e-01 5.4409375315e-27
-5.1703652542e-01 3.4181857392e-05
-5.1634453388e-01 1.1008949376e-27
-5.1629075305e-01 2.9818457261e-05
-5.1602071218e-01 3.6063079263e-07
-5.1579358330e-01 3.5697164975e-30
-5.1496557476e-01 5.8763055644e-07
-5.1457029649e-01 3.3471716417e-30
-5.1410713816e-01 2.2809341845e-05
-5.1394718638e-01 1.2749397877e-29
-5.1371660725e-01 1.2746825660e-29
-5.1357807267e-01 9.6287105592e-05
-5.1318646528e-01 2.8465431434e-07
-5.1317212159e-01 3.2488853172e-29
-5.1291311216e-01 1.9088288349e-06
-5.1269652745e-01 6.4158445276e-30
-5.1172611433e-01 5.3747930370e-08
-5.1108318896e-01 8.6938533760e-31
-5.1044031710e-01 1.6917895306e-30
-5.1003691556e-01 2.0160995637e-06
-5.1002129486e-01 2.7763379477e-07
-5.0901781137e-01 2.3760066513e-30
-5.0852279790e-01 2.7743415694e-07
-5.0721236310e-01 8.0201022251e-07
-5.0705138795e-01 5.0531084886e-31
-5.0684745984e-01 1.1955368046e-06
-5.0620401446e-01 2.6557709919e-30
-5.0613059335e-01 4.4338578500e-06
-5.0600798169e-01 8.1068087360e-06
-5.0496054120e-01 1.0794210507e-30
-5.0359734166e-01 2.4656312637e-30
-5.0351376561e-01 2.3111090579e-05
-5.0263184284e-01 1.1428346044e-07
-5.0201189098e-01 1.1367929147e-29
-5.0143725511e-01 3.4636969051e-30
-5.0026019888e-01 3.1168113071e-31
-4.9977798900e-01 1.2630560692e-30
-4.9931995407e-01 1.6434453376e-06
-4.9893427765e-01 3.3122272692e-31
-4.9840199887e-01 2.8846808402e-08
-4.9834185080e-01 3.2810415674e-30
-4.9818059852e-01 1.8039578545e-06
-4.9734545169e-01 2.2841908007e-30
