# E  alpha(eV.A)  gap_meV_2nd  gap_meV_4th
0.000000000000000000e+00 0.000000000000000000e+00 9.540979117872439019e-11 9.540979117872439019e-11
1.071428571428571438e-02 8.705946302729506174e-05 1.741189260551223583e-01 1.735275966061738950e-01
2.142857142857142877e-02 1.741189260545901235e-04 3.482378521085099932e-01 3.465321413015365337e-01
3.214285714285713969e-02 2.611783890818851852e-04 5.223567781636323515e-01 5.184905821700724893e-01
4.285714285714285754e-02 3.482378521091802469e-04 6.964757042187547098e-01 6.888798673009705054e-01
5.357142857142856845e-02 4.352973151364753629e-04 8.705946302738770681e-01 8.571769447842867429e-01
6.428571428571427937e-02 5.223567781637703704e-04 1.044713556327264703e+00 1.022858762703138247e+00
7.499999999999999722e-02 6.094162411910654864e-04 1.218832482382387061e+00 1.185402269150183319e+00
8.571428571428571508e-02 6.964757042183604939e-04 1.392951408437509420e+00 1.344284412207672030e+00
9.642857142857141906e-02 7.835351672456556098e-04 1.567070334490896943e+00 1.498982139967394822e+00
1.071428571428571369e-01 8.705946302729507258e-04 1.741189260545151996e+00 1.648972400514203684e+00
1.178571428571428548e-01 9.576540933002457333e-04 1.915308186601141660e+00 1.793732141937287583e+00
1.285714285714285587e-01 1.044713556327540741e-03 2.089427112654529406e+00 1.932738312323233121e+00
1.392857142857142627e-01 1.131773019354835857e-03 2.263546038709651764e+00 2.065467859760361513e+00
1.499999999999999944e-01 1.218832482382130973e-03 2.437664964764774123e+00 2.191397732335259363e+00
