# E  alpha(eV.A)  gap_meV_2nd  gap_meV_4th
0.000000000000000000e+00 0.000000000000000000e+00 9.280770596475917955e-11 9.280770596475917955e-11
5.000000000000000971e-03 1.742418826006554848e-04 3.484837651076752585e-01 3.484407707981737601e-01
1.000000000000000194e-02 3.484837652013109697e-04 6.969675303098930019e-01 6.968800642234360687e-01
1.500000000000000291e-02 5.227256478019665087e-04 1.045451295507773715e+00 1.045316402702514580e+00
2.000000000000000389e-02 6.969675304026219393e-04 1.393935060709991625e+00 1.393748308776629585e+00
2.500000000000000486e-02 8.712094130032774783e-04 1.742418825913076619e+00 1.742174304963581388e+00
3.000000000000000583e-02 1.045451295603933017e-03 2.090902591115294307e+00 2.090592913806324393e+00
3.500000000000000333e-02 1.219693178204588231e-03 2.439386356313175241e+00 2.439002657831333742e+00
4.000000000000000777e-02 1.393935060805243879e-03 2.787870121518862376e+00 2.787402059562481327e+00
4.500000000000001221e-02 1.568176943405899526e-03 3.136353886721947148e+00 3.135789641528843763e+00
5.000000000000000278e-02 1.742418826006554740e-03 3.484837651920695389e+00 3.484163926261232724e+00
