L Ef kx gap_2nd_microeV gap_4th_microeV
4.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.515151515151515150e-04 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 3.030303030303030300e-04 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 4.545454545454545451e-04 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 6.060606060606060601e-04 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 7.575757575757575751e-04 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 9.090909090909090901e-04 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.060606060606060497e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.212121212121212120e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.363636363636363744e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.515151515151515150e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.666666666666666557e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.818181818181818180e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.969696969696969804e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 2.121212121212120993e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 2.272727272727272617e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 2.424242424242424240e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 2.575757575757575864e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 2.727272727272727487e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 2.878787878787878677e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 3.030303030303030300e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 3.181818181818181924e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 3.333333333333333114e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 3.484848484848484737e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 3.636363636363636360e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 3.787878787878787984e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 3.939393939393939607e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 4.090909090909091231e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 4.242424242424241987e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 4.393939393939393610e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 4.545454545454545234e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 4.696969696969696857e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 4.848484848484848481e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 5.000000000000000104e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 5.151515151515151728e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 5.303030303030303351e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 5.454545454545454974e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 5.606060606060605730e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 5.757575757575757354e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 5.909090909090908977e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 6.060606060606060601e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 6.212121212121212224e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 6.363636363636363848e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 6.515151515151515471e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 6.666666666666666227e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 6.818181818181817851e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 6.969696969696969474e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 7.121212121212121098e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 7.272727272727272721e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 7.424242424242424344e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 7.575757575757575968e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 7.727272727272727591e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 7.878787878787879215e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 8.030303030303029971e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 8.181818181818182462e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 8.333333333333333218e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 8.484848484848483974e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 8.636363636363636465e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 8.787878787878787221e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 8.939393939393939711e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 9.090909090909090468e-03 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 9.242424242424242958e-03 3.512815038853034366e-11 3.512815038853034366e-11
