L Ef kx gap_microeV
3.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 5.151434834260726348e-11
3.000000000000000000e+02 0.000000000000000000e+00 2.222222222222222329e-04 5.417888360170763917e-11
3.000000000000000000e+02 0.000000000000000000e+00 4.444444444444444657e-04 9.769962616701377556e-12
3.000000000000000000e+02 0.000000000000000000e+00 6.666666666666667528e-04 1.776356839400250465e-11
3.000000000000000000e+02 0.000000000000000000e+00 8.888888888888889315e-04 4.440892098500626162e-11
3.000000000000000000e+02 0.000000000000000000e+00 1.111111111111111110e-03 1.154631945610162802e-11
3.000000000000000000e+02 0.000000000000000000e+00 1.333333333333333506e-03 2.131628207280300558e-11
3.000000000000000000e+02 0.000000000000000000e+00 1.555555555555555684e-03 4.440892098500626162e-12
3.000000000000000000e+02 0.000000000000000000e+00 1.777777777777777863e-03 7.993605777301127091e-12
3.000000000000000000e+02 0.000000000000000000e+00 2.000000000000000042e-03 2.486899575160350651e-11
3.000000000000000000e+02 1.111111111111111249e-06 0.000000000000000000e+00 5.329070518200751394e-11
3.000000000000000000e+02 1.111111111111111249e-06 2.222222222222222329e-04 1.664505847216446455e-01
3.000000000000000000e+02 1.111111111111111249e-06 4.444444444444444657e-04 3.328889336104978725e-01
3.000000000000000000e+02 1.111111111111111249e-06 6.666666666666667528e-04 4.993027785937798058e-01
3.000000000000000000e+02 1.111111111111111249e-06 8.888888888888889315e-04 6.656797862056862414e-01
3.000000000000000000e+02 1.111111111111111249e-06 1.111111111111111110e-03 8.320075259122816647e-01
3.000000000000000000e+02 1.111111111111111249e-06 1.333333333333333506e-03 9.982734372409041157e-01
3.000000000000000000e+02 1.111111111111111249e-06 1.555555555555555684e-03 1.164464797637876359e+00
3.000000000000000000e+02 1.111111111111111249e-06 1.777777777777777863e-03 1.330568690676159349e+00
3.000000000000000000e+02 1.111111111111111249e-06 2.000000000000000042e-03 1.496571974037408381e+00
3.000000000000000000e+02 2.222222222222222498e-06 0.000000000000000000e+00 1.332267629550187849e-11
3.000000000000000000e+02 2.222222222222222498e-06 2.222222222222222329e-04 3.328973380964939111e-01
3.000000000000000000e+02 2.222222222222222498e-06 4.444444444444444657e-04 6.657702043133539860e-01
3.000000000000000000e+02 2.222222222222222498e-06 6.666666666666667528e-04 9.985940619179345390e-01
3.000000000000000000e+02 2.222222222222222498e-06 8.888888888888889315e-04 1.331344243854282183e+00
3.000000000000000000e+02 2.222222222222222498e-06 1.111111111111111110e-03 1.663995888563363224e+00
3.000000000000000000e+02 2.222222222222222498e-06 1.333333333333333506e-03 1.996523874548294941e+00
3.000000000000000000e+02 2.222222222222222498e-06 1.555555555555555684e-03 2.328902756570272459e+00
