# E  alpha(eV.A)  gap_meV_2nd  gap_meV_4th
0.000000000000000000e+00 0.000000000000000000e+00 5.204170427930421283e-12 5.204170427930421283e-12
6.000000000000000472e-02 2.090902591207840881e-03 4.181805182421408418e+00 4.180866694267898254e+00
1.200000000000000094e-01 4.181805182415681763e-03 8.363610364835876609e+00 8.359180320110723983e+00
1.799999999999999933e-01 6.272707773623522644e-03 1.254541554725555130e+01 1.253238780912248274e+01
2.400000000000000189e-01 8.363610364831363525e-03 1.672722072966828577e+01 1.669793609289545344e+01
2.999999999999999889e-01 1.045451295603920527e-02 2.090902591208622496e+01 2.085327210300455647e+01
3.599999999999999867e-01 1.254541554724704529e-02 2.509083109449548843e+01 2.499584277105247665e+01
4.200000000000000400e-01 1.463631813845488877e-02 2.927263627691516135e+01 2.912309502861240418e+01
4.800000000000000377e-01 1.672722072966272705e-02 3.345444145933049640e+01 3.323247580727054640e+01
5.399999999999999245e-01 1.881812332087056880e-02 3.763624664174583501e+01 3.732143203861483727e+01
5.999999999999999778e-01 2.090902591207841055e-02 4.181805182416204048e+01 4.138741065422800602e+01
6.600000000000000311e-01 2.299992850328625230e-02 4.599985700658258025e+01 4.542785858569712332e+01
7.199999999999999734e-01 2.509083109449409058e-02 5.018166218899271058e+01 4.944022276461360121e+01
7.800000000000000266e-01 2.718173368570193232e-02 5.436346737140891605e+01 5.342195012255322695e+01
8.400000000000000799e-01 2.927263627690977754e-02 5.854527255382078010e+01 5.737048759111521434e+01
9.000000000000000222e-01 3.136353886811761582e-02 6.272707773623958616e+01 6.128328210186842284e+01
9.600000000000000755e-01 3.345444145932545410e-02 6.690888291865579163e+01 6.515778058640772485e+01
1.020000000000000018e+00 3.554534405053329238e-02 7.109068810106852254e+01 6.899142997631759044e+01
1.079999999999999849e+00 3.763624664174113760e-02 7.527249328348560198e+01 7.278167720318768374e+01
1.140000000000000124e+00 3.972714923294898282e-02 7.945429846590266720e+01 7.652596919859901448e+01
1.199999999999999956e+00 4.181805182415682109e-02 8.363610364831887978e+01 8.022175289413949884e+01
