# E  alpha(eV.A)  gap_meV_2nd  gap_meV_4th
0.000000000000000000e+00 0.000000000000000000e+00 1.127570259384924611e-11 1.127570259384924611e-11
3.750000000000000295e-03 3.047081205955508223e-05 6.094162411773157428e-02 6.076143253038596148e-02
7.500000000000000590e-03 6.094162411911016445e-05 1.218832482363305103e-01 1.215004392122673305e-01
1.124999999999999958e-02 9.141243617866524668e-05 1.828248723566641698e-01 1.821945941919353440e-01
1.500000000000000118e-02 1.218832482382203289e-04 2.437664964752631058e-01 2.428214716200180479e-01
1.874999999999999931e-02 1.523540602977753976e-04 3.047081205938620418e-01 3.033586456436740408e-01
2.249999999999999917e-02 1.828248723573304934e-04 3.656497447141957013e-01 3.637836904152660922e-01
2.625000000000000250e-02 2.132956844168855891e-04 4.265913688327946374e-01 4.240741800819528007e-01
3.000000000000000236e-02 2.437664964764406578e-04 4.875329929513935734e-01 4.842076887926274886e-01
3.374999999999999528e-02 2.742373085359957265e-04 5.484746170717271774e-01 5.441617906979181463e-01
3.749999999999999861e-02 3.047081205955507952e-04 6.094162411903261134e-01 6.039140599467183179e-01
4.125000000000000194e-02 3.351789326551059180e-04 6.703578653097924667e-01 6.634420706879209373e-01
4.499999999999999833e-02 3.656497447146609867e-04 7.312994894283914027e-01 7.227233970704196597e-01
4.875000000000000167e-02 3.961205567742160554e-04 7.922411135478577560e-01 7.817356132439751137e-01
5.250000000000000500e-02 4.265913688337711783e-04 8.531827376655892747e-01 8.404562933583479278e-01
5.625000000000000139e-02 4.570621808933262469e-04 9.141243617850556280e-01 8.988630115624313133e-01
6.000000000000000472e-02 4.875329929528813156e-04 9.750659859053891765e-01 9.569333420042513971e-01
6.375000000000000111e-02 5.180038050124363301e-04 1.036007610023988113e+00 1.014644858836170949e+00
6.749999999999999056e-02 5.484746170719914530e-04 1.096949234142587049e+00 1.071975136203613621e+00
7.125000000000000777e-02 5.789454291315465758e-04 1.157890858261185985e+00 1.128901748258075211e+00
7.499999999999999722e-02 6.094162411911015903e-04 1.218832482381519755e+00 1.185402269149316012e+00
