# L_Angstrom gap_microeV E_V_per_um g
300.00000000 9.1265915684e+00 0.0000000000e+00 1.5768126414e+01
300.00000000 9.1265927462e+00 3.1578947368e-03 1.5768128449e+01
300.00000000 9.1265962797e+00 6.3157894737e-03 1.5768134554e+01
300.00000000 9.1266021686e+00 9.4736842105e-03 1.5768144728e+01
300.00000000 9.1266104130e+00 1.2631578947e-02 1.5768158972e+01
300.00000000 9.1266210126e+00 1.5789473684e-02 1.5768177285e+01
300.00000000 9.1266339670e+00 1.8947368421e-02 1.5768199667e+01
300.00000000 9.1266492761e+00 2.2105263158e-02 1.5768226116e+01
300.00000000 9.1266669394e+00 2.5263157895e-02 1.5768256633e+01
300.00000000 9.1266869565e+00 2.8421052632e-02 1.5768291217e+01
300.00000000 9.1267093269e+00 3.1578947368e-02 1.5768329867e+01
300.00000000 9.1267340500e+00 3.4736842105e-02 1.5768372581e+01
300.00000000 9.1267611253e+00 3.7894736842e-02 1.5768419360e+01
300.00000000 9.1267905521e+00 4.1052631579e-02 1.5768470201e+01
300.00000000 9.1268223296e+00 4.4210526316e-02 1.5768525103e+01
300.00000000 9.1268564571e+00 4.7368421053e-02 1.5768584065e+01
300.00000000 9.1268929337e+00 5.0526315789e-02 1.5768647087e+01
300.00000000 9.1269317585e+00 5.3684210526e-02 1.5768714165e+01
300.00000000 9.1269729306e+00 5.6842105263e-02 1.5768785298e+01
300.00000000 9.1270164490e+00 6.0000000000e-02 1.5768860486e+01
