# L_Angstrom gap_microeV E_V_per_um g
300.00000000 9.1265915684e+00 0.0000000000e+00 1.5768126414e+01
300.00000000 9.1264956979e+00 3.1578947368e-03 1.5767960777e+01
300.00000000 9.1262082465e+00 6.3157894737e-03 1.5767464144e+01
300.00000000 9.1257296945e+00 9.4736842105e-03 1.5766637344e+01
300.00000000 9.1250608425e+00 1.2631578947e-02 1.5765481760e+01
300.00000000 9.1242028111e+00 1.5789473684e-02 1.5763999328e+01
300.00000000 9.1231570414e+00 1.8947368421e-02 1.5762192539e+01
300.00000000 9.1219252945e+00 2.2105263158e-02 1.5760064434e+01
300.00000000 9.1205096518e+00 2.5263157895e-02 1.5757618611e+01
300.00000000 9.1189125148e+00 2.8421052632e-02 1.5754859217e+01
300.00000000 9.1171366054e+00 3.1578947368e-02 1.5751790956e+01
300.00000000 9.1151849657e+00 3.4736842105e-02 1.5748419084e+01
300.00000000 9.1130609577e+00 3.7894736842e-02 1.5744749409e+01
300.00000000 9.1107682640e+00 4.1052631579e-02 1.5740788293e+01
300.00000000 9.1083108872e+00 4.4210526316e-02 1.5736542652e+01
300.00000000 9.1056931502e+00 4.7368421053e-02 1.5732019955e+01
300.00000000 9.1029196960e+00 5.0526315789e-02 1.5727228224e+01
300.00000000 9.0999954880e+00 5.3684210526e-02 1.5722176033e+01
300.00000000 9.0969258095e+00 5.6842105263e-02 1.5716872511e+01
300.00000000 9.0937162644e+00 6.0000000000e-02 1.5711327340e+01
