# size(nm)  E   g_vb   gap_vb(eV)
3.000000000000000000e+01 0.000000000000000000e+00 4.398537590942147579e-01 2.545873557637315376e-07
3.000000000000000000e+01 3.157894736842105626e-03 4.398351234481405192e-01 2.545765694517837519e-07
3.000000000000000000e+01 6.315789473684211251e-03 4.397752538086714957e-01 2.545419169044590979e-07
3.000000000000000000e+01 9.473684210526316443e-03 4.396742404440679985e-01 2.544834503690265870e-07
3.000000000000000000e+01 1.263157894736842250e-02 4.395322336650621109e-01 2.544012568453379863e-07
3.000000000000000000e+01 1.578947368421052683e-02 4.393494430126429484e-01 2.542954576157177571e-07
3.000000000000000000e+01 1.894736842105263289e-02 4.391261363409427187e-01 2.541662077141376708e-07
3.000000000000000000e+01 2.210526315789473895e-02 4.388626384295781224e-01 2.540136951230398399e-07
3.000000000000000000e+01 2.526315789473684500e-02 4.385593294641186857e-01 2.538381398938319156e-07
3.000000000000000000e+01 2.842105263157895106e-02 4.382166432078536955e-01 2.536397930887057672e-07
3.000000000000000000e+01 3.157894736842105365e-02 4.378350649277968354e-01 2.534189355802088373e-07
3.000000000000000000e+01 3.473684210526316318e-02 4.374151291618436632e-01 2.531758767588751513e-07
3.000000000000000000e+01 3.789473684210526577e-02 4.369574173076023471e-01 2.529109531376402820e-07
3.000000000000000000e+01 4.105263157894737530e-02 4.364625549175075725e-01 2.526245267862534116e-07
3.000000000000000000e+01 4.421052631578947789e-02 4.359312090134158102e-01 2.523169837769650981e-07
3.000000000000000000e+01 4.736842105263158742e-02 4.353640851944006185e-01 2.519887325105191200e-07
3.000000000000000000e+01 5.052631578947369001e-02 4.347619246021854345e-01 2.516402019597449580e-07
3.000000000000000000e+01 5.368421052631579260e-02 4.341255009180456925e-01 2.512718399313648709e-07
3.000000000000000000e+01 5.684210526315790213e-02 4.334556172533142182e-01 2.508841112662182904e-07
3.000000000000000000e+01 6.000000000000000472e-02 4.327531029964282738e-01 2.504774960143327234e-07
