# size(nm)  E   g_vb   gap_vb(eV)
3.000000000000000000e+01 0.000000000000000000e+00 1.576828020228830241e+01 9.126680581084470334e-06
3.000000000000000000e+01 3.157894736842105626e-03 1.576825829963313019e+01 9.126667903827656581e-06
3.000000000000000000e+01 6.315789473684211251e-03 1.576824046683764102e+01 9.126657582205627284e-06
3.000000000000000000e+01 9.473684210526316443e-03 1.576822670357964462e+01 9.126649616031899670e-06
3.000000000000000000e+01 1.263157894736842250e-02 1.576821701024577038e+01 9.126644005530253068e-06
3.000000000000000000e+01 1.578947368421052683e-02 1.576821138558472590e+01 9.126640749976440425e-06
3.000000000000000000e+01 1.894736842105263289e-02 1.576820983003258902e+01 9.126639849622864009e-06
3.000000000000000000e+01 2.210526315789473895e-02 1.576821234269622529e+01 9.126641303952576223e-06
3.000000000000000000e+01 2.526315789473684500e-02 1.576821892305413542e+01 9.126645112663735182e-06
3.000000000000000000e+01 2.842105263157895106e-02 1.576822957016822890e+01 9.126651275213372438e-06
3.000000000000000000e+01 3.157894736842105365e-02 1.576824428342709616e+01 9.126659791247604403e-06
3.000000000000000000e+01 3.473684210526316318e-02 1.576826306189114391e+01 9.126670660222595266e-06
3.000000000000000000e+01 3.789473684210526577e-02 1.576828590450988798e+01 9.126683881530324449e-06
3.000000000000000000e+01 4.105263157894737530e-02 1.576831281045612876e+01 9.126699454692008273e-06
3.000000000000000000e+01 4.421052631578947789e-02 1.576834377801552201e+01 9.126717378715384910e-06
3.000000000000000000e+01 4.736842105263158742e-02 1.576837880601919650e+01 9.126737652923912203e-06
3.000000000000000000e+01 5.052631578947369001e-02 1.576841789314543263e+01 9.126760276552577100e-06
3.000000000000000000e+01 5.368421052631579260e-02 1.576846103805152488e+01 9.126785248824223484e-06
3.000000000000000000e+01 5.684210526315790213e-02 1.576850823873840568e+01 9.126812568581790797e-06
3.000000000000000000e+01 6.000000000000000472e-02 1.576855949398026269e+01 9.126842235115777136e-06
