# size(nm)  E   g_vb   gap_vb(eV)
3.000000000000000000e+01 0.000000000000000000e+00 1.576828020228830241e+01 9.126680581084470334e-06
3.000000000000000000e+01 3.157894736842105626e-03 1.576811456408589152e+01 9.126584709692915631e-06
3.000000000000000000e+01 6.315789473684211251e-03 1.576761792603488566e+01 9.126297255588992907e-06
3.000000000000000000e+01 9.473684210526316443e-03 1.576679111569248803e+01 9.125818697762813625e-06
3.000000000000000000e+01 1.263157894736842250e-02 1.576563550788849710e+01 9.125149831965863323e-06
3.000000000000000000e+01 1.578947368421052683e-02 1.576415301731945107e+01 9.124291766424499905e-06
3.000000000000000000e+01 1.894736842105263289e-02 1.576234608911076052e+01 9.123245916377309417e-06
3.000000000000000000e+01 2.210526315789473895e-02 1.576021768595163230e+01 9.122013996628805521e-06
3.000000000000000000e+01 2.526315789473684500e-02 1.575777127342125539e+01 9.120598013056223363e-06
3.000000000000000000e+01 2.842105263157895106e-02 1.575501080281539856e+01 9.119000252669554052e-06
3.000000000000000000e+01 3.157894736842105365e-02 1.575194069127861418e+01 9.117223272112062737e-06
3.000000000000000000e+01 3.473684210526316318e-02 1.574856580102231263e+01 9.115269885631716029e-06
3.000000000000000000e+01 3.789473684210526577e-02 1.574489141526852620e+01 9.113143151157424016e-06
3.000000000000000000e+01 4.105263157894737530e-02 1.574092321388943816e+01 9.110846356199207852e-06
3.000000000000000000e+01 4.421052631578947789e-02 1.573666724748544432e+01 9.108383002844576415e-06
3.000000000000000000e+01 4.736842105263158742e-02 1.573212990956303869e+01 9.105756791655088278e-06
3.000000000000000000e+01 5.052631578947369001e-02 1.572731790839351085e+01 9.102971605378165632e-06
3.000000000000000000e+01 5.368421052631579260e-02 1.572223823861539138e+01 9.100031492510589348e-06
3.000000000000000000e+01 5.684210526315790213e-02 1.571689815139378688e+01 9.096940650026724695e-06
3.000000000000000000e+01 6.000000000000000472e-02 1.571130512549983749e+01 9.093703406639307152e-06
