# L gap E g
3.000000000000e+02 1.657057341750e-07 0.000000000000e+00 2.862918696872e-01
3.000000000000e+02 1.657068590339e-07 3.157894736842e-07 2.862938131200e-01
3.000000000000e+02 1.657102335758e-07 6.315789473684e-07 2.862996433584e-01
3.000000000000e+02 1.657158577003e-07 9.473684210526e-07 2.863093602285e-01
3.000000000000e+02 1.657237312380e-07 1.263157894737e-06 2.863229634382e-01
3.000000000000e+02 1.657338539480e-07 1.578947368421e-06 2.863404525708e-01
3.000000000000e+02 1.657462255300e-07 1.894736842105e-06 2.863618271079e-01
3.000000000000e+02 1.657608456052e-07 2.210526315789e-06 2.863870863945e-01
3.000000000000e+02 1.657777137344e-07 2.526315789474e-06 2.864162296725e-01
3.000000000000e+02 1.657968294088e-07 2.842105263158e-06 2.864492560621e-01
3.000000000000e+02 1.658181920487e-07 3.157894736842e-06 2.864861645624e-01
3.000000000000e+02 1.658418010099e-07 3.473684210526e-06 2.865269540599e-01
3.000000000000e+02 1.658676555818e-07 3.789473684211e-06 2.865716233273e-01
3.000000000000e+02 1.658957549796e-07 4.105263157895e-06 2.866201710083e-01
3.000000000000e+02 1.659260983550e-07 4.421052631579e-06 2.866725956375e-01
3.000000000000e+02 1.659586847920e-07 4.736842105263e-06 2.867288956324e-01
3.000000000000e+02 1.659935133054e-07 5.052631578947e-06 2.867890692905e-01
3.000000000000e+02 1.660305828438e-07 5.368421052632e-06 2.868531147957e-01
3.000000000000e+02 1.660698922832e-07 5.684210526316e-06 2.869210302059e-01
3.000000000000e+02 1.661114404370e-07 6.000000000000e-06 2.869928134709e-01
