# L gap E g
3.000000000000e+02 1.657057341767e-07 0.000000000000e+00 2.862918696902e-01
3.000000000000e+02 1.656958681278e-07 3.157894736842e-07 2.862748239941e-01
3.000000000000e+02 1.656662877532e-07 6.315789473684e-07 2.862237176108e-01
3.000000000000e+02 1.656170463731e-07 9.473684210526e-07 2.861386426626e-01
3.000000000000e+02 1.655482328470e-07 1.263157894737e-06 2.860197526728e-01
3.000000000000e+02 1.654599715824e-07 1.578947368421e-06 2.858672625819e-01
3.000000000000e+02 1.653524225303e-07 1.894736842105e-06 2.856814487393e-01
3.000000000000e+02 1.652257811931e-07 2.210526315789e-06 2.854626489169e-01
3.000000000000e+02 1.650802786057e-07 2.526315789474e-06 2.852112622766e-01
3.000000000000e+02 1.649161813604e-07 2.842105263158e-06 2.849277494132e-01
3.000000000000e+02 1.647337915843e-07 3.157894736842e-06 2.846126323157e-01
3.000000000000e+02 1.645334469580e-07 3.473684210526e-06 2.842664943988e-01
3.000000000000e+02 1.643155207029e-07 3.789473684211e-06 2.838899804818e-01
3.000000000000e+02 1.640804215830e-07 4.105263157895e-06 2.834837967916e-01
3.000000000000e+02 1.638285939106e-07 4.421052631579e-06 2.830487109720e-01
3.000000000000e+02 1.635605175413e-07 4.736842105263e-06 2.825855520755e-01
3.000000000000e+02 1.632767078780e-07 5.052631578947e-06 2.820952105702e-01
3.000000000000e+02 1.629777158689e-07 5.368421052632e-06 2.815786383361e-01
3.000000000000e+02 1.626641280006e-07 5.684210526316e-06 2.810368486534e-01
3.000000000000e+02 1.623365663101e-07 6.000000000000e-06 2.804709162235e-01
