# L_Angstrom gap_microeV E_V_per_um g
300.00000000 2.5458576167e-01 0.0000000000e+00 4.3985100496e-01
300.00000000 2.5458698543e-01 3.1578947368e-03 4.3985311926e-01
300.00000000 2.5459065667e-01 6.3157894737e-03 4.3985946211e-01
300.00000000 2.5459677534e-01 9.4736842105e-03 4.3987003341e-01
300.00000000 2.5460534134e-01 1.2631578947e-02 4.3988483300e-01
300.00000000 2.5461635454e-01 1.5789473684e-02 4.3990386064e-01
300.00000000 2.5462981475e-01 1.8947368421e-02 4.3992711601e-01
300.00000000 2.5464572175e-01 2.2105263158e-02 4.3995459874e-01
300.00000000 2.5466407529e-01 2.5263157895e-02 4.3998630839e-01
300.00000000 2.5468487508e-01 2.8421052632e-02 4.4002224444e-01
300.00000000 2.5470812078e-01 3.1578947368e-02 4.4006240632e-01
300.00000000 2.5473381201e-01 3.4736842105e-02 4.4010679338e-01
300.00000000 2.5476194835e-01 3.7894736842e-02 4.4015540489e-01
300.00000000 2.5479252935e-01 4.1052631579e-02 4.4020824007e-01
300.00000000 2.5482555453e-01 4.4210526316e-02 4.4026529808e-01
300.00000000 2.5486102334e-01 4.7368421053e-02 4.4032657798e-01
300.00000000 2.5489893520e-01 5.0526315789e-02 4.4039207879e-01
300.00000000 2.5493928952e-01 5.3684210526e-02 4.4046179945e-01
300.00000000 2.5498208563e-01 5.6842105263e-02 4.4053573882e-01
300.00000000 2.5502732285e-01 6.0000000000e-02 4.4061389573e-01
