# L_Angstrom gap_microeV E_V_per_um g
300.00000000 2.5458576167e-01 0.0000000000e+00 4.3985100496e-01
300.00000000 2.5457381998e-01 3.1578947368e-03 4.3983037316e-01
300.00000000 2.5453801248e-01 6.3157894737e-03 4.3976850809e-01
300.00000000 2.5447839185e-01 9.4736842105e-03 4.3966550077e-01
300.00000000 2.5439504587e-01 1.2631578947e-02 4.3952150289e-01
300.00000000 2.5428809747e-01 1.5789473684e-02 4.3933672680e-01
300.00000000 2.5415770468e-01 1.8947368421e-02 4.3911144554e-01
300.00000000 2.5400406064e-01 2.2105263158e-02 4.3884599282e-01
300.00000000 2.5382739364e-01 2.5263157895e-02 4.3854076303e-01
300.00000000 2.5362796706e-01 2.8421052632e-02 4.3819621122e-01
300.00000000 2.5340607939e-01 3.1578947368e-02 4.3781285313e-01
300.00000000 2.5316206429e-01 3.4736842105e-02 4.3739126518e-01
300.00000000 2.5289629047e-01 3.7894736842e-02 4.3693208444e-01
300.00000000 2.5260916182e-01 4.1052631579e-02 4.3643600867e-01
300.00000000 2.5230111730e-01 4.4210526316e-02 4.3590379631e-01
300.00000000 2.5197263103e-01 4.7368421053e-02 4.3533626646e-01
300.00000000 2.5162421220e-01 5.0526315789e-02 4.3473429890e-01
300.00000000 2.5125640518e-01 5.3684210526e-02 4.3409883410e-01
300.00000000 2.5086978940e-01 5.6842105263e-02 4.3343087318e-01
300.00000000 2.5046497944e-01 6.0000000000e-02 4.3273147795e-01
