# size(nm)  Ey(V/um)  gap(eV)  g_xx
3.000000000000000000e+01 0.000000000000000000e+00 1.657056874883669484e-07 2.862917890262041132e-01
3.000000000000000000e+01 6.666666666666667095e-03 1.657107007229860485e-07 2.863004504543642526e-01
3.000000000000000000e+01 1.333333333333333419e-02 1.657257396939226801e-07 2.863264334725685312e-01
3.000000000000000000e+01 2.000000000000000389e-02 1.657508023810913556e-07 2.863697345906899283e-01
3.000000000000000000e+01 2.666666666666666838e-02 1.657858854694355122e-07 2.864303480812638303e-01
3.000000000000000000e+01 3.333333333333333287e-02 1.658309842049454641e-07 2.865082657307281289e-01
3.000000000000000000e+01 4.000000000000000777e-02 1.658860925117522367e-07 2.866034770417280608e-01
3.000000000000000000e+01 4.666666666666666879e-02 1.659512029964643753e-07 2.867159692406087701e-01
3.000000000000000000e+01 5.333333333333333676e-02 1.660263069282186255e-07 2.868457272429485450e-01
3.000000000000000000e+01 6.000000000000000472e-02 1.661113942109243569e-07 2.869927336056052880e-01
