# size(nm)  Ez(V/um)  gap(eV)  g_xx
3.000000000000000000e+01 0.000000000000000000e+00 1.657056874883669484e-07 2.862917890262041132e-01
3.000000000000000000e+01 6.666666666666667095e-03 1.656617393827955476e-07 2.862158593344774071e-01
3.000000000000000000e+01 1.333333333333333419e-02 1.655302467639188646e-07 2.859886778920505135e-01
3.000000000000000000e+01 2.000000000000000389e-02 1.653122563092385144e-07 2.856120530567354820e-01
3.000000000000000000e+01 2.666666666666666838e-02 1.650094856248465747e-07 2.850889523580624751e-01
3.000000000000000000e+01 3.333333333333333287e-02 1.646242841464931606e-07 2.844234349455652122e-01
3.000000000000000000e+01 4.000000000000000777e-02 1.641595807752235792e-07 2.836205611182162634e-01
3.000000000000000000e+01 4.666666666666666879e-02 1.636188206701263970e-07 2.826862831204671189e-01
3.000000000000000000e+01 5.333333333333333676e-02 1.630058938375741895e-07 2.816273217649864491e-01
3.000000000000000000e+01 6.000000000000000472e-02 1.623250578943954969e-07 2.804510329896259258e-01
