# size(nm)  E   g_vb   gap_vb(eV)
3.000000000000000000e+01 0.000000000000000000e+00 4.398537590942147579e-01 2.545873557637315376e-07
3.000000000000000000e+01 3.157894736842105626e-03 4.398558733963468526e-01 2.545885795218055803e-07
3.000000000000000000e+01 6.315789473684211251e-03 4.398622162937517177e-01 2.545922507908235377e-07
3.000000000000000000e+01 9.473684210526316443e-03 4.398727876665453063e-01 2.545983695013964709e-07
3.000000000000000000e+01 1.263157894736842250e-02 4.398875873558811267e-01 2.546069355615840357e-07
3.000000000000000000e+01 1.578947368421052683e-02 4.399066150995126212e-01 2.546179488195979279e-07
3.000000000000000000e+01 1.894736842105263289e-02 4.399298706082192534e-01 2.546314091080373321e-07
3.000000000000000000e+01 2.210526315789473895e-02 4.399573535178529782e-01 2.546473162161333459e-07
3.000000000000000000e+01 2.526315789473684500e-02 4.399890633668599449e-01 2.546656698767385540e-07
3.000000000000000000e+01 2.842105263157895106e-02 4.400249996472309633e-01 2.546864697958173274e-07
3.000000000000000000e+01 3.157894736842105365e-02 4.400651617835223406e-01 2.547097156403027585e-07
3.000000000000000000e+01 3.473684210526316318e-02 4.401095491328552711e-01 2.547354070380966617e-07
3.000000000000000000e+01 3.789473684210526577e-02 4.401581609474524703e-01 2.547635435563855300e-07
3.000000000000000000e+01 4.105263157894737530e-02 4.402109964825337562e-01 2.547941247640905793e-07
3.000000000000000000e+01 4.421052631578947789e-02 4.402680548509564917e-01 2.548271501477336609e-07
3.000000000000000000e+01 4.736842105263158742e-02 4.403293351730708238e-01 2.548626191981734346e-07
3.000000000000000000e+01 5.052631578947369001e-02 4.403948364448471153e-01 2.549005313342775358e-07
3.000000000000000000e+01 5.368421052631579260e-02 4.404645576053106693e-01 2.549408859419538542e-07
3.000000000000000000e+01 5.684210526315790213e-02 4.405384975290492222e-01 2.549836823698137245e-07
3.000000000000000000e+01 6.000000000000000472e-02 4.406166550441952823e-01 2.550289199395802675e-07
