# Energy    MatrixElement
-5.2989853614e-01 1.6494203122e-06
-5.2966009356e-01 7.1232433716e-30
-5.2913540724e-01 2.8718087066e-29
-5.2899163060e-01 2.1557891386e-29
-5.2863261142e-01 5.5589046533e-05
-5.2765699724e-01 4.0948666542e-29
-5.2716309781e-01 6.5103601288e-05
-5.2634145076e-01 2.7398681316e-06
-5.2598016825e-01 1.1955305789e-29
-5.2556847409e-01 5.2549023858e-30
-5.2494388631e-01 2.0058928019e-29
-5.2460907674e-01 6.4435455229e-06
-5.2409482289e-01 4.2351243061e-07
-5.2346372566e-01 1.0600340160e-29
-5.2330589359e-01 1.4357566459e-07
-5.2322028213e-01 6.4389997202e-30
-5.2214520666e-01 2.4165503320e-04
-5.2150327103e-01 1.5102187631e-05
-5.2132205724e-01 3.0925411854e-29
-5.2002623883e-01 2.8633986360e-07
-5.1973234722e-01 1.2732100594e-05
-5.1908200515e-01 1.3923706735e-29
-5.1868329233e-01 2.6899861995e-29
-5.1844914695e-01 1.1247636310e-05
-5.1838056149e-01 1.5835573309e-29
-5.1760482630e-01 3.6978123513e-30
-5.1704956868e-01 6.9954846149e-27
-5.1703652542e-01 5.7348441509e-05
-5.1634453388e-01 7.1022319804e-28
-5.1629075305e-01 4.1956675454e-05
-5.1602071218e-01 9.8044492285e-07
-5.1579358330e-01 1.6163356696e-29
-5.1496557476e-01 9.4100476608e-07
-5.1457029649e-01 1.3935850461e-29
-5.1410713816e-01 2.5425678471e-05
-5.1394718638e-01 4.3534321683e-29
-5.1371660725e-01 7.6473788202e-29
-5.1357807267e-01 1.6613482152e-04
-5.1318646528e-01 5.8673359103e-07
-5.1317212159e-01 5.8450302634e-29
-5.1291311216e-01 1.7532982301e-06
-5.1269652745e-01 8.7032538619e-30
-5.1172611433e-01 2.1321254355e-06
-5.1108318896e-01 7.0175918343e-30
-5.1044031710e-01 6.7101397184e-30
-5.1003691556e-01 4.5674902820e-06
-5.1002129486e-01 2.6153049653e-06
-5.0901781137e-01 9.4929016297e-30
-5.0852279790e-01 3.6858243889e-07
-5.0721236310e-01 1.2766679236e-06
-5.0705138795e-01 1.9187756283e-30
-5.0684745984e-01 3.1575911288e-06
-5.0620401446e-01 1.1546806033e-29
-5.0613059335e-01 9.8600026643e-06
-5.0600798169e-01 1.6105003118e-05
-5.0496054120e-01 2.4204830474e-30
-5.0359734166e-01 1.5493422870e-29
-5.0351376561e-01 3.4810115299e-05
-5.0263184284e-01 4.8810501982e-07
-5.0201189098e-01 1.4441982689e-29
-5.0143725511e-01 6.4142482849e-30
-5.0026019888e-01 1.3405145415e-30
-4.9977798900e-01 1.0408327350e-30
-4.9931995407e-01 2.7762646955e-06
-4.9893427765e-01 1.9288821451e-30
-4.9840199887e-01 4.5824140322e-08
-4.9834185080e-01 4.2574025836e-30
-4.9818059852e-01 1.8951871163e-06
-4.9734545169e-01 3.2586544661e-30
-4.9664552876e-01 9.4771269482e-08
-4.9629071364e-01 7.8721790428e-30
