# Energy    MatrixElement
-5.2989853614e-01 8.2471015612e-07
-5.2966009356e-01 1.2762530806e-30
-5.2913540724e-01 1.6245364659e-29
-5.2899163060e-01 1.5819221140e-29
-5.2863261142e-01 2.7794523266e-05
-5.2765699724e-01 5.2215160036e-30
-5.2716309781e-01 3.2551800644e-05
-5.2634145076e-01 1.3699340658e-06
-5.2598016825e-01 1.0387510010e-29
-5.2556847409e-01 3.0208328315e-30
-5.2494388631e-01 2.0059774277e-30
-5.2460907674e-01 3.2217727614e-06
-5.2409482289e-01 2.1175621531e-07
-5.2346372566e-01 7.3289387387e-30
-5.2330589359e-01 7.1787832297e-08
-5.2322028213e-01 4.8206999339e-30
-5.2214520666e-01 1.2082751660e-04
-5.2150327103e-01 7.5510938155e-06
-5.2132205724e-01 3.1929416929e-30
-5.2002623883e-01 1.4316993180e-07
-5.1973234722e-01 6.3660502972e-06
-5.1908200515e-01 9.4330767817e-31
-5.1868329233e-01 1.6691918155e-30
-5.1844914695e-01 5.6238181548e-06
-5.1838056149e-01 6.0860637252e-30
-5.1760482630e-01 2.0648883951e-30
-5.1704956868e-01 4.1454526424e-27
-5.1703652542e-01 2.8674220755e-05
-5.1634453388e-01 6.0729424591e-28
-5.1629075305e-01 2.0978337727e-05
-5.1602071218e-01 4.9022246142e-07
-5.1579358330e-01 1.0075033854e-29
-5.1496557476e-01 4.7050238304e-07
-5.1457029649e-01 1.1351685919e-29
-5.1410713816e-01 1.2712839235e-05
-5.1394718638e-01 9.2079673792e-30
-5.1371660725e-01 1.0162962396e-29
-5.1357807267e-01 8.3067410761e-05
-5.1318646528e-01 2.9336679551e-07
-5.1317212159e-01 3.3009690055e-29
-5.1291311216e-01 8.7664911502e-07
-5.1269652745e-01 5.9458196658e-30
-5.1172611433e-01 1.0660627177e-06
-5.1108318896e-01 5.3168218030e-31
-5.1044031710e-01 2.2621025845e-30
-5.1003691556e-01 2.2837451410e-06
-5.1002129486e-01 1.3076524826e-06
-5.0901781137e-01 3.9985361929e-31
-5.0852279790e-01 1.8429121945e-07
-5.0721236310e-01 6.3833396180e-07
-5.0705138795e-01 6.3668746274e-31
-5.0684745984e-01 1.5787955644e-06
-5.0620401446e-01 1.2775055253e-30
-5.0613059335e-01 4.9300013322e-06
-5.0600798169e-01 8.0525015590e-06
-5.0496054120e-01 2.7128336496e-31
-5.0359734166e-01 1.2166237614e-29
-5.0351376561e-01 1.7405057650e-05
-5.0263184284e-01 2.4405250991e-07
-5.0201189098e-01 4.9357533530e-30
-5.0143725511e-01 7.9394730651e-31
-5.0026019888e-01 9.4433766415e-31
-4.9977798900e-01 7.1646472613e-31
-4.9931995407e-01 1.3881323477e-06
-4.9893427765e-01 9.3668003321e-31
-4.9840199887e-01 2.2912070161e-08
-4.9834185080e-01 3.0845714206e-30
-4.9818059852e-01 9.4759355817e-07
-4.9734545169e-01 2.2959645592e-30
-4.9664552876e-01 4.7385634741e-08
-4.9629071364e-01 6.4178946288e-30
-4.9557482485e-01 1.9240213149e-30
-4.9466751931e-01 9.7660812301e-31
-4.9449809090e-01 1.7131327014e-30
-4.9419284963e-01 1.4041314843e-07
-4.9394138400e-01 9.1895788465e-08
-4.9324509166e-01 2.4441112916e-30
-4.9249249795e-01 1.3215371840e-30
-4.9112341814e-01 1.4510387942e-29
-4.9100292089e-01 6.5224782605e-06
-4.9058929878e-01 1.2531488904e-30
-4.9046074168e-01 8.9488489093e-07
-4.8998417154e-01 1.1307740876e-30
-4.8994898177e-01 3.4149980425e-07
-4.8922896057e-01 1.0742340525e-05
-4.8812692347e-01 3.5490045234e-30
-4.8787415612e-01 1.4403089854e-05
-4.8785113503e-01 3.3360761021e-28
-4.8656723723e-01 7.9271554201e-06
-4.8620642139e-01 8.7084372604e-07
-4.8573914247e-01 1.0414515898e-06
-4.8524488425e-01 1.9738681128e-30
-4.8509872714e-01 8.9937563989e-30
-4.8490146244e-01 8.4033013376e-07
-4.8420292185e-01 1.7854430519e-30
-4.8413437257e-01 1.5340887920e-07
-4.8372766506e-01 3.6052861802e-07
-4.8340482213e-01 8.1976600738e-30
-4.8293733984e-01 1.6386990530e-06
-4.8216961549e-01 2.2294790991e-29
-4.8183146831e-01 1.3304316852e-05
-4.8106191408e-01 2.1752182702e-30
-4.8073541708e-01 1.7023838361e-09
-4.8066713635e-01 2.3886808808e-30
-4.8003664622e-01 5.6452357741e-08
-4.7886439657e-01 1.9115402271e-07
-4.7812314964e-01 1.2331992391e-06
-4.7772025249e-01 1.0330026957e-05
-4.7748536912e-01 5.4766847084e-29
-4.7744968799e-01 6.5519193253e-07
-4.7665216322e-01 1.4200352549e-29
-4.7512927651e-01 2.4170007562e-29
-4.7496157349e-01 9.0732921461e-29
-4.7488839767e-01 8.7920914333e-07
-4.7474562567e-01 1.0045708509e-28
-4.7452372486e-01 4.9953927987e-06
-4.7376011570e-01 1.0297850401e-05
-4.7345848286e-01 1.9737465509e-30
-4.7313914661e-01 3.9086575542e-29
-4.7284739175e-01 5.8910206140e-06
-4.7237373909e-01 1.2556804237e-29
-4.7137006048e-01 3.7076690457e-05
-4.7087464672e-01 2.9598592875e-29
-4.7054427738e-01 3.0882949127e-06
-4.7008462313e-01 6.4401365279e-28
-4.6961344718e-01 4.1071526915e-04
-4.6916334575e-01 7.2578987047e-04
-4.6881430784e-01 1.8904255677e-28
-4.6814093492e-01 5.8058295000e-28
-4.6808824542e-01 3.3776179689e-05
-4.6749487290e-01 1.9074148404e-04
-4.6651576365e-01 1.0083585357e-29
-4.6556834789e-01 1.1481899173e-05
-4.6466251402e-01 7.2560226427e-07
-4.6450269218e-01 2.0381443363e-29
-4.6421908178e-01 3.1073798334e-04
-4.6379672568e-01 6.3652444796e-06
-4.6293500735e-01 1.2118702392e-05
-4.6261082155e-01 5.6591725443e-29
-4.6227111844e-01 1.1217862911e-04
-4.6207736804e-01 1.2967636546e-28
-4.6125477683e-01 6.7492867761e-06
-4.6084455873e-01 1.5028698278e-29
-4.6012575403e-01 6.2882065722e-30
-4.5973511200e-01 4.3430835160e-07
-4.5957674731e-01 2.9313359957e-05
-4.5890438912e-01 3.7870843226e-29
-4.5790943533e-01 2.7270891102e-07
-4.5720600251e-01 1.2923408124e-29
-4.5616393261e-01 2.1444030689e-07
-4.5560277134e-01 3.6787265695e-30
-4.5517729217e-01 3.4391466077e-30
-4.5427986328e-01 2.2533603464e-30
-4.5370221159e-01 5.6211892985e-08
-4.5328911064e-01 4.6206882981e-30
-4.5321660148e-01 2.3061562189e-29
-4.5255709882e-01 2.0249869426e-29
-4.5204403642e-01 4.1795814629e-30
-4.5187732910e-01 4.2001213147e-06
-4.5128720187e-01 4.8735830238e-30
-4.5057993961e-01 1.9402985344e-30
-4.5015444946e-01 2.7960388604e-30
-4.4982581817e-01 5.8371794165e-10
-4.4962334340e-01 3.2219499685e-06
-4.4850291316e-01 2.7935772059e-30
-4.4797104799e-01 9.1182681272e-07
-4.4792474046e-01 7.5060172366e-30
-4.4776521126e-01 1.6585941995e-07
-4.4722931834e-01 9.4046391918e-28
-4.4719011393e-01 5.4041219989e-04
-4.4705004715e-01 2.6877835880e-28
-4.4495230067e-01 1.3055331079e-25
-4.4491713776e-01 6.7814104189e-03
-4.4471204917e-01 3.5652391353e-27
-4.4456030518e-01 7.0599232693e-04
-4.4348181379e-01 3.2981934880e-06
-4.4345616789e-01 2.8761019658e-29
-4.4252275710e-01 5.5206123819e-30
-4.4234901746e-01 5.1401260852e-30
-4.4152311846e-01 1.0378954005e-05
-4.4148495448e-01 1.0646174804e-08
-4.4116724602e-01 4.9916313325e-29
-4.4092913050e-01 1.9333146268e-04
-4.4035891376e-01 1.6587379928e-05
-4.3965122677e-01 4.5446383863e-29
-4.3949042383e-01 2.2418019860e-05
-4.3929716013e-01 1.0814446821e-29
-4.3875983805e-01 6.7154417362e-06
-4.3864354481e-01 1.2080233600e-29
-4.3831341178e-01 9.8448967975e-06
-4.3713673551e-01 2.5446720522e-06
-4.3692711044e-01 2.3053779999e-06
-4.3580109888e-01 2.7665187395e-30
-4.3552127351e-01 2.3447658616e-30
-4.3466806988e-01 6.0436120863e-06
-4.3280776074e-01 2.0074265871e-05
-4.3262102405e-01 1.3336159231e-05
-4.3261614611e-01 1.1930896303e-26
-4.3241514494e-01 6.5237926201e-29
-4.3138248168e-01 1.0245896184e-05
-4.3052716783e-01 6.3912429774e-31
-4.2954233880e-01 3.3225552350e-30
-4.2898706903e-01 1.0402131210e-05
-4.2859530473e-01 9.2295853962e-30
-4.2807412198e-01 7.7657449361e-07
-4.2730030554e-01 1.0911291638e-30
-4.2695679547e-01 4.7203955413e-07
-4.2661106401e-01 2.0012374570e-29
-4.2655823696e-01 1.0098527530e-06
-4.2498055734e-01 4.8317469915e-07
-4.2450374790e-01 1.0950792414e-07
-4.2411696374e-01 4.8461788607e-30
-4.2317355541e-01 2.7345199149e-30
-4.2235120303e-01 3.6258878522e-08
-4.2158000406e-01 3.4216596068e-07
-4.2118080961e-01 7.5501286276e-07
-4.2098783877e-01 9.0115872443e-30
-4.2056568906e-01 4.0727893300e-07
-4.2037661746e-01 4.4568270951e-07
-4.1985212976e-01 4.3398956796e-08
-4.1928280821e-01 1.4833490697e-29
-4.1915125436e-01 7.8135372058e-07
-4.1783115626e-01 5.2013812303e-28
-4.1781223689e-01 6.1018154512e-06
-4.1756277423e-01 3.2033487549e-29
-4.1743064807e-01 2.8872386265e-06
-4.1577930551e-01 1.1738124682e-08
-4.1561776568e-01 2.7618405907e-30
-4.1514021520e-01 5.0331418990e-31
-4.1458592452e-01 8.5634997347e-31
-4.1347316085e-01 7.4627077208e-30
-4.1300113308e-01 9.4562090365e-31
-4.1257617359e-01 8.4275053894e-07
-4.1097272892e-01 1.1709307909e-09
-4.1041328205e-01 1.3478670727e-29
-4.0900324869e-01 4.7925317743e-06
-4.0889783795e-01 1.0395163808e-05
-4.0877635907e-01 8.5084277035e-29
-4.0863683201e-01 1.1339596051e-28
-4.0831445067e-01 1.6933052979e-06
-4.0765463316e-01 6.4005947282e-30
-4.0758845581e-01 7.1542789983e-07
-4.0702803432e-01 4.5020839123e-31
-4.0649194855e-01 1.5879383763e-30
-4.0597481897e-01 3.3238269781e-29
-4.0575629204e-01 2.3604226808e-05
-4.0570859939e-01 2.7582167647e-27
-4.0529296347e-01 1.0117436687e-27
-4.0515900399e-01 1.3482532450e-05
-4.0463810339e-01 2.4457550038e-30
-4.0341420495e-01 1.0518059682e-05
-4.0287356705e-01 5.5048250274e-29
-4.0248798580e-01 3.3718144481e-30
-4.0177563325e-01 3.6005161593e-30
-4.0058664413e-01 8.0956071494e-09
-3.9998205686e-01 3.3100287015e-31
-3.9908667766e-01 5.1254456915e-07
-3.9867515288e-01 1.8377416629e-09
-3.9714241952e-01 1.1807217179e-27
-3.9713394863e-01 1.0940803298e-05
-3.9678567236e-01 1.8741964119e-05
-3.9628478596e-01 1.5935126784e-29
-3.9572892748e-01 2.0716871280e-29
-3.9559619040e-01 1.5945214495e-07
-3.9466038854e-01 4.8131543934e-27
-3.9465053491e-01 6.3139228980e-07
-3.9336917581e-01 5.1119661571e-31
-3.9309328825e-01 2.0276447887e-07
-3.9209275327e-01 7.5427731711e-31
-3.9108577879e-01 7.0309963959e-07
-3.8956356227e-01 1.5281240262e-29
-3.8949116607e-01 7.1872707695e-09
-3.8923713575e-01 9.3482054818e-07
-3.8885139989e-01 2.3415608454e-06
-3.8844372320e-01 3.6123300607e-31
-3.8813489681e-01 1.5083122581e-30
-3.8689253378e-01 7.4015516742e-06
