# kx  w0_meV w1_meV  gap_microeV
-2.799999999999999972e-03 1.139473639645593117e+01 1.154045150319251789e+01 1.457151067365867334e+02
-2.687999999999999851e-03 1.142225098874770595e+01 1.156213749121483048e+01 1.398865024671245294e+02
-2.576000000000000165e-03 1.144876148756368295e+01 1.158281938576134706e+01 1.340578981976641160e+02
-2.464000000000000044e-03 1.147426789290386040e+01 1.160249718683206410e+01 1.282292939282037025e+02
-2.351999999999999924e-03 1.149877020476824008e+01 1.162117089442698337e+01 1.224006896587432891e+02
-2.239999999999999804e-03 1.152226842315682198e+01 1.163884050854611196e+01 1.165720853892899811e+02
-2.128000000000000117e-03 1.154476254806960966e+01 1.165550602918943746e+01 1.107434811198277913e+02
-2.015999999999999997e-03 1.156625257950659602e+01 1.167116745635696162e+01 1.049148768503656015e+02
-1.903999999999999877e-03 1.158673851746778460e+01 1.168582479004869334e+01 9.908627258090874079e+01
-1.791999999999999973e-03 1.160622036195317897e+01 1.169947803026462019e+01 9.325766831144122193e+01
-1.680000000000000070e-03 1.162469811296277200e+01 1.171212717700476702e+01 8.742906404199501935e+01
-1.567999999999999949e-03 1.164217177049657082e+01 1.172377223026910009e+01 8.160045977252927685e+01
-1.456000000000000046e-03 1.165864133455457008e+01 1.173441319005764605e+01 7.577185550307596884e+01
-1.343999999999999926e-03 1.167410680513677335e+01 1.174405005637038002e+01 6.994325123360667362e+01
-1.232000000000000022e-03 1.168856818224317706e+01 1.175268282920732332e+01 6.411464696414626019e+01
-1.119999999999999902e-03 1.170202546587378123e+01 1.176031150856847063e+01 5.828604269468939947e+01
-1.007999999999999998e-03 1.171447865602859117e+01 1.176693609445382371e+01 5.245743842523253875e+01
-8.960000000000000950e-04 1.172592775270760157e+01 1.177255658686337014e+01 4.662883415576857260e+01
-7.839999999999999747e-04 1.173637275591081242e+01 1.177717298579712413e+01 4.080022988631171188e+01
-6.719999999999998544e-04 1.174581366563822726e+01 1.178078529125507679e+01 3.497162561684952209e+01
-5.600000000000001678e-04 1.175425048188984611e+01 1.178339350323722989e+01 2.914302134738377958e+01
-4.480000000000000475e-04 1.176168320466566719e+01 1.178499762174359411e+01 2.331441707792691886e+01
-3.359999999999999272e-04 1.176811183396568694e+01 1.178559764677416055e+01 1.748581280847361086e+01
-2.239999999999998069e-04 1.177353636978991069e+01 1.178519357832892211e+01 1.165720853901142107e+01
-1.120000000000001203e-04 1.177795681213834200e+01 1.178378541640788946e+01 5.828604269547454919e+00
0.000000000000000000e+00 1.178137316101096843e+01 1.178137316101105725e+01 8.881784197001252323e-11
1.120000000000001203e-04 1.177795681213842727e+01 1.178378541640779886e+01 5.828604269371595592e+00
2.239999999999998069e-04 1.177353636978999596e+01 1.178519357832883152e+01 1.165720853883556174e+01
3.359999999999999272e-04 1.176811183396577931e+01 1.178559764677406640e+01 1.748581280828709339e+01
4.480000000000000475e-04 1.176168320466575246e+01 1.178499762174350707e+01 2.331441707775461225e+01
5.600000000000001678e-04 1.175425048188993848e+01 1.178339350323714640e+01 2.914302134720792026e+01
6.719999999999998544e-04 1.174581366563831075e+01 1.178078529125499152e+01 3.497162561668076819e+01
7.839999999999999747e-04 1.173637275591090301e+01 1.177717298579703709e+01 4.080022988613407620e+01
8.960000000000000950e-04 1.172592775270768861e+01 1.177255658686327955e+01 4.662883415559093692e+01
1.007999999999999782e-03 1.171447865602868177e+01 1.176693609445372957e+01 5.245743842504779764e+01
1.119999999999999902e-03 1.170202546587386827e+01 1.176031150856838003e+01 5.828604269451176378e+01
1.232000000000000022e-03 1.168856818224326410e+01 1.175268282920723628e+01 6.411464696397217722e+01
1.344000000000000142e-03 1.167410680513686039e+01 1.174405005637029298e+01 6.994325123343259065e+01
1.456000000000000263e-03 1.165864133455465712e+01 1.173441319005755190e+01 7.577185550289478044e+01
1.568000000000000383e-03 1.164217177049665786e+01 1.172377223026901305e+01 8.160045977235519388e+01
1.679999999999999636e-03 1.162469811296286260e+01 1.171212717700467465e+01 8.742906404181205460e+01
1.791999999999999756e-03 1.160622036195326601e+01 1.169947803026454025e+01 9.325766831127424439e+01
1.903999999999999877e-03 1.158673851746787875e+01 1.168582479004860808e+01 9.908627258072932875e+01
2.015999999999999997e-03 1.156625257950669017e+01 1.167116745635687636e+01 1.049148768501861895e+02
2.128000000000000117e-03 1.154476254806969493e+01 1.165550602918935041e+01 1.107434811196554847e+02
2.240000000000000237e-03 1.152226842315690902e+01 1.163884050854602492e+01 1.165720853891158981e+02
2.352000000000000358e-03 1.149877020476832001e+01 1.162117089442690343e+01 1.224006896585834170e+02
2.463999999999999611e-03 1.147426789290394034e+01 1.160249718683198417e+01 1.282292939280438304e+02
2.575999999999999731e-03 1.144876148756376111e+01 1.158281938576126002e+01 1.340578981974989006e+02
2.687999999999999851e-03 1.142225098874778944e+01 1.156213749121474521e+01 1.398865024669557897e+02
2.799999999999999972e-03 1.139473639645601466e+01 1.154045150319243085e+01 1.457151067364162031e+02
