# kx  w0_meV w1_meV  gap_microeV
-2.799999999999999972e-03 2.014508141428308363e+01 2.016884720162049049e+01 2.376578733740686289e+01
-2.687999999999999851e-03 2.016815687933246082e+01 2.019097203517636530e+01 2.281515584390447771e+01
-2.576000000000000165e-03 2.019030988930825998e+01 2.021217441365867273e+01 2.186452435041275066e+01
-2.464000000000000044e-03 2.021154044421048468e+01 2.023245433706739504e+01 2.091389285691036548e+01
-2.351999999999999924e-03 2.023184854403912425e+01 2.025181180540254999e+01 1.996326136342574387e+01
-2.239999999999999804e-03 2.025123418879419290e+01 2.027024681866411626e+01 1.901262986992335868e+01
-2.128000000000000117e-03 2.026969737847568354e+01 2.028775937685211517e+01 1.806199837643163164e+01
-2.015999999999999997e-03 2.028723811308359970e+01 2.030434947996653605e+01 1.711136688293635189e+01
-1.903999999999999877e-03 2.030385639261794495e+01 2.032001712800737536e+01 1.616073538943041399e+01
-1.791999999999999973e-03 2.031955221707870507e+01 2.033476232097464020e+01 1.521010389593513423e+01
-1.680000000000000070e-03 2.033432558646589072e+01 2.034858505886833058e+01 1.425947240243985448e+01
-1.567999999999999949e-03 2.034817650077950191e+01 2.036148534168843938e+01 1.330884090893746929e+01
-1.456000000000000046e-03 2.036110496001953152e+01 2.037346316943497726e+01 1.235820941544574225e+01
-1.343999999999999926e-03 2.037311096418598311e+01 2.038451854210794068e+01 1.140757792195756792e+01
-1.232000000000000022e-03 2.038419451327886378e+01 2.039465145970731896e+01 1.045694642845518274e+01
-1.119999999999999902e-03 2.039435560729816999e+01 2.040386192223312634e+01 9.506314934956350271e+00
-1.007999999999999998e-03 2.040359424624389462e+01 2.041214992968535569e+01 8.555683441461070515e+00
-8.960000000000000950e-04 2.041191043011604123e+01 2.041951548206401412e+01 7.605051947972896187e+00
-7.839999999999999747e-04 2.041930415891460981e+01 2.042595857936908743e+01 6.654420454477616431e+00
-6.719999999999998544e-04 2.042577543263960749e+01 2.043147922160058627e+01 5.703788960978783962e+00
-5.600000000000001678e-04 2.043132425129103069e+01 2.043607740875851064e+01 4.753157467479951492e+00
-4.480000000000000475e-04 2.043595061486887232e+01 2.043975314084285699e+01 3.802525973984671737e+00
-3.359999999999999272e-04 2.043965452337314304e+01 2.044250641785362532e+01 2.851894480482286554e+00
-2.239999999999998069e-04 2.044243597680383218e+01 2.044433723979081918e+01 1.901262986987006798e+00
-1.120000000000001203e-04 2.044429497516094330e+01 2.044524560665443502e+01 9.506314934917270421e-01
0.000000000000000000e+00 2.044523151844425257e+01 2.044523151844470021e+01 4.476419235288631171e-10
1.120000000000001203e-04 2.044429497516094330e+01 2.044524560665443502e+01 9.506314934917270421e-01
2.239999999999998069e-04 2.044243597680383218e+01 2.044433723979081918e+01 1.901262986987006798e+00
3.359999999999999272e-04 2.043965452337314304e+01 2.044250641785362532e+01 2.851894480482286554e+00
4.480000000000000475e-04 2.043595061486887232e+01 2.043975314084285699e+01 3.802525973984671737e+00
5.600000000000001678e-04 2.043132425129103069e+01 2.043607740875851064e+01 4.753157467479951492e+00
6.719999999999998544e-04 2.042577543263960749e+01 2.043147922160058627e+01 5.703788960978783962e+00
7.839999999999999747e-04 2.041930415891460981e+01 2.042595857936908743e+01 6.654420454477616431e+00
8.960000000000000950e-04 2.041191043011604123e+01 2.041951548206401412e+01 7.605051947972896187e+00
1.007999999999999782e-03 2.040359424624389462e+01 2.041214992968535569e+01 8.555683441461070515e+00
1.119999999999999902e-03 2.039435560729816999e+01 2.040386192223312634e+01 9.506314934956350271e+00
1.232000000000000022e-03 2.038419451327886378e+01 2.039465145970731896e+01 1.045694642845518274e+01
1.344000000000000142e-03 2.037311096418598311e+01 2.038451854210794068e+01 1.140757792195756792e+01
1.456000000000000263e-03 2.036110496001953152e+01 2.037346316943497726e+01 1.235820941544574225e+01
1.568000000000000383e-03 2.034817650077950191e+01 2.036148534168843938e+01 1.330884090893746929e+01
1.679999999999999636e-03 2.033432558646589072e+01 2.034858505886833058e+01 1.425947240243985448e+01
1.791999999999999756e-03 2.031955221707870507e+01 2.033476232097464020e+01 1.521010389593513423e+01
1.903999999999999877e-03 2.030385639261794495e+01 2.032001712800737536e+01 1.616073538943041399e+01
2.015999999999999997e-03 2.028723811308360681e+01 2.030434947996653250e+01 1.711136688292569374e+01
2.128000000000000117e-03 2.026969737847568709e+01 2.028775937685211161e+01 1.806199837642452621e+01
2.240000000000000237e-03 2.025123418879419646e+01 2.027024681866411271e+01 1.901262986991625326e+01
2.352000000000000358e-03 2.023184854403912780e+01 2.025181180540254644e+01 1.996326136341863844e+01
2.463999999999999611e-03 2.021154044421048468e+01 2.023245433706739149e+01 2.091389285690681277e+01
2.575999999999999731e-03 2.019030988930825998e+01 2.021217441365866918e+01 2.186452435040919795e+01
2.687999999999999851e-03 2.016815687933246437e+01 2.019097203517636174e+01 2.281515584389737228e+01
2.799999999999999972e-03 2.014508141428308718e+01 2.016884720162048694e+01 2.376578733739975746e+01
