# theta_deg  Ey_V_per_um  Ez_V_per_um  GS1_meV  GS2_meV  numerical_gap_microeV  alpha_eV_A  perturbative_gap_k1_microeV  
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999112e+00 5.332589003374715020e+01 5.333606217318087062e+01 1.017213943371730878e+01 5.109234378653601354e-03 1.021846875731008453e+01
2.399999999999999911e+00 2.512539223751977246e-01 5.994736980593150300e+00 5.347413353173206474e+01 5.348603624749282659e+01 1.190271576075735460e+01 5.971281214842178928e-03 1.194256243024910447e+01
4.799999999999999822e+00 5.020670599938928946e-01 5.978957155497026221e+00 5.389330546332990224e+01 5.390915188923433732e+01 1.584642590442969556e+01 7.938293498755071009e-03 1.587658699730987166e+01
7.199999999999999289e+00 7.519994013858252169e-01 5.952688207886867033e+00 5.452144318584824134e+01 5.454192367916179762e+01 2.048049331355300495e+01 1.025177036503674075e-02 2.050354073042381842e+01
9.599999999999999645e+00 1.000612480296613427e+00 5.915976222423029895e+00 5.528840895636941610e+01 5.531357167440635436e+01 2.516271803693764753e+01 1.259026704959039129e-02 2.518053409925752462e+01
1.200000000000000000e+01 1.247470144906555944e+00 5.868885604402834133e+00 5.613355296021158836e+01 5.616323401405346516e+01 2.968105384187902374e+01 1.484730783860680609e-02 2.969461567656900414e+01
1.439999999999999858e+01 1.492139322989128214e+00 5.811498966771785568e+00 5.700983282944660147e+01 5.704380735701196414e+01 3.397452756536550567e+01 1.699217259682207076e-02 3.398434519428366940e+01
1.680000000000000071e+01 1.734190781666829606e+00 5.743916985192403679e+00 5.788188953840909790e+01 5.791992191691477387e+01 3.803237850567159484e+01 1.901936993723218200e-02 3.803873987434647574e+01
1.919999999999999929e+01 1.973199880431499187e+00 5.666258221424885555e+00 5.872303355697227545e+01 5.876489301254189002e+01 4.185945556961500813e+01 2.093126950296290978e-02 4.186253900478192946e+01
2.159999999999999787e+01 2.208747316108067515e+00 5.578658915329508083e+00 5.951275750321303093e+01 5.955822214796470604e+01 4.546464475167072550e+01 2.273228511140422056e-02 4.546457022200356590e+01
2.400000000000000000e+01 2.440419858454800917e+00 5.481272745855604533e+00 6.023497873194338581e+01 6.028383591607059344e+01 4.885718412720591175e+01 2.442701880421639660e-02 4.885403760936102202e+01
2.639999999999999858e+01 2.667811075109564722e+00 5.374270561436476967e+00 6.087685420601648190e+01 6.092889982921332148e+01 5.204562319684191607e+01 2.601973447727534000e-02 5.203946895462191691e+01
2.879999999999999716e+01 2.890522044610290830e+00 5.257840080263180838e+00 6.142798654508791856e+01 6.148302417773188466e+01 5.503763264396582855e+01 2.751425990792176826e-02 5.502851981503687284e+01
3.119999999999999929e+01 3.108162056238780391e+00 5.132185560963039350e+00 6.187988701376090006e+01 6.193772707382291287e+01 5.784006006201436634e+01 2.891401318365674489e-02 5.782802636720290934e+01
3.360000000000000142e+01 3.320349295460064631e+00 4.997527444260596141e+00 6.222560667035285320e+01 6.228606570460428316e+01 6.045903425143384169e+01 3.022205407507867758e-02 6.044410815091855227e+01
3.600000000000000000e+01 3.526711513754838379e+00 4.854101966249684708e+00 6.245947893872865109e+01 6.252237899727161619e+01 6.290005854296676091e+01 3.144113024313668209e-02 6.288226048543204882e+01
3.839999999999999858e+01 3.726886681669861368e+00 4.702160743955038136e+00 6.257693751315169806e+01 6.264210559213942275e+01 6.516807898772347585e+01 3.257371104683678964e-02 6.514742209356994351e+01
4.079999999999999716e+01 3.920523623940632252e+00 4.541970333910538393e+00 6.257438648693518246e+01 6.264165401396462585e+01 6.726752702944371265e+01 3.362200868001966048e-02 6.724401735994089790e+01
4.319999999999999574e+01 4.107282635572131468e+00 4.373811764528468871e+00 6.244910777953115399e+01 6.251831011891059831e+01 6.920233937944553304e+01 3.458798795832030565e-02 6.917597591601931128e+01
4.560000000000000142e+01 4.286836077796819744e+00 4.197980043080192125e+00 6.219919619354229923e+01 6.227017215100548952e+01 7.097595746319296950e+01 3.547336591745745005e-02 7.094673183429684116e+01
4.800000000000000000e+01 4.458868952864365021e+00 4.014783638153149425e+00 6.182351592334017454e+01 6.189610723069909426e+01 7.259130735891989161e+01 3.627960166700754108e-02 7.255920333611859974e+01
5.039999999999999858e+01 4.623079456654735075e+00 3.824543938492138473e+00 6.132167478048922504e+01 6.139572553974793578e+01 7.405075925871057052e+01 3.700787600601826433e-02 7.401575201123472425e+01
5.279999999999999716e+01 4.779179508145177557e+00 3.627594689174249432e+00 6.069401426261253363e+01 6.076937032580324427e+01 7.535606319070825521e+01 3.765905915786363356e-02 7.531811831658352219e+01
5.519999999999999574e+01 4.926895254802222901e+00 3.424281406106590708e+00 5.994161520198150583e+01 6.001812345669240045e+01 7.650825471089417817e+01 3.823366347002939841e-02 7.646732694054081492e+01
5.759999999999999432e+01 5.065967553012089120e+00 3.214960769873980162e+00 5.906632036899712546e+01 5.914382788892996956e+01 7.750751993284427499e+01 3.873177575000961992e-02 7.746355150050482052e+01
6.000000000000000000e+01 5.196152422706631135e+00 3.000000000000000444e+00 5.807077738166076131e+01 5.814913038419440028e+01 7.835300253363625700e+01 3.915296054104374507e-02 7.830592108213491542e+01
6.239999999999999858e+01 5.317221475387288621e+00 2.779776210719170582e+00 5.695850801430621857e+01 5.703755053865227609e+01 7.904252434605407984e+01 3.949612011876692252e-02 7.899224023805857087e+01
6.479999999999999716e+01 5.428962314796116573e+00 2.554675749390435957e+00 5.573401421635483644e+01 5.581358638849722809e+01 7.957217214239059899e+01 3.975928747989802836e-02 7.951857496130143943e+01
6.720000000000000284e+01 5.531178909531002219e+00 2.325093518712617602e+00 5.440293814680703832e+01 5.448287381572713173e+01 7.993566892009611990e+01 3.993931142552806929e-02 7.987862285077640934e+01
6.959999999999999432e+01 5.623691936951348502e+00 2.091432283930891423e+00 5.297230588288178410e+01 5.305242926570675621e+01 8.012338282496756392e+01 4.003136022934372651e-02 8.006272045844863783e+01
7.200000000000000000e+01 5.706339097770920965e+00 1.854101966249684486e+00 5.145090765149316070e+01 5.153102834709116564e+01 8.012069559800578133e+01 4.002810470920870056e-02 8.005620941873431207e+01
7.439999999999999147e+01 5.778975400785947514e+00 1.613518923691595219e+00 4.984991400718231347e+01 4.992981917614886811e+01 7.990516896655419998e+01 3.991829972043176716e-02 7.983659943920639535e+01
7.679999999999999716e+01 5.841473417238960408e+00 1.370105220663935253e+00 4.818392875528216024e+01 4.826337003544796289e+01 7.944128016580675933e+01 3.968414939475474468e-02 7.936829879027357038e+01
7.920000000000000284e+01 5.893723504372132105e+00 1.124287887514347162e+00 4.647292356730795149e+01 4.655159331257475941e+01 7.866974526681002544e+01 3.929596528050066651e-02 7.859193056055508464e+01
8.159999999999999432e+01 5.935633997777929771e+00 8.764981713744698366e-01 4.474617144712937744e+01 4.482365458173449468e+01 7.748313460511496942e+01 3.869997095095298323e-02 7.739994190129189633e+01
8.400000000000000000e+01 5.967131372209638407e+00 6.271707796059207141e-01 4.305153035753979651e+01 4.312719039622648154e+01 7.566003868668403243e+01 3.778539946465885035e-02 7.557079892950291367e+01
8.639999999999999147e+01 5.988160370569628910e+00 3.767431171758811592e-01 4.148328905672147471e+01 4.155593440161009511e+01 7.264534488862078376e+01 3.627488848839887509e-02 7.254977697739029452e+01
8.879999999999999716e+01 5.998684100849072998e+00 1.256545193001422922e-01 4.030472746080241109e+01 4.037188454954655015e+01 6.715708874414222862e+01 3.353176274600114248e-02 6.706352549250283346e+01
9.120000000000000284e+01 5.998684100849072998e+00 -1.256545193001415428e-01 4.030472746080225477e+01 4.037188454954705463e+01 6.715708874480141333e+01 3.353176274600094126e-02 6.706352549201710644e+01
9.359999999999999432e+01 5.988160370569628910e+00 -3.767431171758790498e-01 4.148328905672142497e+01 4.155593440160983931e+01 7.264534488841262316e+01 3.627488848839882651e-02 7.254977697648129720e+01
9.600000000000000000e+01 5.967131372209638407e+00 -6.271707796059212692e-01 4.305153035753974677e+01 4.312719039622660233e+01 7.566003868685750433e+01 3.778539946465869770e-02 7.557079892903107066e+01
9.839999999999999147e+01 5.935633997777929771e+00 -8.764981713744691705e-01 4.474617144712944850e+01 4.482365458173457284e+01 7.748313460512883921e+01 3.869997095095481510e-02 7.739994190133353413e+01
1.007999999999999972e+02 5.893723504372132105e+00 -1.124287887514347384e+00 4.647292356730795149e+01 4.655159331257475941e+01 7.866974526681002544e+01 3.929596528050102733e-02 7.859193056115182685e+01
1.032000000000000028e+02 5.841473417238961297e+00 -1.370105220663934364e+00 4.818392875528222419e+01 4.826337003544797710e+01 7.944128016575125173e+01 3.968414939475452263e-02 7.936829878949642136e+01
1.055999999999999943e+02 5.778975400785948402e+00 -1.613518923691593443e+00 4.984991400718234900e+01 4.992981917614883258e+01 7.990516896648480838e+01 3.991829972043153818e-02 7.983659944080234538e+01
1.080000000000000000e+02 5.706339097770921853e+00 -1.854101966249684041e+00 5.145090765149324596e+01 5.153102834709127222e+01 8.012069559802658603e+01 4.002810470920931118e-02 8.005620941908125587e+01
1.103999999999999915e+02 5.623691936951348502e+00 -2.091432283930890090e+00 5.297230588288174147e+01 5.305242926570676332e+01 8.012338282501613662e+01 4.003136022934573185e-02 8.006272045636697499e+01
1.127999999999999972e+02 5.531178909531003995e+00 -2.325093518712616714e+00 5.440293814680695306e+01 5.448287381572709620e+01 7.993566892014469261e+01 3.993931142552878399e-02 7.987862285180335675e+01
1.151999999999999886e+02 5.428962314796118349e+00 -2.554675749390433737e+00 5.573401421635482933e+01 5.581358638849731335e+01 7.957217214248774440e+01 3.975928747989823653e-02 7.951857495908792828e+01
1.175999999999999943e+02 5.317221475387288621e+00 -2.779776210719168805e+00 5.695850801430612620e+01 5.703755053865215530e+01 7.904252434603326094e+01 3.949612011876699191e-02 7.899224023778100445e+01
1.200000000000000000e+02 5.196152422706631135e+00 -2.999999999999998668e+00 5.807077738166081105e+01 5.814913038419438607e+01 7.835300253357380029e+01 3.915296054104307893e-02 7.830592108288431064e+01
1.223999999999999915e+02 5.065967553012090896e+00 -3.214960769873978386e+00 5.906632036899710414e+01 5.914382788892979192e+01 7.750751993269162199e+01 3.873177575000881501e-02 7.746355150006073131e+01
1.247999999999999972e+02 4.926895254802223789e+00 -3.424281406106589376e+00 5.994161520198147741e+01 6.001812345669241466e+01 7.650825471093580177e+01 3.823366347002953025e-02 7.646732694061020652e+01
1.271999999999999886e+02 4.779179508145177557e+00 -3.627594689174248543e+00 6.069401426261258337e+01 6.076937032580328690e+01 7.535606319070825521e+01 3.765905915786389030e-02 7.531811831525125456e+01
1.295999999999999943e+02 4.623079456654735075e+00 -3.824543938492138473e+00 6.132167478048918241e+01 6.139572553974787894e+01 7.405075925869670073e+01 3.700787600601967986e-02 7.401575201384375191e+01
1.320000000000000000e+02 4.458868952864365021e+00 -4.014783638153149425e+00 6.182351592334018875e+01 6.189610723069912268e+01 7.259130735893376141e+01 3.627960166700666678e-02 7.255920333330139727e+01
1.344000000000000057e+02 4.286836077796818856e+00 -4.197980043080193013e+00 6.219919619354218554e+01 6.227017215100543979e+01 7.097595746325541199e+01 3.547336591745774148e-02 7.094673183458132826e+01
1.367999999999999829e+02 4.107282635572133245e+00 -4.373811764528467982e+00 6.244910777953123926e+01 6.251831011891054146e+01 6.920233937929981494e+01 3.458798795832007666e-02 6.917597591603319529e+01
1.391999999999999886e+02 3.920523623940633140e+00 -4.541970333910537505e+00 6.257438648693515404e+01 6.264165401396456900e+01 6.726752702941595885e+01 3.362200868002090948e-02 6.724401735838658567e+01
1.415999999999999943e+02 3.726886681669862700e+00 -4.702160743955038136e+00 6.257693751315175490e+01 6.264210559213936591e+01 6.516807898761246065e+01 3.257371104683733087e-02 6.514742209372259651e+01
1.440000000000000000e+02 3.526711513754839267e+00 -4.854101966249683819e+00 6.245947893872867951e+01 6.252237899727154513e+01 6.290005854286961551e+01 3.144113024313553717e-02 6.288226048544592572e+01
1.464000000000000057e+02 3.320349295460064631e+00 -4.997527444260596141e+00 6.222560667035281767e+01 6.228606570460424763e+01 6.045903425142689969e+01 3.022205407507806696e-02 6.044410814973893764e+01
1.487999999999999829e+02 3.108162056238783499e+00 -5.132185560963037574e+00 6.187988701376083611e+01 6.193772707382281340e+01 5.784006006197967054e+01 2.891401318365635631e-02 5.782802636663392093e+01
1.511999999999999886e+02 2.890522044610293495e+00 -5.257840080263179949e+00 6.142798654508789014e+01 6.148302417773179229e+01 5.503763264390337895e+01 2.751425990792105009e-02 5.502851981466911013e+01
1.535999999999999943e+02 2.667811075109566499e+00 -5.374270561436476079e+00 6.087685420601648900e+01 6.092889982921333569e+01 5.204562319684885807e+01 2.601973447727613797e-02 5.203946895417782770e+01
1.560000000000000000e+02 2.440419858454802249e+00 -5.481272745855603645e+00 6.023497873194332186e+01 6.028383591607050818e+01 4.885718412718509285e+01 2.442701880421561597e-02 4.885403760867406930e+01
1.584000000000000057e+02 2.208747316108066183e+00 -5.578658915329508083e+00 5.951275750321300251e+01 5.955822214796460656e+01 4.546464475160133389e+01 2.273228511140347463e-02 4.546457022171907170e+01
1.607999999999999829e+02 1.973199880431500297e+00 -5.666258221424885555e+00 5.872303355697217597e+01 5.876489301254190423e+01 4.185945556972603754e+01 2.093126950296153241e-02 4.186253900621827739e+01
1.631999999999999886e+02 1.734190781666829828e+00 -5.743916985192403679e+00 5.788188953840911921e+01 5.791992191691472414e+01 3.803237850560220323e+01 1.901936993723185240e-02 3.803873987582445437e+01
1.655999999999999943e+02 1.492139322989128880e+00 -5.811498966771785568e+00 5.700983282944660147e+01 5.704380735701198546e+01 3.397452756538632457e+01 1.699217259682237260e-02 3.398434519254200836e+01
1.680000000000000000e+02 1.247470144906555944e+00 -5.868885604402834133e+00 5.613355296021154572e+01 5.616323401405347937e+01 2.968105384193453489e+01 1.484730783860698997e-02 2.969461567764453136e+01
1.704000000000000057e+02 1.000612480296612983e+00 -5.915976222423029895e+00 5.528840895636938768e+01 5.531357167440631173e+01 2.516271803692377063e+01 1.259026704959019353e-02 2.518053409954895727e+01
1.727999999999999829e+02 7.519994013858271042e-01 -5.952688207886866145e+00 5.452144318584810634e+01 5.454192367916191841e+01 2.048049331381668381e+01 1.025177036503708249e-02 2.050354072993115651e+01
1.751999999999999886e+02 5.020670599938943379e-01 -5.978957155497026221e+00 5.389330546333001593e+01 5.390915188923442969e+01 1.584642590441581689e+01 7.938293498755199379e-03 1.587658699751803937e+01
1.775999999999999943e+02 2.512539223751988349e-01 -5.994736980593150300e+00 5.347413353173214290e+01 5.348603624749279817e+01 1.190271576065327075e+01 5.971281214842197142e-03 1.194256242974950410e+01
1.800000000000000000e+02 0.000000000000000000e+00 -5.999999999999999112e+00 5.332589003374712178e+01 5.333606217318090614e+01 1.017213943377975838e+01 5.109234378653509413e-03 1.021846875731008453e+01
