# E  alpha(eV.A)  gap_meV
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.999999999999999556e-01 7.889826769706002885e-03 1.577965353951032235e+01
1.399999999999999911e+00 1.459901855127266473e-02 2.919803710254539553e+01
2.099999999999999645e+00 2.017847126852120171e-02 4.035694253685592514e+01
2.799999999999999822e+00 2.483738264141901672e-02 4.967476528279502190e+01
3.499999999999999556e+00 2.871959103946287312e-02 5.743918207937529274e+01
4.199999999999999289e+00 3.193645169289129060e-02 6.387290338577197701e+01
4.899999999999999467e+00 3.458133328737859197e-02 6.916266657434888998e+01
5.599999999999999645e+00 3.673392824725723455e-02 7.346785649443160082e+01
6.299999999999998934e+00 3.846215404449064568e-02 7.692430808875494108e+01
7.000000000000000000e+00 3.982358050911654485e-02 7.964716101692414441e+01
