# E  alpha(eV.A)  gap_meV_2nd
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.999999999999999556e-01 9.678812037631129078e-04 1.935762407526218309e+00
1.399999999999999911e+00 1.442244000287826265e-03 2.884488000576453270e+00
2.099999999999999645e+00 1.750704660529923571e-03 3.501409321057455504e+00
2.799999999999999822e+00 1.969506169309744818e-03 3.939012338614183761e+00
3.499999999999999556e+00 2.131829178780715074e-03 4.263658357563787860e+00
4.199999999999999289e+00 2.255486180404530413e-03 4.510972360802223413e+00
4.899999999999999467e+00 2.351212825460899380e-03 4.702425650919551003e+00
5.599999999999999645e+00 2.425986142144148650e-03 4.851972284281025338e+00
6.299999999999998934e+00 2.484589486660514993e-03 4.969178973336651595e+00
7.000000000000000000e+00 2.530436272257722066e-03 5.060872544510042204e+00
