# E  alpha(eV.A)  gap_meV_2nd  gap_meV_4th
0.000000000000000000e+00 0.000000000000000000e+00 5.204170427930421283e-12 5.204170427930421283e-12
5.000000000000000971e-03 5.862361395964060519e-05 1.172472279247632754e-01 1.173577974938888602e-01
1.000000000000000194e-02 1.172472279192812104e-04 2.344944558443223803e-01 2.347139412585408369e-01
1.500000000000000291e-02 1.758708418789218088e-04 3.517416837638814853e-01 3.520667775751273876e-01
2.000000000000000389e-02 2.344944558385624208e-04 4.689889116817058667e-01 4.694146527178810757e-01
2.500000000000000486e-02 2.931180697982030598e-04 5.862361395977955247e-01 5.867559129662386352e-01
3.000000000000000583e-02 3.517416837578436176e-04 7.034833675208240766e-01 7.040889045944326297e-01
3.500000000000000333e-02 4.103652977174841753e-04 8.207305954403831816e-01 8.214119738801650694e-01
4.000000000000000777e-02 4.689889116771248415e-04 9.379778233599422865e-01 9.387234670976685180e-01
4.500000000000001221e-02 5.276125256367654535e-04 1.055225051279501391e+00 1.056021730526379709e+00
5.000000000000000278e-02 5.862361395964060112e-04 1.172472279197325662e+00 1.173305110430122866e+00
