# E  alpha(eV.A)  gap_meV_2nd  gap_meV_4th
0.000000000000000000e+00 0.000000000000000000e+00 5.204170427930421283e-12 5.204170427930421283e-12
5.000000000000000971e-03 2.062140667501048140e-05 4.124281334939167154e-02 4.107429968022713318e-02
1.000000000000000194e-02 4.124281335002096281e-05 8.248562670051806656e-02 8.212979651055218877e-02
1.500000000000000291e-02 6.186422002503144083e-05 1.237284400507770998e-01 1.231476876428078127e-01
2.000000000000000389e-02 8.248562670004192562e-05 1.649712533993014096e-01 1.641091702270919273e-01
2.500000000000000486e-02 1.031070333750524104e-04 2.062140667486930812e-01 2.049954414135024550e-01
3.000000000000000583e-02 1.237284400500628817e-04 2.474568800998194762e-01 2.457876983556067652e-01
3.500000000000000333e-02 1.443498467250733529e-04 2.886996934500785095e-01 2.864671382017680568e-01
4.000000000000000777e-02 1.649712534000838512e-04 3.299425068003375427e-01 3.270149581020842522e-01
4.500000000000001221e-02 1.855926600750943225e-04 3.711853201505965760e-01 3.674123552101227208e-01
5.000000000000000278e-02 2.062140667501047666e-04 4.124281334999882476e-01 4.076405266742466615e-01
