# E  alpha(eV.A)  gap_meV_2nd  gap_meV_4th
0.000000000000000000e+00 0.000000000000000000e+00 9.540979117872439019e-11 9.540979117872439019e-11
1.071428571428571438e-02 3.733754627156912927e-04 7.467509253369225553e-01 7.466568993797634279e-01
2.142857142857142877e-02 7.467509254313825853e-04 1.493501850769254791e+00 1.493299261063826933e+00
3.214285714285713969e-02 1.120126388147073661e-03 2.240252776196383078e+00 2.239912547167405066e+00
4.285714285714285754e-02 1.493501850862765171e-03 2.987003701630450259e+00 2.986482219909797564e+00
5.357142857142856845e-02 1.866877313578456463e-03 3.733754627061047771e+00 3.732993741489484929e+00
6.428571428571427937e-02 2.240252776294147322e-03 4.480505552493379895e+00 4.479432574124031063e+00
7.499999999999999722e-02 2.613628239009839049e-03 5.227256477927447520e+00 5.225784180024062309e+00
8.571428571428571508e-02 2.987003701725530341e-03 5.974007403352840306e+00 5.972034021394997616e+00
9.642857142857141906e-02 3.360379164441221634e-03 6.720758328785173319e+00 6.718167560454402221e+00
1.071428571428571369e-01 3.733754627156912927e-03 7.467509254218372305e+00 7.464170259410297881e+00
1.178571428571428548e-01 4.107130089872604653e-03 8.214260179648103843e+00 8.210027580468972630e+00
1.285714285714285587e-01 4.480505552588294645e-03 8.961011105076966743e+00 8.955724985840184615e+00
1.392857142857142627e-01 4.853881015303986371e-03 9.707762030512768092e+00 9.701247937749304384e+00
1.499999999999999944e-01 5.227256478019678097e-03 1.045451295594163099e+01 1.044658189839307916e+01
