# E  alpha(eV.A)  gap_meV_2nd  gap_meV_4th
0.000000000000000000e+00 0.000000000000000000e+00 9.280770596475917955e-11 9.280770596475917955e-11
5.000000000000000971e-03 4.062774941273803158e-05 8.125549882508770194e-02 8.101136730279817622e-02
1.000000000000000194e-02 8.125549882547606316e-05 1.625109976493080421e-01 1.619695770326348705e-01
1.500000000000000291e-02 1.218832482382140947e-04 2.437664964752631058e-01 2.428214716191506861e-01
2.000000000000000389e-02 1.625109976509521263e-04 3.250219953012181695e-01 3.235138934893841411e-01
2.500000000000000486e-02 2.031387470636901850e-04 4.062774941271732332e-01 4.039936850712411154e-01
3.000000000000000583e-02 2.437664964764281895e-04 4.875329929513935734e-01 4.842076887926274886e-01
3.500000000000000333e-02 2.843942458891662211e-04 5.687884917764812753e-01 5.641027470805817234e-01
4.000000000000000777e-02 3.250219953019042526e-04 6.500439906033037563e-01 6.436257023638771724e-01
4.500000000000001221e-02 3.656497447146423384e-04 7.312994894283914027e-01 7.227233970704196597e-01
5.000000000000000278e-02 4.062774941273803158e-04 8.125549882534790491e-01 8.013426736263804528e-01
